as_of,value
2013-03-31,1215.0
2013-06-30,1252.0
2013-09-30,1343.0
2013-12-31,1366.0
2014-03-31,1385.0
2014-06-30,1489.0
2014-09-30,1542.0
2014-12-31,1516.0
2015-03-31,1634.0
2015-06-30,1621.0
2015-09-30,1606.0
2015-12-31,1490.0
2016-03-31,1538.0
2016-06-30,1472.0
2016-09-30,1621.0
2016-12-31,1459.0
2017-03-31,1636.0
2017-06-30,1703.0
2017-09-30,1810.0
2017-12-31,1824.0
2018-03-31,1952.0
2018-06-30,2050.0
2018-09-30,2331.0
2018-12-31,1954.0
2019-03-31,2112.0
2019-06-30,2229.0
2019-09-30,2207.0
2019-12-31,2244.0
2020-03-31,2038.0
2020-06-30,2168.0
2020-09-30,2436.0
2020-12-31,2595.0
2021-03-31,2555.0
2021-06-30,2742.0
2021-09-30,2779.0
2021-12-31,2688.0
2022-03-31,2518.0
2022-06-30,2465.0
2022-09-30,2389.0
2022-12-31,2436.0
2023-03-31,2719.0
2023-06-30,2882.0
2023-09-30,2883.0
2023-12-31,3200.0
2024-03-31,3410.0
2024-06-30,3594.0
2024-09-30,4069.0
2024-12-31,3756.0
2025-03-31,4131.0
2025-06-30,4700.0
2025-09-30,4875.0
2025-12-31,5174.0
2026-03-31,4924.0
