as_of,value
2013-03-31,217.0
2013-06-30,225.0
2013-09-30,256.0
2013-12-31,265.0
2014-03-31,279.0
2014-06-30,270.0
2014-09-30,286.0
2014-12-31,281.0
2015-03-31,276.0
2015-06-30,255.0
2015-09-30,250.0
2015-12-31,265.0
2016-03-31,269.0
2016-06-30,267.0
2016-09-30,267.0
2016-12-31,295.0
2017-03-31,313.0
2017-06-30,331.0
2017-09-30,345.0
2017-12-31,356.0
2018-03-31,394.0
2018-06-30,392.0
2018-09-30,377.0
2018-12-31,387.0
2019-03-31,401.0
2019-06-30,429.0
2019-09-30,401.0
2019-12-31,450.0
2020-03-31,441.0
2020-06-30,416.0
2020-09-30,449.0
2020-12-31,406.0
2021-03-31,482.0
2021-06-30,544.0
2021-09-30,548.0
2021-12-31,634.0
2022-03-31,599.0
2022-06-30,589.0
2022-09-30,567.0
2022-12-31,583.0
2023-03-31,569.0
2023-06-30,547.0
2023-09-30,564.0
2023-12-31,548.0
2024-03-31,557.0
2024-06-30,553.0
2024-09-30,549.0
2024-12-31,599.0
2025-03-31,650.0
2025-06-30,719.0
2025-09-30,700.0
2025-12-31,783.0
2026-03-31,781.0
