as_of,value
2013-03-31,795.0
2013-06-30,836.0
2013-09-30,844.0
2013-12-31,926.0
2014-03-31,1000.0
2014-06-30,993.0
2014-09-30,988.0
2014-12-31,1039.0
2015-03-31,1080.0
2015-06-30,1132.0
2015-09-30,1056.0
2015-12-31,1028.0
2016-03-31,979.0
2016-06-30,982.0
2016-09-30,1086.0
2016-12-31,1090.0
2017-03-31,1186.0
2017-06-30,1268.0
2017-09-30,1373.0
2017-12-31,1381.0
2018-03-31,1420.0
2018-06-30,1530.0
2018-09-30,1594.0
2018-12-31,1291.0
2019-03-31,1411.0
2019-06-30,1436.0
2019-09-30,1356.0
2019-12-31,1413.0
2020-03-31,1067.0
2020-06-30,1301.0
2020-09-30,1417.0
2020-12-31,1621.0
2021-03-31,1715.0
2021-06-30,1939.0
2021-09-30,1931.0
2021-12-31,1975.0
2022-03-31,1851.0
2022-06-30,1667.0
2022-09-30,1601.0
2022-12-31,1646.0
2023-03-31,1753.0
2023-06-30,1878.0
2023-09-30,1811.0
2023-12-31,2088.0
2024-03-31,2312.0
2024-06-30,2338.0
2024-09-30,2513.0
2024-12-31,2500.0
2025-03-31,2629.0
2025-06-30,3008.0
2025-09-30,3259.0
2025-12-31,3259.0
2026-03-31,3221.0
