as_of,value
2013-03-31,3883.0
2013-06-30,3996.0
2013-09-30,4118.0
2013-12-31,4349.0
2014-03-31,4580.0
2014-06-30,4818.0
2014-09-30,4927.0
2014-12-31,4913.0
2015-03-31,5307.0
2015-06-30,5262.0
2015-09-30,5174.0
2015-12-31,4975.0
2016-03-31,4985.0
2016-06-30,5092.0
2016-09-30,5240.0
2016-12-31,5208.0
2017-03-31,5515.0
2017-06-30,5675.0
2017-09-30,5882.0
2017-12-31,5887.0
2018-03-31,6107.0
2018-06-30,6310.0
2018-09-30,6434.0
2018-12-31,6180.0
2019-03-31,6510.0
2019-06-30,6718.0
2019-09-30,6639.0
2019-12-31,6702.0
2020-03-31,6239.0
2020-06-30,6403.0
2020-09-30,6825.0
2020-12-31,7105.0
2021-03-31,7235.0
2021-06-30,7895.0
2021-09-30,8316.0
2021-12-31,8323.0
2022-03-31,8258.0
2022-06-30,7920.0
2022-09-30,7701.0
2022-12-31,7825.0
2023-03-31,8025.0
2023-06-30,8447.0
2023-09-30,8766.0
2023-12-31,9209.0
2024-03-31,9490.0
2024-06-30,9626.0
2024-09-30,10423.0
2024-12-31,10256.0
2025-03-31,10937.0
2025-06-30,11809.0
2025-09-30,12203.0
2025-12-31,12570.0
2026-03-31,12626.0
