as_of,value
2013-03-31,2042.0
2013-06-30,2085.0
2013-09-30,2171.0
2013-12-31,2388.0
2014-03-31,2463.0
2014-06-30,2612.0
2014-09-30,2591.0
2014-12-31,2658.0
2015-03-31,2828.0
2015-06-30,2847.0
2015-09-30,2736.0
2015-12-31,2714.0
2016-03-31,2646.0
2016-06-30,2654.0
2016-09-30,2729.0
2016-12-31,2733.0
2017-03-31,2816.0
2017-06-30,2897.0
2017-09-30,2987.0
2017-12-31,3046.0
2018-03-31,3105.0
2018-06-30,3153.0
2018-09-30,3185.0
2018-12-31,2956.0
2019-03-31,3117.0
2019-06-30,3157.0
2019-09-30,3173.0
2019-12-31,3221.0
2020-03-31,2862.0
2020-06-30,3211.0
2020-09-30,3398.0
2020-12-31,3575.0
2021-03-31,3738.0
2021-06-30,4051.0
2021-09-30,4166.0
2021-12-31,4182.0
2022-03-31,4136.0
2022-06-30,3873.0
2022-09-30,3769.0
2022-12-31,3778.0
2023-03-31,3880.0
2023-06-30,3940.0
2023-09-30,3964.0
2023-12-31,3962.0
2024-03-31,4129.0
2024-06-30,4126.0
2024-09-30,4290.0
2024-12-31,4211.0
2025-03-31,4318.0
2025-06-30,4545.0
2025-09-30,4742.0
2025-12-31,4835.0
2026-03-31,4918.0
