as_of,value
2013-03-31,591.0
2013-06-30,696.0
2013-09-30,597.0
2013-12-31,508.0
2014-03-31,500.0
2014-06-30,547.0
2014-09-30,573.0
2014-12-31,554.0
2015-03-31,659.0
2015-06-30,649.0
2015-09-30,719.0
2015-12-31,600.0
2016-03-31,696.0
2016-06-30,691.0
2016-09-30,729.0
2016-12-31,675.0
2017-03-31,738.0
2017-06-30,795.0
2017-09-30,721.0
2017-12-31,685.0
2018-03-31,780.0
2018-06-30,894.0
2018-09-30,862.0
2018-12-31,1081.0
2019-03-31,1221.0
2019-06-30,1290.0
2019-09-30,1331.0
2019-12-31,1302.0
2020-03-31,1358.0
2020-06-30,1169.0
2020-09-30,1331.0
2020-12-31,1202.0
2021-03-31,1066.0
2021-06-30,1113.0
2021-09-30,1205.0
2021-12-31,1151.0
2022-03-31,1090.0
2022-06-30,1150.0
2022-09-30,1149.0
2022-12-31,1227.0
2023-03-31,1442.0
2023-06-30,1637.0
2023-09-30,1822.0
2023-12-31,2009.0
2024-03-31,2071.0
2024-06-30,2215.0
2024-09-30,2738.0
2024-12-31,2497.0
2025-03-31,2855.0
2025-06-30,3122.0
2025-09-30,3165.0
2025-12-31,3379.0
2026-03-31,3243.0
