as_of,value
2013-03-31,339.0
2013-06-30,449.0
2013-09-30,460.0
2013-12-31,386.0
2014-03-31,468.0
2014-06-30,477.0
2014-09-30,516.0
2014-12-31,458.0
2015-03-31,488.0
2015-06-30,468.0
2015-09-30,475.0
2015-12-31,429.0
2016-03-31,453.0
2016-06-30,460.0
2016-09-30,504.0
2016-12-31,562.0
2017-03-31,655.0
2017-06-30,690.0
2017-09-30,709.0
2017-12-31,676.0
2018-03-31,765.0
2018-06-30,732.0
2018-09-30,754.0
2018-12-31,766.0
2019-03-31,810.0
2019-06-30,721.0
2019-09-30,666.0
2019-12-31,693.0
2020-03-31,735.0
2020-06-30,691.0
2020-09-30,788.0
2020-12-31,734.0
2021-03-31,852.0
2021-06-30,963.0
2021-09-30,1063.0
2021-12-31,1078.0
2022-03-31,1078.0
2022-06-30,1050.0
2022-09-30,986.0
2022-12-31,986.0
2023-03-31,1014.0
2023-06-30,1005.0
2023-09-30,1060.0
2023-12-31,1040.0
2024-03-31,1129.0
2024-06-30,1085.0
2024-09-30,1150.0
2024-12-31,1105.0
2025-03-31,1147.0
2025-06-30,1263.0
2025-09-30,1322.0
2025-12-31,1335.0
2026-03-31,1399.0
