as_of,value
2013-03-31,411.8
2013-09-30,438.4
2013-12-31,500.2
2014-03-31,499.9
2014-06-30,523.2
2014-09-30,494.1
2014-12-31,554.9
2015-03-31,573.4
2015-06-30,569.7
2015-09-30,571.9
2015-12-31,570.8
2016-03-31,552.2
2016-06-30,572.4
2016-09-30,547.1
2016-12-31,554.1
2017-03-31,500.6
2017-06-30,579.3
2017-09-30,523.3
2017-12-31,532.2
2018-03-31,512.1
2018-06-30,539.8
2018-09-30,539.0
2018-12-31,534.0
2019-03-31,492.3
2019-06-30,493.2
2019-09-30,500.5
2019-12-31,470.2
2020-03-31,505.3
2020-06-30,503.2
2020-09-30,490.2
2020-12-31,500.8
2021-03-31,460.4
2021-06-30,482.3
2021-09-30,515.5
2021-12-31,521.8
2022-03-31,554.8
2022-06-30,610.9
2022-09-30,600.5
2022-12-31,588.1
2023-03-31,538.6
2023-06-30,515.0
2023-09-30,567.2
2023-12-31,500.8
2024-03-31,498.4
2024-06-30,498.6
2024-09-30,501.1
2024-12-31,518.3
2025-03-31,512.5
2025-06-30,586.8
2025-09-30,563.5
2025-12-31,630.8
2026-03-31,702.3
