as_of,value
1973-01-01,94.4
1973-02-01,97.5
1973-03-01,101.8
1973-04-01,104.0
1973-05-01,106.4
1973-06-01,107.1
1973-07-01,109.0
1973-08-01,113.7
1973-09-01,115.2
1973-10-01,115.1
1973-11-01,114.0
1973-12-01,115.1
1974-01-01,117.7
1974-02-01,118.8
1974-03-01,120.3
1974-04-01,124.5
1974-05-01,128.5
1974-06-01,130.2
1974-07-01,132.7
1974-08-01,136.0
1974-09-01,137.2
1974-10-01,138.0
1974-11-01,137.0
1974-12-01,140.2
1975-01-01,142.2
1975-02-01,141.2
1975-03-01,141.7
1975-04-01,141.1
1975-05-01,141.4
1975-06-01,140.4
1975-07-01,140.0
1975-08-01,140.7
1975-09-01,142.1
1975-10-01,143.5
1975-11-01,143.1
1975-12-01,145.2
1976-01-01,143.4
1976-02-01,141.0
1976-03-01,141.0
1976-04-01,139.6
1976-05-01,139.5
1976-06-01,141.5
1976-07-01,141.5
1976-08-01,140.9
1976-09-01,141.2
1976-10-01,141.2
1976-11-01,141.1
1976-12-01,143.3
1977-01-01,143.8
1977-02-01,144.3
1977-03-01,145.7
1977-04-01,145.6
1977-05-01,147.8
1977-06-01,149.9
1977-07-01,150.7
1977-08-01,152.3
1977-09-01,153.4
1977-10-01,155.7
1977-11-01,158.5
1977-12-01,162.6
1978-01-01,164.1
1978-02-01,165.9
1978-03-01,169.6
1978-04-01,171.3
1978-05-01,174.7
1978-06-01,176.1
1978-07-01,177.9
1978-08-01,180.3
1978-09-01,183.2
1978-10-01,184.9
1978-11-01,190.8
1978-12-01,194.8
1979-01-01,196.6
1979-02-01,197.2
1979-03-01,198.2
1979-04-01,196.7
1979-05-01,196.6
1979-06-01,195.7
1979-07-01,196.9
1979-08-01,200.5
1979-09-01,205.4
1979-10-01,209.4
1979-11-01,212.5
1979-12-01,215.1
1980-01-01,217.2
1980-02-01,221.0
1980-03-01,224.8
1980-04-01,227.6
1980-05-01,229.2
1980-06-01,228.0
1980-07-01,226.5
1980-08-01,229.8
1980-09-01,233.8
1980-10-01,238.3
1980-11-01,246.6
1980-12-01,256.5
1981-01-01,265.8
1981-02-01,269.3
1981-03-01,270.4
1981-04-01,271.4
1981-05-01,277.4
1981-06-01,280.3
1981-07-01,283.3
1981-08-01,289.9
1981-09-01,293.6
1981-10-01,297.5
1981-11-01,299.7
1981-12-01,303.7
1982-01-01,304.9
1982-02-01,307.6
1982-03-01,310.1
1982-04-01,312.1
1982-05-01,314.9
1982-06-01,318.9
1982-07-01,324.1
1982-08-01,331.0
1982-09-01,334.0
1982-10-01,336.8
1982-11-01,336.0
1982-12-01,333.1
1983-01-01,320.8
1983-02-01,314.3
1983-03-01,310.4
1983-04-01,307.0
1983-05-01,303.9
1983-06-01,305.3
1983-07-01,306.5
1983-08-01,310.2
1983-09-01,311.7
1983-10-01,313.8
1983-11-01,317.8
1983-12-01,320.8
1984-01-01,306.0
1984-02-01,303.4
1984-03-01,307.5
1984-04-01,307.0
1984-05-01,316.9
1984-06-01,325.5
1984-07-01,328.5
1984-08-01,329.5
1984-09-01,330.2
1984-10-01,333.4
1984-11-01,334.8
1984-12-01,339.7
1985-01-01,338.9
1985-02-01,338.8
1985-03-01,342.1
1985-04-01,335.5
1985-05-01,331.8
1985-06-01,330.0
1985-07-01,327.4
1985-08-01,332.7
1985-09-01,338.1
1985-10-01,340.4
1985-11-01,340.6
1985-12-01,344.0
1986-01-01,349.9
1986-02-01,350.4
1986-03-01,348.5
1986-04-01,344.8
1986-05-01,339.8
1986-06-01,338.9
1986-07-01,340.3
1986-08-01,346.0
1986-09-01,348.9
1986-10-01,346.7
1986-11-01,347.1
1986-12-01,351.6
1987-01-01,352.2
1987-02-01,353.9
1987-03-01,358.2
1987-04-01,362.1
1987-05-01,369.7
1987-06-01,373.5
1987-07-01,374.2
1987-08-01,377.0
1987-09-01,379.6
1987-10-01,386.7
1987-11-01,392.1
1987-12-01,395.9
1988-01-01,396.5
1988-02-01,399.2
1988-03-01,402.3
1988-04-01,400.3
1988-05-01,401.5
1988-06-01,404.3
1988-07-01,406.8
1988-08-01,413.8
1988-09-01,420.0
1988-10-01,424.7
1988-11-01,426.8
1988-12-01,432.8
1989-01-01,435.0
1989-02-01,439.9
1989-03-01,450.2
1989-04-01,455.6
1989-05-01,456.0
1989-06-01,457.8
1989-07-01,461.2
1989-08-01,464.9
1989-09-01,465.7
1989-10-01,467.5
1989-11-01,466.4
1989-12-01,463.0
1990-01-01,459.5
1990-02-01,460.7
1990-03-01,461.8
1990-04-01,459.8
1990-05-01,457.5
1990-06-01,454.1
1990-07-01,454.9
1990-08-01,452.6
1990-09-01,448.5
1990-10-01,444.2
1990-11-01,440.7
1990-12-01,436.9
1991-01-01,445.7
1991-02-01,457.7
1991-03-01,459.6
1991-04-01,459.1
1991-05-01,460.0
1991-06-01,457.9
1991-07-01,455.2
1991-08-01,456.8
1991-09-01,454.3
1991-10-01,443.7
1991-11-01,442.6
1991-12-01,440.0
1992-01-01,432.7
1992-02-01,428.5
1992-03-01,422.9
1992-04-01,412.8
1992-05-01,410.7
1992-06-01,405.0
1992-07-01,400.7
1992-08-01,401.5
1992-09-01,395.5
1992-10-01,388.6
1992-11-01,383.5
1992-12-01,376.5
1993-01-01,369.7
1993-02-01,370.2
1993-03-01,366.9
1993-04-01,364.4
1993-05-01,368.5
1993-06-01,363.9
1993-07-01,354.6
1993-08-01,351.1
1993-09-01,348.2
1993-10-01,344.7
1993-11-01,346.5
1993-12-01,348.9
1994-01-01,346.2
1994-02-01,341.8
1994-03-01,335.1
1994-04-01,336.9
1994-05-01,343.3
1994-06-01,336.4
1994-07-01,340.6
1994-08-01,346.8
1994-09-01,352.2
1994-10-01,356.6
1994-11-01,363.6
1994-12-01,366.7
1995-01-01,366.7
1995-02-01,374.8
1995-03-01,381.8
1995-04-01,387.9
1995-05-01,395.9
1995-06-01,398.9
1995-07-01,400.6
1995-08-01,410.4
1995-09-01,414.2
1995-10-01,419.0
1995-11-01,420.0
1995-12-01,418.3
1996-01-01,417.0
1996-02-01,422.4
1996-03-01,429.0
1996-04-01,433.3
1996-05-01,445.4
1996-06-01,444.7
1996-07-01,448.3
1996-08-01,456.7
1996-09-01,470.0
1996-10-01,495.0
1996-11-01,502.6
1996-12-01,518.6
1997-01-01,523.3
1997-02-01,536.6
1997-03-01,541.7
1997-04-01,556.4
1997-05-01,562.7
1997-06-01,577.9
1997-07-01,593.2
1997-08-01,604.6
1997-09-01,617.2
1997-10-01,626.0
1997-11-01,638.6
1997-12-01,643.1
1998-01-01,641.5
1998-02-01,654.0
1998-03-01,674.1
1998-04-01,666.0
1998-05-01,666.8
1998-06-01,674.4
1998-07-01,662.9
1998-08-01,672.2
1998-09-01,684.6
1998-10-01,702.0
1998-11-01,716.4
1998-12-01,709.0
1999-01-01,712.3
1999-02-01,721.7
1999-03-01,716.9
1999-04-01,719.4
1999-05-01,717.8
1999-06-01,711.7
1999-07-01,714.4
1999-08-01,714.7
1999-09-01,730.2
1999-10-01,761.4
1999-11-01,803.8
1999-12-01,840.8
2000-01-01,846.6
2000-02-01,850.6
2000-03-01,851.5
2000-04-01,865.4
2000-05-01,869.6
2000-06-01,878.7
2000-07-01,889.5
2000-08-01,901.2
2000-09-01,899.6
2000-10-01,899.0
2000-11-01,907.7
2000-12-01,927.4
2001-01-01,939.0
2001-02-01,933.6
2001-03-01,932.4
2001-04-01,944.4
2001-05-01,953.0
2001-06-01,952.7
2001-07-01,939.1
2001-08-01,928.0
2001-09-01,934.8
2001-10-01,946.2
2001-11-01,960.9
2001-12-01,973.4
2002-01-01,989.0
2002-02-01,999.2
2002-03-01,1003.7
2002-04-01,1022.4
2002-05-01,1029.1
2002-06-01,1020.4
2002-07-01,1021.1
2002-08-01,1021.5
2002-09-01,1019.5
2002-10-01,1013.3
2002-11-01,1010.9
2002-12-01,990.8
2003-01-01,1007.5
2003-02-01,1022.8
2003-03-01,1020.3
2003-04-01,1005.6
2003-05-01,1014.8
2003-06-01,1008.3
2003-07-01,1001.7
2003-08-01,999.3
2003-09-01,997.0
2003-10-01,980.7
2003-11-01,989.2
2003-12-01,999.5
2004-01-01,1027.5
2004-02-01,1035.7
2004-03-01,1052.3
2004-04-01,1073.5
2004-05-01,1105.1
2004-06-01,1129.5
2004-07-01,1160.9
2004-08-01,1159.9
2004-09-01,1160.4
2004-10-01,1159.6
2004-11-01,1175.9
2004-12-01,1197.4
2005-01-01,1235.2
2005-02-01,1237.1
2005-03-01,1246.3
2005-04-01,1292.1
2005-05-01,1302.4
2005-06-01,1329.3
2005-07-01,1317.8
2005-08-01,1362.2
2005-09-01,1387.5
2005-10-01,1390.9
2005-11-01,1395.5
2005-12-01,1422.1
2006-01-01,1449.1
2006-02-01,1467.2
2006-03-01,1506.4
2006-04-01,1554.3
2006-05-01,1578.2
2006-06-01,1600.0
2006-07-01,1606.5
2006-08-01,1635.8
2006-09-01,1670.7
2006-10-01,1691.5
2006-11-01,1706.3
2006-12-01,1715.6
2007-01-01,1723.1
2007-02-01,1722.1
2007-03-01,1721.9
2007-04-01,1749.7
2007-05-01,1784.8
2007-06-01,1764.5
2007-07-01,1750.5
2007-08-01,1797.7
2007-09-01,1849.0
2007-10-01,1948.2
2007-11-01,2017.8
2007-12-01,2021.1
2008-01-01,2052.5
2008-02-01,2064.2
2008-03-01,2078.3
2008-04-01,2090.2
2008-05-01,2104.6
2008-06-01,2100.5
2008-07-01,2066.8
2008-08-01,2076.7
2008-09-01,2124.8
2008-10-01,2049.8
