as_of,value
2010-11-30,307.9
2010-12-31,240.9
2011-01-31,270.2
2011-02-28,295.1
2011-03-31,257.3
2011-04-30,255.0
2011-05-31,287.1
2011-06-30,265.1
2011-07-31,266.9
2011-08-31,300.0
2011-09-30,280.6
2011-10-31,296.7
2011-11-30,320.7
2011-12-31,266.5
2012-01-31,304.5
2012-02-29,335.4
2012-03-31,302.2
2012-04-30,327.3
2012-05-31,343.7
2012-06-30,322.9
2012-07-31,360.3
2012-08-31,359.1
2012-09-30,303.6
2012-10-31,358.0
2012-11-30,372.7
2012-12-31,294.4
2013-01-31,321.5
2013-02-28,316.3
2013-03-31,265.0
2013-04-30,310.8
2013-05-31,291.7
2013-06-30,247.7
2013-07-31,260.7
2013-08-31,244.2
2013-09-30,236.2
2013-10-31,247.2
2013-11-30,231.4
2013-12-31,202.7
2014-01-31,217.0
2014-02-28,196.2
2014-03-31,172.4
2014-04-30,175.2
2014-05-31,188.9
2014-06-30,169.7
2014-07-31,188.4
2014-08-31,184.5
2014-09-30,157.0
2014-10-31,182.9
2014-11-30,179.0
2014-12-31,145.0
2015-01-31,176.6
2015-02-28,169.6
2015-03-31,158.5
2015-04-30,186.9
2015-05-31,178.1
2015-06-30,156.6
2015-07-31,198.4
2015-08-31,205.4
2015-09-30,174.2
2015-10-31,200.3
2015-11-30,201.1
2015-12-31,162.1
2016-01-31,204.7
2016-02-29,217.5
2016-03-31,176.2
2016-04-30,214.4
2016-05-31,221.6
2016-06-30,192.9
2016-07-31,240.0
2016-08-31,257.8
2016-09-30,229.7
2016-10-31,267.0
2016-11-30,299.0
2016-12-31,222.3
2017-01-31,266.8
2017-02-28,271.7
2017-03-31,253.3
2017-04-30,292.2
2017-05-31,287.6
2017-06-30,257.9
2017-07-31,287.2
2017-08-31,305.3
2017-09-30,291.4
2017-10-31,328.7
2017-11-30,326.8
2017-12-31,307.5
2018-01-31,338.7
2018-02-28,334.0
2018-03-31,294.8
2018-04-30,344.8
2018-05-31,350.6
2018-06-30,336.5
2018-07-31,353.6
2018-08-31,360.5
2018-09-30,358.7
2018-10-31,367.7
2018-11-30,352.5
2018-12-31,376.9
2019-01-31,419.2
2019-02-28,403.6
2019-03-31,402.1
2019-04-30,415.6
2019-05-31,438.3
2019-06-30,416.6
2019-07-31,435.8
2019-08-31,436.5
2019-09-30,424.3
2019-10-31,420.3
2019-11-30,407.0
2019-12-31,377.9
2020-01-31,445.9
2020-02-29,489.0
2020-03-31,463.4
2020-04-30,475.3
2020-05-31,408.8
2020-06-30,365.3
2020-07-31,360.4
2020-08-31,386.8
2020-09-30,384.0
2020-10-31,384.0
2020-11-30,402.1
2020-12-31,378.7
2021-01-31,379.8
2021-02-28,437.3
2021-03-31,421.7
2021-04-30,417.0
2021-05-31,409.0
2021-06-30,363.2
2021-07-31,369.6
2021-08-31,358.9
2021-09-30,333.9
2021-10-31,329.1
2021-11-30,335.6
2021-12-31,314.1
2022-01-31,338.4
2022-02-28,346.7
2022-03-31,313.5
2022-04-30,304.3
2022-05-31,295.0
2022-06-30,233.8
2022-07-31,251.0
2022-08-31,277.8
2022-09-30,261.6
2022-10-31,293.2
2022-11-30,345.5
2022-12-31,324.3
2023-01-31,415.8
2023-02-28,421.0
2023-03-31,470.6
2023-04-30,511.1
2023-05-31,569.7
2023-06-30,553.0
2023-07-31,597.0
2023-08-31,618.4
2023-09-30,636.9
2023-10-31,645.7
2023-11-30,718.2
2023-12-31,699.1
2024-01-31,760.7
2024-02-29,710.7
2024-03-31,682.4
2024-04-30,659.3
2024-05-31,697.6
2024-06-30,695.8
2024-07-31,711.4
2024-08-31,711.3
2024-09-30,732.4
2024-10-31,723.7
2024-11-30,741.4
2024-12-31,731.7
2025-01-31,724.9
2025-02-28,819.2
2025-03-31,839.0
2025-04-30,849.4
2025-05-31,900.0
2025-06-30,927.1
2025-07-31,922.5
2025-08-31,890.1
2025-09-30,876.8
2025-10-31,879.9
2025-11-30,880.5
2025-12-31,900.5
2026-01-31,968.5
2026-02-28,997.9
2026-03-31,949.8
2026-04-30,956.4
2026-05-31,969.6
2026-06-30,985.5
2026-07-31,957.6
