as_of,value
2010-11-30,434.1
2010-12-31,454.1
2011-01-31,422.4
2011-02-28,417.3
2011-03-31,434.0
2011-04-30,427.8
2011-05-31,402.2
2011-06-30,419.3
2011-07-31,394.5
2011-08-31,440.2
2011-09-30,461.4
2011-10-31,430.0
2011-11-30,433.6
2011-12-31,459.4
2012-01-31,440.4
2012-02-29,398.1
2012-03-31,383.9
2012-04-30,374.3
2012-05-31,373.4
2012-06-30,396.5
2012-07-31,383.2
2012-08-31,368.3
2012-09-30,405.5
2012-10-31,370.8
2012-11-30,370.6
2012-12-31,407.2
2013-01-31,386.9
2013-02-28,375.4
2013-03-31,390.5
2013-04-30,380.6
2013-05-31,382.6
2013-06-30,405.0
2013-07-31,408.2
2013-08-31,406.5
2013-09-30,415.1
2013-10-31,415.1
2013-11-30,399.0
2013-12-31,438.0
2014-01-31,425.8
2014-02-28,393.6
2014-03-31,383.3
2014-04-30,366.2
2014-05-31,378.2
2014-06-30,387.1
2014-07-31,416.3
2014-08-31,412.5
2014-09-30,416.7
2014-10-31,405.8
2014-11-30,418.8
2014-12-31,456.8
2015-01-31,459.1
2015-02-28,410.7
2015-03-31,398.0
2015-04-30,395.5
2015-05-31,391.3
2015-06-30,406.5
2015-07-31,400.7
2015-08-31,430.3
2015-09-30,466.7
2015-10-31,501.1
2015-11-30,496.2
2015-12-31,533.3
2016-01-31,537.1
2016-02-29,548.3
2016-03-31,537.4
2016-04-30,534.2
2016-05-31,574.3
2016-06-30,627.5
2016-07-31,640.3
2016-08-31,655.9
2016-09-30,678.1
2016-10-31,698.4
2016-11-30,712.8
2016-12-31,700.5
2017-01-31,735.5
2017-02-28,715.7
2017-03-31,666.7
2017-04-30,670.7
2017-05-31,666.9
2017-06-30,665.9
2017-07-31,707.5
2017-08-31,697.3
2017-09-30,698.6
2017-10-31,694.5
2017-11-30,702.3
2017-12-31,716.4
2018-01-31,748.3
2018-02-28,733.5
2018-03-31,673.6
2018-04-30,697.2
2018-05-31,702.9
2018-06-30,694.6
2018-07-31,704.3
2018-08-31,670.2
2018-09-30,660.2
2018-10-31,665.3
2018-11-30,656.2
2018-12-31,680.6
2019-01-31,682.0
2019-02-28,683.0
2019-03-31,712.8
2019-04-30,734.9
2019-05-31,746.7
2019-06-30,729.9
2019-07-31,733.1
2019-08-31,723.6
2019-09-30,764.4
2019-10-31,804.0
2019-11-30,785.4
2019-12-31,828.7
2020-01-31,787.8
2020-02-29,777.1
2020-03-31,1072.4
2020-04-30,1062.5
2020-05-31,962.3
2020-06-30,896.0
2020-07-31,850.0
2020-08-31,812.6
2020-09-30,768.3
2020-10-31,730.0
2020-11-30,706.4
2020-12-31,688.1
2021-01-31,665.4
2021-02-28,650.5
2021-03-31,616.8
2021-04-30,600.4
2021-05-31,578.5
2021-06-30,535.9
2021-07-31,524.2
2021-08-31,504.8
2021-09-30,474.0
2021-10-31,447.1
2021-11-30,437.2
2021-12-31,409.9
2022-01-31,404.9
2022-02-28,405.7
2022-03-31,403.4
2022-04-30,402.5
2022-05-31,436.9
2022-06-30,423.4
2022-07-31,446.0
2022-08-31,458.1
2022-09-30,492.2
2022-10-31,548.6
2022-11-30,600.3
2022-12-31,579.8
2023-01-31,630.6
2023-02-28,604.8
2023-03-31,791.9
2023-04-30,808.7
2023-05-31,873.4
2023-06-30,754.8
2023-07-31,691.3
2023-08-31,699.7
2023-09-30,690.2
2023-10-31,726.4
2023-11-30,731.2
2023-12-31,708.2
2024-01-31,750.3
2024-02-29,743.6
2024-03-31,728.9
2024-04-30,733.5
2024-05-31,753.8
2024-06-30,741.3
2024-07-31,767.0
2024-08-31,775.3
2024-09-30,793.7
2024-10-31,855.4
2024-11-30,853.7
2024-12-31,886.4
2025-01-31,893.5
2025-02-28,885.8
2025-03-31,902.4
2025-04-30,979.3
2025-05-31,983.2
2025-06-30,992.8
2025-07-31,993.4
2025-08-31,974.6
2025-09-30,998.8
2025-10-31,994.6
2025-11-30,990.4
2025-12-31,1013.1
2026-01-31,1074.3
2026-02-28,1102.7
2026-03-31,1100.2
2026-04-30,1189.2
2026-05-31,1193.9
2026-06-30,1207.9
2026-07-31,1214.8
