as_of,value
2010-11-30,787.4
2010-12-31,817.2
2011-01-31,798.6
2011-02-28,802.7
2011-03-31,810.9
2011-04-30,809.5
2011-05-31,784.0
2011-06-30,767.8
2011-07-31,703.6
2011-08-31,773.3
2011-09-30,748.4
2011-10-31,738.9
2011-11-30,758.9
2011-12-31,743.8
2012-01-31,699.9
2012-02-29,744.9
2012-03-31,712.3
2012-04-30,703.3
2012-05-31,706.7
2012-06-30,692.5
2012-07-31,683.3
2012-08-31,653.5
2012-09-30,697.4
2012-10-31,670.1
2012-11-30,682.8
2012-12-31,727.8
2013-01-31,712.2
2013-02-28,718.6
2013-03-31,710.8
2013-04-30,709.5
2013-05-31,722.8
2013-06-30,727.1
2013-07-31,715.8
2013-08-31,725.9
2013-09-30,721.3
2013-10-31,733.3
2013-11-30,729.2
2013-12-31,671.2
2014-01-31,705.3
2014-02-28,702.1
2014-03-31,649.6
2014-04-30,685.0
2014-05-31,680.8
2014-06-30,603.3
2014-07-31,657.2
2014-08-31,687.3
2014-09-30,631.6
2014-10-31,731.6
2014-11-30,709.7
2014-12-31,617.3
2015-01-31,704.2
2015-02-28,720.4
2015-03-31,616.5
2015-04-30,693.1
2015-05-31,713.3
2015-06-30,614.6
2015-07-31,723.3
2015-08-31,734.0
2015-09-30,593.6
2015-10-31,697.9
2015-11-30,681.7
2015-12-31,562.4
2016-01-31,667.1
2016-02-29,686.5
2016-03-31,570.4
2016-04-30,471.7
2016-05-31,460.3
2016-06-30,418.4
2016-07-31,377.5
2016-08-31,317.6
2016-09-30,257.2
2016-10-31,254.0
2016-11-30,259.3
2016-12-31,246.0
2017-01-31,251.7
2017-02-28,253.3
2017-03-31,240.4
2017-04-30,249.1
2017-05-31,247.1
2017-06-30,232.1
2017-07-31,236.1
2017-08-31,241.1
2017-09-30,239.5
2017-10-31,239.5
2017-11-30,244.1
2017-12-31,239.9
2018-01-31,251.3
2018-02-28,254.8
2018-03-31,243.0
2018-04-30,245.0
2018-05-31,257.8
2018-06-30,247.1
2018-07-31,254.7
2018-08-31,255.2
2018-09-30,258.4
2018-10-31,258.7
2018-11-30,266.5
2018-12-31,265.2
2019-01-31,268.6
2019-02-28,279.6
2019-03-31,299.0
2019-04-30,301.1
2019-05-31,313.4
2019-06-30,316.7
2019-07-31,320.1
2019-08-31,305.0
2019-09-30,299.4
2019-10-31,309.1
2019-11-30,319.6
2019-12-31,299.3
2020-01-31,301.6
2020-02-29,310.4
2020-03-31,304.1
2020-04-30,319.3
2020-05-31,327.1
2020-06-30,312.3
2020-07-31,313.9
2020-08-31,296.6
2020-09-30,272.9
2020-10-31,270.6
2020-11-30,263.2
2020-12-31,241.2
2021-01-31,250.2
2021-02-28,247.6
2021-03-31,241.6
2021-04-30,240.0
2021-05-31,228.3
2021-06-30,219.4
2021-07-31,214.6
2021-08-31,221.4
2021-09-30,211.0
2021-10-31,214.8
2021-11-30,213.1
2021-12-31,199.5
2022-01-31,200.0
2022-02-28,211.0
2022-03-31,212.2
2022-04-30,219.0
2022-05-31,221.5
2022-06-30,209.9
2022-07-31,210.0
2022-08-31,227.2
2022-09-30,221.3
2022-10-31,240.3
2022-11-30,238.1
2022-12-31,226.0
2023-01-31,238.2
2023-02-28,242.1
2023-03-31,235.9
2023-04-30,236.4
2023-05-31,259.8
2023-06-30,253.8
2023-07-31,258.2
2023-08-31,259.1
2023-09-30,263.6
2023-10-31,278.7
2023-11-30,273.5
2023-12-31,274.2
2024-01-31,282.8
2024-02-29,278.0
2024-03-31,277.3
2024-04-30,267.9
2024-05-31,267.2
2024-06-30,263.2
2024-07-31,268.1
2024-08-31,267.9
2024-09-30,276.4
2024-10-31,281.6
2024-11-30,283.4
2024-12-31,287.4
2025-01-31,300.9
2025-02-28,306.6
2025-03-31,308.9
2025-04-30,324.4
2025-05-31,319.1
2025-06-30,321.2
2025-07-31,316.2
2025-08-31,323.8
2025-09-30,318.6
2025-10-31,320.1
2025-11-30,322.6
2025-12-31,328.3
2026-01-31,333.4
2026-02-28,341.7
2026-03-31,330.3
2026-04-30,337.2
2026-05-31,341.6
2026-06-30,355.8
2026-07-31,352.0
