as_of,value
2014-03-31,0.0
2014-04-30,0.0
2014-05-31,0.0
2014-06-30,0.0
2014-07-31,0.0
2014-08-31,0.0
2014-09-30,0.4
2014-10-31,0.1
2014-11-30,0.3
2014-12-31,0.1
2015-01-31,0.1
2015-02-28,0.2
2015-03-31,0.2
2015-04-30,0.3
2015-05-31,0.1
2015-06-30,0.4
2015-07-31,0.1
2015-08-31,0.1
2015-09-30,0.8
2015-10-31,0.6
2015-11-30,0.0
2015-12-31,0.1
2016-01-31,0.1
2016-02-29,0.1
2016-03-31,0.0
2016-04-30,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,4.9
2017-07-31,5.2
2017-08-31,6.5
2017-09-30,15.7
2017-10-31,12.5
2017-11-30,13.2
2017-12-31,34.0
2018-01-31,21.5
2018-02-28,21.3
2018-03-31,23.8
2018-04-30,19.7
2018-05-31,47.1
2018-06-30,51.4
2018-07-31,45.0
2018-08-31,38.3
2018-09-30,81.1
2018-10-31,74.3
2018-11-30,84.8
2018-12-31,138.8
2019-01-31,95.8
2019-02-28,103.0
2019-03-31,97.6
2019-04-30,107.2
2019-05-31,154.2
2019-06-30,190.0
2019-07-31,204.1
2019-08-31,188.3
2019-09-30,169.8
2019-10-31,168.2
2019-11-30,141.5
2019-12-31,272.0
2020-01-31,234.4
2020-02-29,202.1
2020-03-31,259.4
2020-04-30,214.1
2020-05-31,132.9
2020-06-30,107.1
2020-07-31,101.4
2020-08-31,108.7
2020-09-30,138.9
2020-10-31,90.3
2020-11-30,141.5
2020-12-31,168.7
2021-01-31,104.7
2021-02-28,92.6
2021-03-31,115.4
2021-04-30,103.0
2021-05-31,72.4
2021-06-30,82.8
2021-07-31,77.4
2021-08-31,104.9
2021-09-30,91.5
2021-10-31,70.1
2021-11-30,137.8
2021-12-31,97.0
2022-01-31,101.7
2022-02-28,141.2
2022-03-31,96.0
2022-04-30,67.2
2022-05-31,87.7
2022-06-30,68.4
2022-07-31,46.6
2022-08-31,53.3
2022-09-30,64.0
2022-10-31,75.6
2022-11-30,126.3
2022-12-31,110.1
2023-01-31,188.6
2023-02-28,183.9
2023-03-31,237.8
2023-04-30,233.6
2023-05-31,340.0
2023-06-30,335.1
2023-07-31,330.2
2023-08-31,365.7
2023-09-30,365.6
2023-10-31,376.8
2023-11-30,419.4
2023-12-31,446.7
2024-01-31,483.8
2024-02-29,490.6
2024-03-31,504.9
2024-04-30,517.4
2024-05-31,532.7
2024-06-30,539.1
2024-07-31,634.9
2024-08-31,642.9
2024-09-30,797.9
2024-10-31,777.9
2024-11-30,786.8
2024-12-31,864.7
2025-01-31,915.7
2025-02-28,887.3
2025-03-31,927.5
2025-04-30,998.9
2025-05-31,939.1
2025-06-30,1073.7
2025-07-31,1104.6
2025-08-31,955.0
2025-09-30,1114.9
2025-10-31,1112.5
2025-11-30,1162.6
2025-12-31,1297.9
2026-01-31,1190.3
2026-02-28,1185.1
2026-03-31,1255.7
2026-04-30,1163.9
2026-05-31,1168.7
2026-06-30,1301.1
2026-07-31,1075.9
