as_of,value
2010-11-30,143.0
2010-12-31,130.0
2011-01-31,120.9
2011-02-28,109.4
2011-03-31,106.1
2011-04-30,91.9
2011-05-31,92.9
2011-06-30,90.3
2011-07-31,93.6
2011-08-31,91.8
2011-09-30,81.8
2011-10-31,81.1
2011-11-30,80.3
2011-12-31,78.8
2012-01-31,80.9
2012-02-29,82.1
2012-03-31,81.9
2012-04-30,80.6
2012-05-31,76.9
2012-06-30,71.3
2012-07-31,72.1
2012-08-31,69.2
2012-09-30,69.7
2012-10-31,75.7
2012-11-30,78.8
2012-12-31,82.8
2013-01-31,79.6
2013-02-28,76.1
2013-03-31,68.1
2013-04-30,69.1
2013-05-31,74.5
2013-06-30,74.7
2013-07-31,72.6
2013-08-31,69.0
2013-09-30,70.5
2013-10-31,74.3
2013-11-30,75.0
2013-12-31,78.9
2014-01-31,81.1
2014-02-28,81.6
2014-03-31,85.6
2014-04-30,86.0
2014-05-31,85.4
2014-06-30,84.3
2014-07-31,88.3
2014-08-31,86.5
2014-09-30,88.8
2014-10-31,87.4
2014-11-30,92.5
2014-12-31,92.7
2015-01-31,91.5
2015-02-28,90.0
2015-03-31,89.1
2015-04-30,92.0
2015-05-31,89.6
2015-06-30,90.1
2015-07-31,88.7
2015-08-31,81.7
2015-09-30,78.7
2015-10-31,80.7
2015-11-30,80.6
2015-12-31,74.8
2016-01-31,74.9
2016-02-29,74.1
2016-03-31,67.0
2016-04-30,64.1
2016-05-31,62.6
2016-06-30,62.0
2016-07-31,63.8
2016-08-31,53.6
2016-09-30,46.6
2016-10-31,30.9
2016-11-30,31.7
2016-12-31,36.6
2017-01-31,35.2
2017-02-28,31.2
2017-03-31,32.2
2017-04-30,31.8
2017-05-31,29.6
2017-06-30,29.4
2017-07-31,28.7
2017-08-31,29.6
2017-09-30,27.2
2017-10-31,29.6
2017-11-30,30.8
2017-12-31,39.7
2018-01-31,35.2
2018-02-28,34.0
2018-03-31,36.1
2018-04-30,34.1
2018-05-31,34.4
2018-06-30,34.0
2018-07-31,38.3
2018-08-31,35.2
2018-09-30,38.5
2018-10-31,37.7
2018-11-30,42.0
2018-12-31,42.4
2019-01-31,36.7
2019-02-28,36.9
2019-03-31,37.0
2019-04-30,42.3
2019-05-31,41.6
2019-06-30,43.3
2019-07-31,46.5
2019-08-31,47.4
2019-09-30,50.1
2019-10-31,54.0
2019-11-30,54.2
2019-12-31,61.4
2020-01-31,63.9
2020-02-29,62.4
2020-03-31,47.0
2020-04-30,50.5
2020-05-31,49.4
2020-06-30,50.1
2020-07-31,48.9
2020-08-31,49.1
2020-09-30,48.9
2020-10-31,50.9
2020-11-30,52.2
2020-12-31,57.5
2021-01-31,59.5
2021-02-28,59.0
2021-03-31,54.0
2021-04-30,52.2
2021-05-31,51.0
2021-06-30,53.6
2021-07-31,53.9
2021-08-31,49.8
2021-09-30,49.9
2021-10-31,50.8
2021-11-30,55.2
2021-12-31,52.9
2022-01-31,52.1
2022-02-28,49.2
2022-03-31,48.6
2022-04-30,49.6
2022-05-31,46.9
2022-06-30,45.1
2022-07-31,46.3
2022-08-31,45.9
2022-09-30,45.8
2022-10-31,45.9
2022-11-30,45.4
2022-12-31,49.7
2023-01-31,52.5
2023-02-28,54.8
2023-03-31,54.0
2023-04-30,55.1
2023-05-31,58.8
2023-06-30,67.0
2023-07-31,72.1
2023-08-31,70.2
2023-09-30,74.7
2023-10-31,73.1
2023-11-30,76.0
2023-12-31,68.5
2024-01-31,78.5
2024-02-29,80.4
2024-03-31,86.3
2024-04-30,91.3
2024-05-31,92.0
2024-06-30,95.4
2024-07-31,95.8
2024-08-31,94.5
2024-09-30,91.4
2024-10-31,96.5
2024-11-30,109.5
2024-12-31,106.0
2025-01-31,106.0
2025-02-28,106.9
2025-03-31,103.2
2025-04-30,98.8
2025-05-31,104.4
2025-06-30,106.2
2025-07-31,119.4
2025-08-31,122.8
2025-09-30,127.5
2025-10-31,146.2
2025-11-30,148.5
2025-12-31,143.4
2026-01-31,152.9
2026-02-28,148.8
2026-03-31,148.8
2026-04-30,157.1
2026-05-31,157.6
2026-06-30,173.4
2026-07-31,169.5
