as_of,value
2011-03-31,1.4
2012-11-30,0.9
2013-09-30,54.9
2013-10-31,11.8
2013-11-30,18.0
2013-12-31,163.3
2014-01-31,82.5
2014-02-28,104.4
2014-03-31,222.0
2014-04-30,175.1
2014-05-31,152.0
2014-06-30,305.5
2014-07-31,136.2
2014-08-31,151.4
2014-09-30,294.4
2014-10-31,169.6
2014-11-30,165.5
2014-12-31,371.2
2015-01-31,173.2
2015-02-28,184.4
2015-03-31,345.3
2015-04-30,121.6
2015-05-31,149.0
2015-06-30,372.2
2015-07-31,129.4
2015-08-31,143.9
2015-09-30,414.4
2015-10-31,188.4
2015-11-30,133.9
2015-12-31,424.0
2016-01-31,104.0
2016-02-29,79.4
2016-03-31,267.7
2016-04-30,60.0
2016-05-31,90.9
2016-06-30,242.8
2016-07-31,85.0
2016-08-31,149.9
2016-09-30,384.3
2016-10-31,198.1
2016-11-30,177.3
2016-12-31,403.4
2017-01-31,165.2
2017-02-28,194.0
2017-03-31,328.8
2017-04-30,174.5
2017-05-31,244.2
2017-06-30,365.1
2017-07-31,189.9
2017-08-31,204.3
2017-09-30,298.5
2017-10-31,164.4
2017-11-30,96.2
2017-12-31,288.1
2018-01-31,55.1
2018-02-28,31.0
2018-03-31,22.6
2018-04-30,13.7
2018-05-31,21.5
2018-06-30,88.8
2018-07-31,9.0
2018-08-31,0.4
2018-09-30,44.9
2018-10-31,4.8
2018-11-30,2.5
2018-12-31,39.6
2019-01-31,1.0
2019-02-28,3.4
2019-03-31,0.7
2019-04-30,0.0
2019-05-31,0.9
2019-06-30,43.6
2019-07-31,7.4
2019-08-31,12.1
2019-09-30,7.1
2019-10-31,2.8
2019-11-30,0.5
2019-12-31,47.4
2020-01-31,4.5
2020-02-29,2.2
2020-03-31,284.9
2020-04-30,1.8
2020-05-31,1.3
2020-06-30,1.0
2020-07-31,0.2
2020-08-31,0.0
2020-09-30,0.9
2020-10-31,0.0
2020-11-30,0.0
2020-12-31,9.7
2021-01-31,5.4
2021-02-28,2.7
2021-03-31,125.3
2021-04-30,179.7
2021-05-31,458.6
2021-06-30,855.1
2021-07-31,885.6
2021-08-31,1049.6
2021-09-30,1438.9
2021-10-31,1345.7
2021-11-30,1397.0
2021-12-31,1739.7
2022-01-31,1474.7
2022-02-28,1445.7
2022-03-31,1658.1
2022-04-30,1670.3
2022-05-31,1753.2
2022-06-30,2062.9
2022-07-31,2098.2
2022-08-31,2069.4
2022-09-30,2220.6
2022-10-31,2145.0
2022-11-30,2003.5
2022-12-31,2339.6
2023-01-31,1989.0
2023-02-28,2097.3
2023-03-31,2230.8
2023-04-30,2213.9
2023-05-31,2044.0
2023-06-30,1906.0
2023-07-31,1753.1
2023-08-31,1565.2
2023-09-30,1483.9
2023-10-31,1084.1
2023-11-30,849.3
2023-12-31,968.7
2024-01-31,583.4
2024-02-29,464.9
2024-03-31,537.8
2024-04-30,508.7
2024-05-31,415.8
2024-06-30,618.3
2024-07-31,382.5
2024-08-31,391.5
2024-09-30,429.8
2024-10-31,173.6
2024-11-30,169.7
2024-12-31,382.4
2025-01-31,148.1
2025-02-28,201.4
2025-03-31,348.7
2025-04-30,214.4
2025-05-31,281.8
2025-06-30,389.4
2025-07-31,180.1
2025-08-31,55.0
2025-09-30,22.0
2025-10-31,32.6
2025-11-30,6.8
2025-12-31,72.6
2026-01-31,3.3
2026-02-28,7.0
2026-03-31,6.4
2026-04-30,2.6
2026-05-31,5.6
2026-06-30,6.8
