as_of,value
2010-11-30,3076.4
2010-12-31,3040.4
2011-01-31,3011.8
2011-02-28,3015.5
2011-03-31,2979.5
2011-04-30,3013.7
2011-05-31,3019.3
2011-06-30,2900.2
2011-07-31,2733.7
2011-08-31,2959.2
2011-09-30,2880.2
2011-10-31,2891.8
2011-11-30,2940.3
2011-12-31,2912.2
2012-01-31,2950.5
2012-02-29,2982.1
2012-03-31,2870.5
2012-04-30,2891.1
2012-05-31,2871.4
2012-06-30,2826.7
2012-07-31,2895.0
2012-08-31,2866.8
2012-09-30,2867.8
2012-10-31,2875.7
2012-11-30,2947.2
2012-12-31,2983.5
2013-01-31,3022.1
2013-02-28,2994.3
2013-03-31,2929.0
2013-04-30,2946.9
2013-05-31,2941.2
2013-06-30,2899.0
2013-07-31,2974.4
2013-08-31,2969.3
2013-09-30,3023.2
2013-10-31,3011.4
2013-11-30,2992.1
2013-12-31,3050.0
2014-01-31,3052.3
2014-02-28,3026.6
2014-03-31,2993.3
2014-04-30,2956.4
2014-05-31,2942.1
2014-06-30,2912.0
2014-07-31,2908.8
2014-08-31,2938.8
2014-09-30,2965.4
2014-10-31,2992.9
2014-11-30,3002.7
2014-12-31,3081.9
2015-01-31,3049.8
2015-02-28,3032.9
2015-03-31,3016.9
2015-04-30,2926.9
2015-05-31,2950.9
2015-06-30,2951.6
2015-07-31,2998.6
2015-08-31,3046.1
2015-09-30,3013.0
2015-10-31,3076.1
2015-11-30,3081.1
2015-12-31,3058.3
2016-01-31,3046.0
2016-02-29,3131.2
2016-03-31,3058.8
2016-04-30,3014.5
2016-05-31,3038.9
2016-06-30,2982.5
2016-07-31,2986.1
2016-08-31,3021.9
2016-09-30,2901.6
2016-10-31,2912.0
2016-11-30,3003.7
2016-12-31,2922.5
2017-01-31,2936.0
2017-02-28,2935.9
2017-03-31,2910.2
2017-04-30,2887.3
2017-05-31,2936.7
2017-06-30,2878.2
2017-07-31,2936.6
2017-08-31,2986.1
2017-09-30,2996.8
2017-10-31,3077.7
2017-11-30,3081.2
2017-12-31,3096.3
2018-01-31,3103.5
2018-02-28,3168.6
2018-03-31,3059.3
2018-04-30,3114.6
2018-05-31,3138.8
2018-06-30,3076.9
2018-07-31,3169.3
2018-08-31,3138.1
2018-09-30,3132.5
2018-10-31,3190.9
2018-11-30,3242.1
2018-12-31,3343.6
2019-01-31,3350.4
2019-02-28,3439.4
2019-03-31,3526.1
2019-04-30,3502.6
2019-05-31,3594.0
2019-06-30,3614.0
2019-07-31,3703.4
2019-08-31,3799.6
2019-09-30,3885.5
2019-10-31,3967.9
2019-11-30,3990.8
2019-12-31,4015.7
2020-01-31,4031.5
2020-02-29,4031.0
2020-03-31,4758.6
2020-04-30,5290.2
2020-05-31,5319.5
2020-06-30,5153.5
2020-07-31,5060.0
2020-08-31,5043.7
2020-09-30,4941.0
2020-10-31,4798.4
2020-11-30,4878.4
2020-12-31,4786.2
2021-01-31,4826.9
2021-02-28,4857.8
2021-03-31,5046.1
2021-04-30,5076.9
2021-05-31,5098.0
2021-06-30,5100.3
2021-07-31,4977.2
2021-08-31,5027.2
2021-09-30,5000.1
2021-10-31,5063.5
2021-11-30,5134.5
2021-12-31,5228.7
2022-01-31,5121.7
2022-02-28,5137.1
2022-03-31,5088.8
2022-04-30,5027.9
2022-05-31,4989.2
2022-06-30,5032.8
2022-07-31,5097.3
2022-08-31,5087.1
2022-09-30,5090.4
2022-10-31,5161.6
2022-11-30,5147.2
2022-12-31,5212.1
2023-01-31,5258.3
2023-02-28,5294.3
2023-03-31,5692.6
2023-04-30,5759.9
2023-05-31,5866.7
2023-06-30,5919.3
2023-07-31,5985.8
2023-08-31,6098.0
2023-09-30,6161.1
2023-10-31,6128.5
2023-11-30,6353.1
2023-12-31,6401.3
2024-01-31,6485.4
2024-02-29,6545.9
2024-03-31,6492.5
2024-04-30,6425.9
2024-05-31,6540.1
2024-06-30,6557.9
2024-07-31,6649.4
2024-08-31,6696.1
2024-09-30,6925.0
2024-10-31,6971.0
2024-11-30,7169.4
2024-12-31,7253.4
2025-01-31,7332.7
2025-02-28,7388.2
2025-03-31,7435.3
2025-04-30,7369.9
2025-05-31,7427.3
2025-06-30,7520.5
2025-07-31,7534.6
2025-08-31,7704.6
2025-09-30,7771.4
2025-10-31,7923.9
2025-11-30,8062.8
2025-12-31,8305.5
2026-01-31,8236.3
2026-02-28,8353.3
2026-03-31,8250.9
2026-04-30,8166.5
2026-05-31,8401.0
2026-06-30,8400.6
2026-07-31,8411.9
