as_of,value
2013-04-03,1535.3
2013-04-10,1577.7
2013-04-17,1574.0
2013-04-24,1532.9
2013-05-01,1582.0
2013-05-08,1570.4
2013-05-15,1615.8
2013-05-22,1558.7
2013-05-29,1554.7
2013-06-05,1591.7
2013-06-12,1586.0
2013-06-19,1543.3
2013-06-26,1568.6
2013-07-03,1487.6
2013-07-10,1464.0
2013-07-17,1435.5
2013-07-24,1420.1
2013-07-31,1461.3
2013-08-07,1455.1
2013-08-14,1476.0
2013-08-21,1464.2
2013-08-28,1509.5
2013-09-04,1501.7
2013-09-11,1513.9
2013-09-18,1480.6
2013-09-25,1482.1
2013-10-02,1440.7
2013-10-09,1459.8
2013-10-16,1468.1
2013-10-23,1498.0
2013-10-30,1529.9
2013-11-06,1531.8
2013-11-13,1527.6
2013-11-20,1483.9
2013-11-27,1513.5
2013-12-04,1506.8
2013-12-11,1511.5
2013-12-18,1427.3
2013-12-25,1424.7
2014-01-01,1274.4
2014-01-08,1344.9
2014-01-15,1358.3
2014-01-22,1391.6
2014-01-29,1415.7
2014-02-05,1404.7
2014-02-12,1427.4
2014-02-19,1374.5
2014-02-26,1446.6
2014-03-05,1427.1
2014-03-12,1449.5
2014-03-19,1418.1
2014-03-26,1430.2
2014-04-02,1340.5
2014-04-09,1368.1
2014-04-16,1383.5
2014-04-23,1373.1
2014-04-30,1353.5
2014-05-07,1356.2
2014-05-14,1378.5
2014-05-21,1432.5
2014-05-28,1423.6
2014-06-04,1432.4
2014-06-11,1461.2
2014-06-18,1461.8
2014-06-25,1432.4
2014-07-02,1348.6
2014-07-09,1364.7
2014-07-16,1358.7
2014-07-23,1421.8
2014-07-30,1417.8
2014-08-06,1430.1
2014-08-13,1429.1
2014-08-20,1417.8
2014-08-27,1458.1
2014-09-03,1452.4
2014-09-10,1461.0
2014-09-17,1441.2
2014-09-24,1462.8
2014-10-01,1389.4
2014-10-08,1422.3
2014-10-15,1424.4
2014-10-22,1425.3
2014-10-29,1395.2
2014-11-05,1392.7
2014-11-12,1402.4
2014-11-19,1393.0
2014-11-26,1397.2
2014-12-03,1417.1
2014-12-10,1417.2
2014-12-17,1413.4
2014-12-24,1341.7
2014-12-31,1187.0
2015-01-07,1280.3
2015-01-14,1314.7
2015-01-21,1275.1
2015-01-28,1316.1
2015-02-04,1317.2
2015-02-11,1348.9
2015-02-18,1331.6
2015-02-25,1379.6
2015-03-04,1330.2
2015-03-11,1374.5
2015-03-18,1339.9
2015-03-25,1354.9
2015-04-01,1295.6
2015-04-08,1320.0
2015-04-15,1289.4
2015-04-22,1289.0
2015-04-29,1291.3
2015-05-06,1349.3
2015-05-13,1360.7
2015-05-20,1331.1
2015-05-27,1335.3
2015-06-03,1362.9
2015-06-10,1346.3
2015-06-17,1297.1
2015-06-24,1268.0
2015-07-01,1256.2
2015-07-08,1235.2
2015-07-15,1216.9
2015-07-22,1239.7
2015-07-29,1262.1
2015-08-05,1285.1
2015-08-12,1262.8
2015-08-19,1269.3
2015-08-26,1319.2
2015-09-02,1346.5
2015-09-09,1326.5
2015-09-16,1328.6
2015-09-23,1336.0
2015-09-30,1266.3
2015-10-07,1301.9
2015-10-14,1313.0
2015-10-21,1370.9
2015-10-28,1357.8
2015-11-04,1384.2
2015-11-11,1400.8
2015-11-18,1389.0
2015-11-25,1338.6
2015-12-02,1343.1
2015-12-09,1390.3
2015-12-16,1352.6
2015-12-23,1363.5
2015-12-30,1310.2
2016-01-06,1316.1
2016-01-13,1357.7
2016-01-20,1343.7
2016-01-27,1374.2
2016-02-03,1397.8
2016-02-10,1419.4
2016-02-17,1400.3
2016-02-24,1411.1
2016-03-02,1424.4
2016-03-09,1432.0
2016-03-16,1391.5
2016-03-23,1420.4
2016-03-30,1382.9
2016-04-06,1412.1
2016-04-13,1440.0
2016-04-20,1402.5
2016-04-27,1394.6
2016-05-04,1370.0
2016-05-11,1394.4
