as_of,value
2024-09-04,160.7
2024-09-25,179.2
2024-10-02,227.7
2024-10-09,207.6
2024-10-23,213.6
2024-10-30,213.4
2024-11-06,203.2
2024-11-13,213.6
2024-11-20,231.7
2024-11-27,229.6
2024-12-25,254.7
2025-01-01,294.3
2025-01-08,219.2
2025-06-18,249.4
2025-06-25,276.4
2025-07-02,274.0
2025-07-09,237.6
2025-07-16,250.1
2025-07-23,263.0
2025-07-30,259.8
2025-08-06,280.4
2025-08-13,290.0
2025-08-20,302.2
2025-08-27,339.8
2025-09-03,337.7
2025-09-10,372.4
2025-09-17,389.0
2025-09-24,387.2
2025-10-01,385.5
2025-10-08,406.3
2025-10-15,393.3
2025-10-22,382.9
2026-01-07,483.0
2026-01-14,423.8
2026-01-21,411.8
2026-01-28,401.5
2026-02-04,393.5
2026-02-11,382.7
2026-02-18,409.1
2026-02-25,410.4
2026-03-04,416.1
2026-03-11,433.4
2026-03-25,431.2
2026-04-01,442.4
2026-04-08,423.4
2026-04-15,372.7
2026-04-22,344.0
2026-04-29,345.3
2026-05-06,375.4
2026-05-13,381.9
2026-05-20,391.4
2026-05-27,392.0
2026-06-03,407.5
2026-06-10,421.4
2026-06-17,429.8
2026-06-24,427.9
2026-07-01,408.7
2026-07-08,370.7
2026-07-15,367.3
2026-07-22,340.2
2026-07-29,322.4
2026-08-05,343.7
2026-08-12,337.9
2026-08-19,359.5
