as_of,value
2024-07-03,723.4
2024-07-10,698.4
2024-07-17,727.7
2024-07-24,740.5
2024-07-31,730.8
2024-08-07,749.5
2024-08-14,760.7
2024-08-21,753.7
2024-08-28,756.0
2024-09-04,769.3
2024-09-11,775.6
2024-09-18,755.1
2024-09-25,699.9
2024-10-02,700.5
2024-10-09,679.3
2024-10-16,657.4
2024-10-23,674.3
2024-10-30,670.3
2024-11-06,635.1
2024-11-13,632.3
2024-11-20,641.6
2024-11-27,678.2
2024-12-04,690.3
2024-12-11,698.7
2024-12-18,698.7
2024-12-25,706.3
2025-01-01,720.2
2025-01-08,698.5
2025-01-15,723.6
2025-01-22,706.8
2025-01-29,737.0
2025-02-05,744.3
2025-02-12,726.9
2025-02-19,758.8
2025-02-26,763.4
2025-03-05,778.6
2025-03-12,791.7
2025-03-19,791.8
2025-03-26,785.0
2025-04-02,778.1
2025-04-09,784.5
2025-04-16,790.5
2025-04-23,793.7
2025-04-30,837.5
2025-05-07,807.8
2025-05-14,781.6
2025-05-21,762.1
2025-05-28,774.3
2025-06-04,794.4
2025-06-11,771.1
2025-06-18,764.7
2025-06-25,739.8
2025-07-02,778.6
2025-07-09,780.6
2025-07-16,758.8
2025-07-23,760.8
2025-07-30,778.2
2025-08-06,801.1
2025-08-13,799.1
2025-08-20,779.8
2025-08-27,758.1
2025-09-03,753.1
2025-09-10,719.5
2025-09-17,713.9
2025-09-24,696.7
2025-10-01,704.3
2025-10-08,705.1
2025-10-15,687.8
2025-10-22,726.6
2025-10-29,711.1
2025-11-05,698.9
2025-11-12,724.2
2025-11-19,731.5
2025-11-26,716.9
2025-12-03,763.7
2025-12-10,754.8
2025-12-17,756.4
2025-12-24,794.4
2025-12-31,830.3
2026-01-07,799.2
2026-01-14,808.3
2026-01-21,824.1
2026-01-28,852.4
2026-02-04,866.5
2026-02-11,823.1
2026-02-18,892.9
2026-02-25,909.9
2026-03-04,892.6
2026-03-11,867.4
2026-03-18,897.2
2026-03-25,938.9
2026-04-01,889.6
2026-04-08,919.8
2026-04-15,951.6
2026-04-22,967.9
2026-04-29,991.7
2026-05-06,981.7
2026-05-13,919.3
2026-05-20,881.5
2026-05-27,903.4
2026-06-03,885.1
2026-06-10,867.8
2026-06-17,878.3
2026-06-24,884.3
2026-07-01,835.2
2026-07-08,895.3
2026-07-15,936.1
2026-07-22,911.2
2026-07-29,942.9
2026-08-05,932.6
2026-08-12,907.8
2026-08-19,875.5
