as_of,value
2022-10-26,38.9
2022-11-02,44.8
2022-11-09,40.3
2022-11-16,48.7
2022-12-28,88.8
2023-01-04,123.4
2023-01-11,117.7
2023-01-25,118.0
2023-06-07,138.6
2023-06-14,148.6
2023-06-21,141.4
2023-06-28,140.8
2023-07-05,141.4
2023-07-12,130.8
2023-08-02,138.8
2023-08-09,123.6
2023-08-16,128.7
2023-08-23,123.4
2023-09-06,142.0
2023-09-13,130.9
2023-09-20,142.4
2023-09-27,165.5
2023-10-04,159.2
2023-10-11,154.0
2023-10-25,124.3
2023-11-01,151.2
2023-11-08,148.7
2023-11-15,153.9
2023-11-22,157.5
2023-11-29,174.0
2023-12-06,204.1
2023-12-13,240.7
2023-12-20,281.5
2023-12-27,302.9
2024-01-03,288.9
2024-01-10,234.6
2024-01-17,228.2
2024-01-24,207.4
2024-01-31,243.5
2024-02-07,215.9
2024-02-14,203.0
2024-02-21,206.2
2024-02-28,204.3
2024-03-06,214.7
2024-03-13,213.9
2024-03-20,214.4
2024-03-27,212.2
2024-04-03,227.4
2024-04-10,219.0
2024-04-17,206.0
2024-04-24,206.3
2024-05-01,204.0
2024-05-08,199.9
2024-05-15,206.9
2024-05-22,202.1
2024-05-29,202.6
2024-06-05,221.3
2024-06-12,219.2
2024-06-19,231.5
2024-06-26,236.9
2024-07-03,232.8
2024-07-10,235.4
2024-07-17,225.1
2024-07-24,249.2
2024-07-31,298.6
2024-08-07,244.1
2024-08-14,249.9
2024-08-21,259.7
2024-08-28,254.1
2024-09-04,272.0
2024-09-11,282.9
2024-09-18,310.1
2024-09-25,361.6
2024-10-02,434.0
2024-10-09,406.3
2024-10-16,430.5
2024-10-23,417.8
2024-10-30,415.0
2024-11-06,395.1
2024-11-13,389.7
2024-11-20,429.3
2024-11-27,415.9
2024-12-04,459.6
2024-12-11,478.9
2024-12-18,512.5
2024-12-25,546.2
2025-01-01,646.7
2025-01-08,434.5
2025-01-15,398.8
2025-01-22,376.4
2025-01-29,360.5
2025-02-05,345.9
2025-02-12,329.7
2025-02-19,333.7
2025-02-26,391.2
2025-03-05,371.6
2025-03-12,344.7
2025-03-19,359.8
2025-03-26,353.1
2025-04-02,379.1
2025-04-09,382.5
2025-04-16,370.8
2025-04-23,399.4
2025-04-30,510.9
2025-05-07,358.6
2025-05-14,421.2
2025-05-21,396.3
2025-05-28,408.9
2025-06-04,440.7
2025-06-11,432.0
2025-06-18,452.5
2025-06-25,495.6
2025-07-02,475.8
2025-07-09,428.2
2025-07-16,417.0
2025-07-23,399.8
2025-07-30,412.9
2025-08-06,425.2
2025-08-13,412.6
2025-08-20,427.6
2025-08-27,458.0
2025-09-03,542.9
2025-09-10,537.2
2025-09-17,580.8
2025-09-24,615.8
2025-10-01,625.3
2025-10-08,561.5
2025-10-15,536.3
2025-10-22,558.6
2025-10-29,606.4
2025-11-05,674.7
2025-11-12,655.3
2025-11-19,650.1
2025-11-26,645.2
2025-12-03,689.7
2025-12-10,630.9
2025-12-17,697.7
2025-12-24,745.8
2025-12-31,855.6
2026-01-07,603.1
2026-01-14,497.6
2026-01-21,501.6
2026-01-28,491.3
2026-02-04,506.2
2026-02-11,516.1
2026-02-18,516.3
2026-02-25,528.7
2026-03-04,542.8
2026-03-11,533.8
2026-03-18,513.2
2026-03-25,488.2
2026-04-01,520.5
2026-04-08,510.3
2026-04-15,486.5
2026-04-22,440.8
2026-04-29,440.7
2026-05-06,422.3
2026-05-13,412.0
2026-05-20,416.5
2026-05-27,455.9
2026-06-03,483.2
2026-06-10,460.8
2026-06-17,534.8
2026-06-24,543.3
2026-07-01,598.1
2026-07-08,497.9
2026-07-15,494.8
2026-07-22,480.0
2026-07-29,457.0
2026-08-05,466.4
2026-08-12,476.6
2026-08-19,478.7
