as_of,value
2022-01-05,880.8
2022-01-12,869.9
2022-01-19,853.5
2022-01-26,845.5
2022-02-02,868.3
2022-02-09,853.4
2022-02-16,887.4
2022-02-23,905.4
2022-03-02,925.9
2022-03-09,916.2
2022-03-16,909.5
2022-03-23,901.0
2022-03-30,876.3
2022-04-06,871.5
2022-04-13,880.5
2022-04-20,877.3
2022-04-27,861.7
2022-05-04,862.2
2022-05-11,865.8
2022-05-18,883.0
2022-05-25,885.9
2022-06-01,882.2
2022-06-08,888.3
2022-06-15,872.8
2022-06-22,895.8
2022-06-29,896.9
2022-07-06,904.2
2022-07-13,902.6
2022-07-20,937.7
2022-07-27,920.2
2022-08-03,936.9
2022-08-10,937.0
2022-08-17,958.7
2022-08-24,956.2
2022-08-31,940.2
2022-09-07,965.5
2022-09-14,968.3
2022-09-21,982.3
2022-09-28,970.1
2022-10-05,954.5
2022-10-12,937.3
2022-10-19,935.4
2022-10-26,922.0
2022-11-02,953.5
2022-11-09,945.3
2022-11-16,1004.4
2022-11-23,1019.5
2022-11-30,1001.5
2022-12-07,1036.6
2022-12-14,1032.0
2022-12-21,1006.4
2022-12-28,981.7
2023-01-04,1009.1
2023-01-11,1013.3
2023-01-18,1043.8
2023-01-25,1036.4
2023-02-01,1041.1
2023-02-08,1048.7
2023-02-15,1022.8
2023-02-22,1031.0
2023-03-01,1065.8
2023-03-08,1054.7
2023-03-15,1082.1
2023-03-22,1116.9
2023-03-29,1116.8
2023-04-05,1090.6
2023-04-12,1085.5
2023-04-19,1119.0
2023-04-26,1095.9
2023-05-03,1146.0
2023-05-10,1135.8
2023-05-17,1161.1
2023-05-24,1149.6
2023-05-31,1147.2
2023-06-07,1157.0
2023-06-14,1135.8
2023-06-21,1152.0
2023-06-28,1161.2
2023-07-05,1138.9
2023-07-12,1129.9
2023-07-19,1157.0
2023-07-26,1147.4
2023-08-02,1159.8
2023-08-09,1147.7
2023-08-16,1138.7
2023-08-23,1151.0
2023-08-30,1132.8
2023-09-06,1143.7
2023-09-13,1131.4
2023-09-20,1144.6
2023-09-27,1133.1
2023-10-04,1120.8
2023-10-11,1120.7
2023-10-18,1149.4
2023-10-25,1148.9
2023-11-01,1166.6
2023-11-08,1173.5
2023-11-15,1193.5
2023-11-22,1175.8
2023-11-29,1185.3
2023-12-06,1156.5
2023-12-13,1111.6
2023-12-20,1087.8
2023-12-27,1099.5
2024-01-03,1150.1
2024-01-10,1156.6
2024-01-17,1172.5
2024-01-24,1181.0
2024-01-31,1192.7
2024-02-07,1174.3
2024-02-14,1144.5
2024-02-21,1160.3
2024-02-28,1180.1
2024-03-06,1186.7
2024-03-13,1184.1
2024-03-20,1189.1
2024-03-27,1201.9
2024-04-03,1218.1
2024-04-10,1161.6
2024-04-17,1175.2
2024-04-24,1171.5
2024-05-01,1181.4
2024-05-08,1197.2
2024-05-15,1247.4
2024-05-22,1249.1
2024-05-29,1269.9
2024-06-05,1304.4
2024-06-12,1271.9
2024-06-19,1309.4
2024-06-26,1288.3
2024-07-03,1311.1
2024-07-10,1290.1
2024-07-17,1296.2
2024-07-24,1287.8
2024-07-31,1274.7
2024-08-07,1324.6
2024-08-14,1332.3
2024-08-21,1344.5
2024-08-28,1357.3
2024-09-04,1363.7
2024-09-11,1335.8
2024-09-18,1334.3
2024-09-25,1307.1
2024-10-02,1273.0
2024-10-09,1243.0
2024-10-16,1232.9
2024-10-23,1249.1
2024-10-30,1249.8
2024-11-06,1255.9
2024-11-13,1284.4
2024-11-20,1295.3
2024-11-27,1270.3
2024-12-04,1288.5
2024-12-11,1255.7
2024-12-18,1178.0
2024-12-25,1185.2
2025-01-01,1088.6
2025-01-08,1258.1
2025-01-15,1298.4
2025-01-22,1343.8
2025-01-29,1354.3
2025-02-05,1403.0
2025-02-12,1403.5
2025-02-19,1414.4
2025-02-26,1408.7
2025-03-05,1502.8
2025-03-12,1492.5
2025-03-19,1488.3
2025-03-26,1470.7
2025-04-02,1476.9
2025-04-09,1501.2
2025-04-16,1547.3
2025-04-23,1539.5
2025-04-30,1449.1
2025-05-07,1560.4
2025-05-14,1472.0
2025-05-21,1455.1
2025-05-28,1460.4
2025-06-04,1445.0
2025-06-11,1457.3
2025-06-18,1465.0
2025-06-25,1419.8
2025-07-02,1442.0
2025-07-09,1477.9
2025-07-16,1479.2
2025-07-23,1493.2
2025-07-30,1463.3
2025-08-06,1504.8
2025-08-13,1438.4
2025-08-20,1469.4
2025-08-27,1497.4
2025-09-03,1483.7
2025-09-10,1478.6
2025-09-17,1458.4
2025-09-24,1413.3
2025-10-01,1402.4
2025-10-08,1440.8
2025-10-15,1491.5
2025-10-22,1464.5
2025-10-29,1405.1
2025-11-05,1395.7
2025-11-12,1399.8
2025-11-19,1397.4
2025-11-26,1372.1
2025-12-03,1385.9
2025-12-10,1375.3
2025-12-17,1351.9
2025-12-24,1311.6
2025-12-31,1253.7
2026-01-07,1457.5
2026-01-14,1505.1
2026-01-21,1520.0
2026-01-28,1524.7
2026-02-04,1545.9
2026-02-11,1534.6
2026-02-18,1576.3
2026-02-25,1530.9
2026-03-04,1573.8
2026-03-11,1546.2
2026-03-18,1530.0
2026-03-25,1566.2
2026-04-01,1566.3
2026-04-08,1542.2
2026-04-15,1540.2
2026-04-22,1573.0
2026-04-29,1605.8
2026-05-06,1606.5
2026-05-13,1594.1
2026-05-20,1625.0
2026-05-27,1586.8
2026-06-03,1575.7
2026-06-10,1549.8
2026-06-17,1514.7
2026-06-24,1512.2
2026-07-01,1552.0
2026-07-08,1593.6
2026-07-15,1589.0
2026-07-22,1570.4
2026-07-29,1580.3
2026-08-05,1599.3
2026-08-12,1572.1
2026-08-19,1559.0
