as_of,value
2013-04-03,1310.8
2013-04-10,1336.0
2013-04-17,1323.6
2013-04-24,1296.1
2013-05-01,1335.7
2013-05-08,1318.2
2013-05-15,1358.3
2013-05-22,1336.6
2013-05-29,1310.4
2013-06-05,1336.1
2013-06-12,1335.7
2013-06-19,1314.8
2013-06-26,1334.5
2013-07-03,1245.9
2013-07-10,1234.4
2013-07-17,1200.4
2013-07-24,1196.2
2013-07-31,1234.6
2013-08-07,1210.5
2013-08-14,1233.5
2013-08-21,1240.0
2013-08-28,1291.8
2013-09-04,1269.9
2013-09-11,1278.4
2013-09-18,1274.7
2013-09-25,1280.1
2013-10-02,1241.5
2013-10-09,1238.4
2013-10-16,1228.2
2013-10-23,1277.8
2013-10-30,1285.3
2013-11-06,1312.8
2013-11-13,1288.2
2013-11-20,1238.3
2013-11-27,1273.7
2013-12-04,1282.5
2013-12-11,1300.2
2013-12-18,1229.3
2013-12-25,1249.8
2014-01-01,1113.2
2014-01-08,1158.9
2014-01-15,1162.1
2014-01-22,1190.7
2014-01-29,1230.0
2014-02-05,1231.0
2014-02-12,1228.3
2014-02-19,1203.4
2014-02-26,1285.7
2014-03-05,1249.6
2014-03-12,1267.8
2014-03-19,1226.8
2014-03-26,1270.8
2014-04-02,1182.0
2014-04-09,1187.2
2014-04-16,1215.8
2014-04-23,1218.7
2014-04-30,1190.4
2014-05-07,1194.2
2014-05-14,1179.7
2014-05-21,1269.3
2014-05-28,1261.8
2014-06-04,1242.2
2014-06-11,1257.1
2014-06-18,1254.5
2014-06-25,1222.9
2014-07-02,1148.4
2014-07-09,1189.0
2014-07-16,1171.8
2014-07-23,1225.9
2014-07-30,1244.3
2014-08-06,1246.7
2014-08-13,1247.2
2014-08-20,1233.2
2014-08-27,1283.7
2014-09-03,1282.0
2014-09-10,1278.4
2014-09-17,1270.3
2014-09-24,1288.9
2014-10-01,1237.8
2014-10-08,1265.0
2014-10-15,1234.9
2014-10-22,1242.0
2014-10-29,1238.1
2014-11-05,1239.5
2014-11-12,1202.2
2014-11-19,1224.8
2014-11-26,1210.6
2014-12-03,1250.1
2014-12-10,1246.4
2014-12-17,1230.1
2014-12-24,1189.0
2014-12-31,1065.8
2015-01-07,1140.2
2015-01-14,1167.9
2015-01-21,1115.5
2015-01-28,1148.0
2015-02-04,1178.8
2015-02-11,1181.1
2015-02-18,1166.2
2015-02-25,1216.5
2015-03-04,1170.7
2015-03-11,1211.5
2015-03-18,1172.4
2015-03-25,1200.1
2015-04-01,1170.5
2015-04-08,1173.0
2015-04-15,1143.1
2015-04-22,1140.0
2015-04-29,1149.3
2015-05-06,1191.0
2015-05-13,1191.3
2015-05-20,1177.3
2015-05-27,1194.9
2015-06-03,1204.1
2015-06-10,1211.6
2015-06-17,1184.3
2015-06-24,1178.2
2015-07-01,1157.5
2015-07-08,1143.3
2015-07-15,1133.4
2015-07-22,1137.5
2015-07-29,1147.6
2015-08-05,1171.7
2015-08-12,1157.0
2015-08-19,1177.0
2015-08-26,1192.5
2015-09-02,1234.2
2015-09-09,1220.8
2015-09-16,1210.3
2015-09-23,1214.8
2015-09-30,1178.6
2015-10-07,1198.8
2015-10-14,1221.1
2015-10-21,1274.4
2015-10-28,1255.1
2015-11-04,1261.4
2015-11-11,1293.6
2015-11-18,1277.7
2015-11-25,1243.7
2015-12-02,1237.0
2015-12-09,1266.4
2015-12-16,1248.7
2015-12-23,1277.4
2015-12-30,1245.4
2016-01-06,1229.8
2016-01-13,1249.4
2016-01-20,1235.3
2016-01-27,1250.5
2016-02-03,1285.1
2016-02-10,1287.9
2016-02-17,1262.0
2016-02-24,1269.5
2016-03-02,1278.7
2016-03-09,1289.6
2016-03-16,1265.4
2016-03-23,1278.9
2016-03-30,1294.3
2016-04-06,1284.8
2016-04-13,1316.5
2016-04-20,1284.2
2016-04-27,1290.8
2016-05-04,1250.8
2016-05-11,1273.9
2016-05-18,1308.9
2016-05-25,1329.5
2016-06-01,1344.3
2016-06-08,1379.8
2016-06-15,1326.4
2016-06-22,1297.3
2016-06-29,1350.8
2016-07-06,1304.9
2016-07-13,1329.3
2016-07-20,1280.6
2016-07-27,1316.9
2016-08-03,1353.3
2016-08-10,1314.7
2016-08-17,1336.0
2016-08-24,1345.6
2016-08-31,1356.7
2016-09-07,1360.8
2016-09-14,1414.1
2016-09-21,1407.2
2016-09-28,1378.2
2016-10-05,1383.8
2016-10-12,1366.1
2016-10-19,1364.8
2016-10-26,1363.0
2016-11-02,1380.2
2016-11-09,1347.4
2016-11-16,1403.9
2016-11-23,1394.1
2016-11-30,1358.4
2016-12-07,1366.4
2016-12-14,1379.3
2016-12-21,1345.5
2016-12-28,1307.6
2017-01-04,1267.8
2017-01-11,1284.7
2017-01-18,1278.4
2017-01-25,1250.3
2017-02-01,1259.9
2017-02-08,1266.0
2017-02-15,1295.9
2017-02-22,1287.6
2017-03-01,1284.2
2017-03-08,1324.8
2017-03-15,1310.0
2017-03-22,1304.1
2017-03-29,1296.3
2017-04-05,1302.2
2017-04-12,1280.1
2017-04-19,1295.2
2017-04-26,1292.6
2017-05-03,1314.7
2017-05-10,1283.5
2017-05-17,1309.3
2017-05-24,1337.7
2017-05-31,1294.2
2017-06-07,1366.7
2017-06-14,1330.5
2017-06-21,1344.3
2017-06-28,1370.9
2017-07-05,1284.7
2017-07-12,1284.8
2017-07-19,1265.7
2017-07-26,1280.6
2017-08-02,1266.0
2017-08-09,1304.9
2017-08-16,1309.4
2017-08-23,1318.7
2017-08-30,1336.6
2017-09-06,1347.0
2017-09-13,1373.0
2017-09-20,1359.2
2017-09-27,1364.2
2017-10-04,1334.1
2017-10-11,1331.7
2017-10-18,1322.6
2017-10-25,1340.7
2017-11-01,1393.5
2017-11-08,1401.3
2017-11-15,1392.4
2017-11-22,1411.9
2017-11-29,1413.3
2017-12-06,1321.5
2017-12-13,1325.7
2017-12-20,1317.7
2017-12-27,1322.3
2018-01-03,1275.2
2018-01-10,1293.6
2018-01-17,1249.6
2018-01-24,1278.5
2018-01-31,1291.2
2018-02-07,1291.0
2018-02-14,1294.0
2018-02-21,1324.4
2018-02-28,1340.6
2018-03-07,1358.1
2018-03-14,1366.9
2018-03-21,1338.9
2018-03-28,1292.8
2018-04-04,1287.3
2018-04-11,1223.3
2018-04-18,1190.1
2018-04-25,1207.1
2018-05-02,1229.7
2018-05-09,1264.5
2018-05-16,1227.9
2018-05-23,1228.7
2018-05-30,1218.2
2018-06-06,1252.1
2018-06-13,1249.7
2018-06-20,1247.0
2018-06-27,1231.5
2018-07-04,1175.0
2018-07-11,1152.4
2018-07-18,1183.1
2018-07-25,1172.4
2018-08-01,1162.4
2018-08-08,1145.4
2018-08-15,1149.6
2018-08-22,1173.6
2018-08-29,1187.5
2018-09-05,1202.1
2018-09-12,1223.4
2018-09-19,1206.5
2018-09-26,1221.7
2018-10-03,1235.3
2018-10-10,1249.6
2018-10-17,1242.9
2018-10-24,1289.9
2018-10-31,1293.4
2018-11-07,1316.4
2018-11-14,1288.3
2018-11-21,1401.7
2018-11-28,1398.5
2018-12-05,1446.6
2018-12-12,1451.8
2018-12-19,1511.2
2018-12-26,1502.1
2019-01-02,1386.5
2019-01-09,1420.4
2019-01-16,1449.6
2019-01-23,1443.3
2019-01-30,1415.4
2019-02-06,1377.4
2019-02-13,1380.3
2019-02-20,1404.2
2019-02-27,1451.3
2019-03-06,1484.7
2019-03-13,1463.4
2019-03-20,1473.2
2019-03-27,1459.2
2019-04-03,1466.4
2019-04-10,1490.8
2019-04-17,1440.4
2019-04-24,1492.3
2019-05-01,1494.4
2019-05-08,1468.7
2019-05-15,1461.4
2019-05-22,1476.5
2019-05-29,1504.2
2019-06-05,1529.5
2019-06-12,1501.1
2019-06-19,1507.1
2019-06-26,1500.5
2019-07-03,1484.9
2019-07-10,1471.4
2019-07-17,1467.7
2019-07-24,1496.9
2019-07-31,1501.0
2019-08-07,1528.8
2019-08-14,1522.6
2019-08-21,1520.0
2019-08-28,1537.5
2019-09-04,1548.8
2019-09-11,1552.6
2019-09-18,1531.7
2019-09-25,1539.3
2019-10-02,1565.8
2019-10-09,1567.3
2019-10-16,1567.0
2019-10-23,1520.2
2019-10-30,1502.9
2019-11-06,1545.4
2019-11-13,1523.3
2019-11-20,1565.5
2019-11-27,1545.1
2019-12-04,1576.5
2019-12-11,1577.2
2019-12-18,1588.9
2019-12-25,1597.8
2020-01-01,1409.5
2020-01-08,1418.0
2020-01-15,1412.4
2020-01-22,1405.8
2020-01-29,1417.3
2020-02-05,1462.4
2020-02-12,1444.3
2020-02-19,1488.6
2020-02-26,1504.5
2020-03-04,1670.4
2020-03-11,1728.7
2020-03-18,1844.5
2020-03-25,1825.2
2020-04-01,1676.1
2020-04-08,1583.6
2020-04-15,1562.8
2020-04-22,1516.3
2020-04-29,1525.2
2020-05-06,1527.0
2020-05-13,1521.0
2020-05-20,1532.0
2020-05-27,1508.6
2020-06-03,1559.6
2020-06-10,1511.8
2020-06-17,1517.3
2020-06-24,1510.3
2020-07-01,1473.8
2020-07-08,1425.4
2020-07-15,1438.2
2020-07-22,1459.4
2020-07-29,1429.8
2020-08-05,1453.9
2020-08-12,1424.3
2020-08-19,1454.2
2020-08-26,1410.6
2020-09-02,1442.0
2020-09-09,1446.4
2020-09-16,1407.6
2020-09-23,1476.5
2020-09-30,1451.5
2020-10-07,1500.0
2020-10-14,1419.7
2020-10-21,1445.7
2020-10-28,1445.1
2020-11-04,1472.7
2020-11-11,1498.5
2020-11-18,1535.8
2020-11-25,1496.6
2020-12-02,1538.8
2020-12-09,1544.9
2020-12-16,1532.3
2020-12-23,1568.7
2020-12-30,1613.0
2021-01-06,1556.6
2021-01-13,1517.3
2021-01-20,1441.0
2021-01-27,1422.6
2021-02-03,1471.9
2021-02-10,1408.5
2021-02-17,1388.1
2021-02-24,1345.9
2021-03-03,1426.2
2021-03-10,1418.8
2021-03-17,1395.1
2021-03-24,1389.7
2021-03-31,1455.1
2021-04-07,1478.9
2021-04-14,1437.9
2021-04-21,1400.0
2021-04-28,1362.2
2021-05-05,1405.4
2021-05-12,1398.7
2021-05-19,1418.4
2021-05-26,1410.0
2021-06-02,1460.2
2021-06-09,1459.0
2021-06-16,1488.3
2021-06-23,1451.7
2021-06-30,1410.7
2021-07-07,1378.3
2021-07-14,1393.9
2021-07-21,1379.5
2021-07-28,1355.1
2021-08-04,1387.0
2021-08-11,1380.7
2021-08-18,1426.5
2021-08-25,1399.7
2021-09-01,1440.6
2021-09-08,1414.4
2021-09-15,1424.8
2021-09-22,1436.5
2021-09-29,1489.6
2021-10-06,1496.9
2021-10-13,1509.5
2021-10-20,1492.8
2021-10-27,1495.4
2021-11-03,1496.5
2021-11-10,1469.3
2021-11-17,1510.1
2021-11-24,1515.6
2021-12-01,1542.6
2021-12-08,1555.0
2021-12-15,1607.4
2021-12-22,1604.9
2021-12-29,1626.0
2022-01-05,1543.8
2022-01-12,1590.5
2022-01-19,1588.9
2022-01-26,1558.6
2022-02-02,1559.9
2022-02-09,1555.5
2022-02-16,1602.1
2022-02-23,1609.5
2022-03-02,1614.9
2022-03-09,1603.3
2022-03-16,1618.9
2022-03-23,1640.9
2022-03-30,1638.2
2022-04-06,1592.9
