as_of,value
2002-12-18,9.0
2002-12-25,11.9
2003-01-01,10.7
2003-01-08,7.9
2003-01-15,9.6
2003-01-22,12.3
2003-01-29,7.1
2003-02-05,11.7
2003-02-12,6.3
2003-02-19,12.6
2003-02-26,8.1
2003-03-05,13.5
2003-03-12,5.5
2003-03-19,13.5
2003-03-26,6.3
2003-04-02,13.3
2003-04-09,5.7
2003-04-16,13.2
2003-04-23,8.3
2003-04-30,15.4
2003-05-07,6.8
2003-05-14,12.8
2003-05-21,10.5
2003-05-28,15.8
2003-06-04,12.0
2003-06-11,10.1
2003-06-18,10.2
2003-06-25,13.4
2003-07-02,12.8
2003-07-09,10.1
2003-07-16,11.1
2003-07-23,14.2
2003-07-30,10.8
2003-08-06,13.5
2003-08-13,8.0
2003-08-20,22.0
2003-08-27,12.0
2003-09-03,16.3
2003-09-10,8.5
2003-09-17,14.5
2003-09-24,9.1
2003-10-01,17.1
2003-10-08,7.1
2003-10-15,12.6
2003-10-22,10.4
2003-10-29,16.3
2003-11-05,12.3
2003-11-12,9.4
2003-11-19,12.2
2003-11-26,12.0
2003-12-03,12.7
2003-12-10,10.1
2003-12-17,9.7
2003-12-24,11.9
2003-12-31,10.7
2004-01-07,9.8
2004-01-14,7.9
2004-01-21,16.8
2004-01-28,9.7
2004-02-04,13.3
2004-02-11,7.5
2004-02-18,11.8
2004-02-25,9.5
2004-03-03,15.0
2004-03-10,9.4
2004-03-17,14.6
2004-03-24,9.3
2004-03-31,14.8
2004-04-07,9.8
2004-04-14,14.6
2004-04-21,14.0
2004-04-28,18.2
2004-05-05,13.0
2004-05-12,13.5
2004-05-19,14.2
2004-05-26,15.7
2004-06-02,15.3
2004-06-09,11.8
2004-06-16,12.0
2004-06-23,14.4
2004-06-30,14.8
2004-07-07,10.7
2004-07-14,11.7
2004-07-21,14.2
2004-07-28,12.1
2004-08-04,16.3
2004-08-11,11.2
2004-08-18,9.6
2004-08-25,10.9
2004-09-01,17.0
2004-09-08,10.1
2004-09-15,13.7
2004-09-22,13.4
2004-09-29,15.0
2004-10-06,10.6
2004-10-13,11.2
2004-10-20,12.7
2004-10-27,12.9
2004-11-03,13.0
2004-11-10,11.4
2004-11-17,12.3
2004-11-24,11.7
2004-12-01,11.8
2004-12-08,12.6
2004-12-15,12.7
2004-12-22,10.7
2004-12-29,9.3
2005-01-05,15.5
2005-01-12,7.2
2005-01-19,17.5
2005-01-26,12.6
2005-02-02,21.0
2005-02-09,7.5
2005-02-16,12.9
2005-02-23,11.4
2005-03-02,16.2
2005-03-09,8.0
2005-03-16,14.1
2005-03-23,13.0
2005-03-30,12.6
2005-04-06,12.4
2005-04-13,9.7
2005-04-20,15.4
2005-04-27,14.6
2005-05-04,13.0
2005-05-11,9.5
2005-05-18,11.8
2005-05-25,13.3
2005-06-01,12.8
2005-06-08,10.6
2005-06-15,10.2
2005-06-22,11.5
2005-06-29,10.8
2005-07-06,11.4
2005-07-13,7.4
2005-07-20,12.9
2005-07-27,10.6
2005-08-03,16.2
2005-08-10,9.1
2005-08-17,9.5
2005-08-24,9.5
2005-08-31,15.0
2005-09-07,9.6
2005-09-14,10.8
2005-09-21,12.8
2005-09-28,14.1
2005-10-05,11.3
2005-10-12,8.5
2005-10-19,11.1
2005-10-26,10.2
2005-11-02,12.2
2005-11-09,7.8
2005-11-16,11.9
2005-11-23,8.3
2005-11-30,10.0
2005-12-07,10.7
2005-12-14,9.7
2005-12-21,9.0
2005-12-28,9.1
2006-01-04,12.6
2006-01-11,7.5
2006-01-18,10.5
2006-01-25,9.8
2006-02-01,13.2
2006-02-08,5.7
2006-02-15,11.3
2006-02-22,7.7
2006-03-01,12.8
2006-03-08,2.8
2006-03-15,15.2
2006-03-22,7.1
2006-03-29,11.3
2006-04-05,10.3
2006-04-12,8.2
2006-04-19,12.1
2006-04-26,10.0
2006-05-03,11.9
2006-05-10,10.0
2006-05-17,11.4
2006-05-24,10.0
2006-05-31,9.6
2006-06-07,11.3
2006-06-14,9.8
2006-06-21,9.6
2006-06-28,8.7
2006-07-05,11.5
2006-07-12,6.7
2006-07-19,10.3
2006-07-26,8.0
2006-08-02,13.8
2006-08-09,6.3
2006-08-16,9.1
2006-08-23,7.1
2006-08-30,12.4
2006-09-06,10.0
2006-09-13,6.6
2006-09-20,10.8
2006-09-27,9.4
2006-10-04,8.4
2006-10-11,8.4
2006-10-18,8.1
2006-10-25,7.9
2006-11-01,8.9
2006-11-08,7.9
2006-11-15,6.7
2006-11-22,8.7
2006-11-29,8.9
2006-12-06,10.1
2006-12-13,5.8
