as_of,value
2013-12-31,4071.1
2014-03-31,4091.0
2014-06-30,4244.6
2014-09-30,4329.2
2014-12-31,4470.1
2015-03-31,4544.3
2015-06-30,4588.6
2015-09-30,4597.2
2015-12-31,4734.4
2016-03-31,4804.6
2016-06-30,4871.6
2016-09-30,5000.3
2016-12-31,5066.9
2017-03-31,5100.9
2017-06-30,5057.6
2017-09-30,5144.0
2017-12-31,5284.1
2018-03-31,5264.8
2018-06-30,5231.2
2018-09-30,5331.0
2018-12-31,5493.8
2019-03-31,5408.0
2019-06-30,5492.5
2019-09-30,5702.0
2019-12-31,5873.6
2020-03-31,6618.7
2020-06-30,7190.6
2020-09-30,7282.4
2020-12-31,7683.0
2021-03-31,7943.0
2021-06-30,8224.0
2021-09-30,8420.7
2021-12-31,8804.0
2022-03-31,8760.8
2022-06-30,8516.9
2022-09-30,8300.7
2022-12-31,8169.5
2023-03-31,7525.6
2023-06-30,7329.9
2023-09-30,7330.1
2023-12-31,7224.4
2024-03-31,7293.2
2024-06-30,7200.8
2024-09-30,7402.2
2024-12-31,7607.5
2025-03-31,7650.0
2025-06-30,7836.4
2025-09-30,7925.0
2025-12-31,8137.8
2026-03-31,8373.0
