broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
Bank of America (Global Wealth & Investment Management / Merrill),2013-Q4,Total client balances,2366.438,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000162828015000120/bac-12312014xexhibit993.htm,0001628280-15-000120,2015-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2014-Q1,Total client balances,2395.819,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000162828015000120/bac-12312014xexhibit993.htm,0001628280-15-000120,2015-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2014-Q2,Total client balances,2468.168,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000162828015000120/bac-12312014xexhibit993.htm,0001628280-15-000120,2015-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2014-Q3,Total client balances,2462.085,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000162828015000120/bac-12312014xexhibit993.htm,0001628280-15-000120,2015-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2014-Q4,Total client balances,2497.997,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000162828015000120/bac-12312014xexhibit993.htm,0001628280-15-000120,2015-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2015-Q1,Total client balances,2509.847,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085816000118/bac-12312015ex993.htm,0000070858-16-000118,2016-01-19
Bank of America (Global Wealth & Investment Management / Merrill),2015-Q2,Total client balances,2521.661,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085816000118/bac-12312015ex993.htm,0000070858-16-000118,2016-01-19
Bank of America (Global Wealth & Investment Management / Merrill),2015-Q3,Total client balances,2396.484,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085816000118/bac-12312015ex993.htm,0000070858-16-000118,2016-01-19
Bank of America (Global Wealth & Investment Management / Merrill),2015-Q4,Total client balances,2456.842,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085816000118/bac-12312015ex993.htm,0000070858-16-000118,2016-01-19
Bank of America (Global Wealth & Investment Management / Merrill),2016-Q1,Total client balances,2466.158,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085817000004/bac-12312016ex993.htm,0000070858-17-000004,2017-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2016-Q2,Total client balances,2419.481,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085817000004/bac-12312016ex993.htm,0000070858-17-000004,2017-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2016-Q3,Total client balances,2490.221,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085817000004/bac-12312016ex993.htm,0000070858-17-000004,2017-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2016-Q4,Total client balances,2508.562,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085817000004/bac-12312016ex993.htm,0000070858-17-000004,2017-01-13
Bank of America (Global Wealth & Investment Management / Merrill),2017-Q1,Total client balances,2585.377,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085818000002/bac-12312017ex993.htm,0000070858-18-000002,2018-01-17
Bank of America (Global Wealth & Investment Management / Merrill),2017-Q2,Total client balances,2617.418,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085818000002/bac-12312017ex993.htm,0000070858-18-000002,2018-01-17
Bank of America (Global Wealth & Investment Management / Merrill),2017-Q3,Total client balances,2676.183,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085818000002/bac-12312017ex993.htm,0000070858-18-000002,2018-01-17
Bank of America (Global Wealth & Investment Management / Merrill),2017-Q4,Total client balances,2751.863,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085818000002/bac-12312017ex993.htm,0000070858-18-000002,2018-01-17
Bank of America (Global Wealth & Investment Management / Merrill),2018-Q1,Total client balances,2725.486,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085819000003/bac-12312018ex993.htm,0000070858-19-000003,2019-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2018-Q2,Total client balances,2754.206,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085819000003/bac-12312018ex993.htm,0000070858-19-000003,2019-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2018-Q3,Total client balances,2841.373,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085819000003/bac-12312018ex993.htm,0000070858-19-000003,2019-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2018-Q4,Total client balances,2620.856,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085819000003/bac-12312018ex993.htm,0000070858-19-000003,2019-01-16
Bank of America (Global Wealth & Investment Management / Merrill),2019-Q1,Total client balances,2836.969,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085820000003/bac-12312019ex993.htm,0000070858-20-000003,2020-01-15
Bank of America (Global Wealth & Investment Management / Merrill),2019-Q2,Total client balances,2898.791,USD billions,STOCK,Total client balances (GWIM segment: Merrill Wealth Management + BofA Private Bank),https://www.sec.gov/Archives/edgar/data/70858/000007085820000003/bac-12312019ex993.htm,0000070858-20-000003,2020-01-15
