broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Interactive Brokers Group, Inc.",2013-Q4,Customer Equity,45.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000002/earningsrelease_4q2014.htm,0001381197-15-000002,2015-01-20
"Interactive Brokers Group, Inc.",2014-Q1,Customer Equity,49.0,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000011/earningsrelease_1q2015.htm,0001381197-15-000011,2015-04-21
"Interactive Brokers Group, Inc.",2014-Q2,Customer Equity,53.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000023/earningsrelease_2q2015.htm,0001381197-15-000023,2015-07-21
"Interactive Brokers Group, Inc.",2014-Q3,Customer Equity,54.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000002/earningsrelease_4q2014.htm,0001381197-15-000002,2015-01-20
"Interactive Brokers Group, Inc.",2014-Q4,Customer Equity,56.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000002/earningsrelease_4q2014.htm,0001381197-15-000002,2015-01-20
"Interactive Brokers Group, Inc.",2015-Q1,Customer Equity,61.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000011/earningsrelease_1q2015.htm,0001381197-15-000011,2015-04-21
"Interactive Brokers Group, Inc.",2015-Q2,Customer Equity,66.0,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000023/earningsrelease_2q2015.htm,0001381197-15-000023,2015-07-21
"Interactive Brokers Group, Inc.",2015-Q3,Customer Equity,62.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119715000037/earnings_release-3q2015.htm,0001381197-15-000037,2015-10-20
"Interactive Brokers Group, Inc.",2015-Q4,Customer Equity,67.4,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119716000049/earnings_release-4q2015.htm,0001381197-16-000049,2016-01-19
"Interactive Brokers Group, Inc.",2016-Q1,Customer Equity,70.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119716000060/earningsrelease_1q2016.htm,0001381197-16-000060,2016-04-19
"Interactive Brokers Group, Inc.",2016-Q2,Customer Equity,73.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119716000068/earningsrelease_2q2016.htm,0001381197-16-000068,2016-07-19
"Interactive Brokers Group, Inc.",2016-Q3,Customer Equity,82.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119716000089/earningsrelease_3q2016.htm,0001381197-16-000089,2016-10-18
"Interactive Brokers Group, Inc.",2016-Q4,Customer Equity,85.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119717000003/earningsrelease_4q2016.htm,0001381197-17-000003,2017-01-17
"Interactive Brokers Group, Inc.",2017-Q1,Customer Equity,96.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119717000009/earningsrelease_1q2017.htm,0001381197-17-000009,2017-04-18
"Interactive Brokers Group, Inc.",2017-Q2,Customer Equity,104.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000114036117028116/ex99_1.htm,0001140361-17-028116,2017-07-18
"Interactive Brokers Group, Inc.",2017-Q3,Customer Equity,115.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119717000032/earningsrelease_3q2017.htm,0001381197-17-000032,2017-10-17
"Interactive Brokers Group, Inc.",2017-Q4,Customer Equity,124.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119718000003/ibkr_8k-20180116er.htm,0001381197-18-000003,2018-01-16
"Interactive Brokers Group, Inc.",2018-Q1,Customer Equity,129.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119718000009/ibkr_8k-20180417er.htm,0001381197-18-000009,2018-04-17
"Interactive Brokers Group, Inc.",2018-Q2,Customer Equity,134.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119718000020/ibkr_8k-20170717er.htm,0001381197-18-000020,2018-07-17
"Interactive Brokers Group, Inc.",2018-Q3,Customer Equity,142.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119718000056/ibkr_8k-20181016er.htm,0001381197-18-000056,2018-10-16
"Interactive Brokers Group, Inc.",2018-Q4,Customer Equity,128.4,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119719000008/ibkr_8k-20190122er.htm,0001381197-19-000008,2019-01-22
"Interactive Brokers Group, Inc.",2019-Q1,Customer Equity,147.6,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119719000019/ibkr_8k-20190331er.htm,0001381197-19-000019,2019-04-16
"Interactive Brokers Group, Inc.",2019-Q2,Customer Equity,153.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119719000042/ibkr_8k-20190630er.htm,0001381197-19-000042,2019-07-16
"Interactive Brokers Group, Inc.",2019-Q3,Customer Equity,156.6,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119719000084/ibkr_8k-20190930er.htm,0001381197-19-000084,2019-10-15
"Interactive Brokers Group, Inc.",2019-Q4,Customer Equity,174.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119720000003/ibkr_8k-20191231er.htm,0001381197-20-000003,2020-01-21
"Interactive Brokers Group, Inc.",2020-Q1,Customer Equity,160.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119720000013/ibkr_8k-20200331er.htm,0001381197-20-000013,2020-04-21
"Interactive Brokers Group, Inc.",2020-Q1,Customer credits,65.0,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119720000013/ibkr_8k-20200331er.htm,0001381197-20-000013,2020-04-21
"Interactive Brokers Group, Inc.",2020-Q1,Customer margin loans,19.8,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119720000013/ibkr_8k-20200331er.htm,0001381197-20-000013,2020-04-21
"Interactive Brokers Group, Inc.",2020-Q2,Customer Equity,203.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119720000026/ibkr_8k-20200630er.htm,0001381197-20-000026,2020-07-21
"Interactive Brokers Group, Inc.",2020-Q2,Customer margin loans,24.9,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119720000026/ibkr_8k-20200630er.htm,0001381197-20-000026,2020-07-21
"Interactive Brokers Group, Inc.",2020-Q3,Customer Equity,232.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119720000054/ibkr_8k-20200930er.htm,0001381197-20-000054,2020-10-20
"Interactive Brokers Group, Inc.",2020-Q3,Customer credits,70.8,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119720000054/ibkr_8k-20200930er.htm,0001381197-20-000054,2020-10-20
"Interactive Brokers Group, Inc.",2020-Q3,Customer margin loans,30.0,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119720000054/ibkr_8k-20200930er.htm,0001381197-20-000054,2020-10-20
"Interactive Brokers Group, Inc.",2020-Q4,Customer Equity,288.6,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119721000004/ibkr_8k-20201231er.htm,0001381197-21-000004,2021-01-19
"Interactive Brokers Group, Inc.",2020-Q4,Customer credits,77.7,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000004/ibkr_8k-20201231er.htm,0001381197-21-000004,2021-01-19
"Interactive Brokers Group, Inc.",2020-Q4,Customer margin loans,39.0,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000004/ibkr_8k-20201231er.htm,0001381197-21-000004,2021-01-19
"Interactive Brokers Group, Inc.",2021-Q1,Customer Equity,330.6,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119721000011/ibkr-8k_20210331er.htm,0001381197-21-000011,2021-04-20
"Interactive Brokers Group, Inc.",2021-Q1,Customer credits,84.5,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000011/ibkr-8k_20210331er.htm,0001381197-21-000011,2021-04-20
"Interactive Brokers Group, Inc.",2021-Q1,Customer margin loans,42.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000011/ibkr-8k_20210331er.htm,0001381197-21-000011,2021-04-20
"Interactive Brokers Group, Inc.",2021-Q2,Customer Equity,363.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119721000024/ibkr-8k_20210630er.htm,0001381197-21-000024,2021-07-20
"Interactive Brokers Group, Inc.",2021-Q2,Customer credits,82.1,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000024/ibkr-8k_20210630er.htm,0001381197-21-000024,2021-07-20
"Interactive Brokers Group, Inc.",2021-Q2,Customer margin loans,48.8,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000024/ibkr-8k_20210630er.htm,0001381197-21-000024,2021-07-20
"Interactive Brokers Group, Inc.",2021-Q3,Customer Equity,353.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119721000041/ibkr-8k_20210930er.htm,0001381197-21-000041,2021-10-19
"Interactive Brokers Group, Inc.",2021-Q3,Customer credits,86.2,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000041/ibkr-8k_20210930er.htm,0001381197-21-000041,2021-10-19
"Interactive Brokers Group, Inc.",2021-Q3,Customer margin loans,50.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119721000041/ibkr-8k_20210930er.htm,0001381197-21-000041,2021-10-19
"Interactive Brokers Group, Inc.",2021-Q4,Customer Equity,373.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119722000006/ibkr-8k_20211231er.htm,0001381197-22-000006,2022-01-18
"Interactive Brokers Group, Inc.",2021-Q4,Customer credits,87.1,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000006/ibkr-8k_20211231er.htm,0001381197-22-000006,2022-01-18
"Interactive Brokers Group, Inc.",2021-Q4,Customer margin loans,54.6,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000006/ibkr-8k_20211231er.htm,0001381197-22-000006,2022-01-18
"Interactive Brokers Group, Inc.",2022-Q1,Customer Equity,355.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119722000015/ibkr-8k_20220331er.htm,0001381197-22-000015,2022-04-19
"Interactive Brokers Group, Inc.",2022-Q1,Customer credits,92.5,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000015/ibkr-8k_20220331er.htm,0001381197-22-000015,2022-04-19
"Interactive Brokers Group, Inc.",2022-Q1,Customer margin loans,48.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000015/ibkr-8k_20220331er.htm,0001381197-22-000015,2022-04-19
"Interactive Brokers Group, Inc.",2022-Q2,Customer Equity,294.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119722000027/ibkr-8k_20220630er.htm,0001381197-22-000027,2022-07-19
"Interactive Brokers Group, Inc.",2022-Q2,Customer credits,92.5,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000027/ibkr-8k_20220630er.htm,0001381197-22-000027,2022-07-19
"Interactive Brokers Group, Inc.",2022-Q2,Customer margin loans,42.6,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000027/ibkr-8k_20220630er.htm,0001381197-22-000027,2022-07-19
"Interactive Brokers Group, Inc.",2022-Q3,Customer Equity,287.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119722000049/ibkr-8k_20220930er.htm,0001381197-22-000049,2022-10-18
"Interactive Brokers Group, Inc.",2022-Q3,Customer credits,94.7,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000049/ibkr-8k_20220930er.htm,0001381197-22-000049,2022-10-18
"Interactive Brokers Group, Inc.",2022-Q3,Customer margin loans,40.5,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119722000049/ibkr-8k_20220930er.htm,0001381197-22-000049,2022-10-18
"Interactive Brokers Group, Inc.",2022-Q4,Customer Equity,306.7,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119723000008/ibkr-8k_20221231er.htm,0001381197-23-000008,2023-01-17
"Interactive Brokers Group, Inc.",2022-Q4,Customer credits,95.2,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000008/ibkr-8k_20221231er.htm,0001381197-23-000008,2023-01-17
"Interactive Brokers Group, Inc.",2022-Q4,Customer margin loans,38.9,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000008/ibkr-8k_20221231er.htm,0001381197-23-000008,2023-01-17
"Interactive Brokers Group, Inc.",2023-Q1,Customer Equity,343.1,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119723000017/ibkr-8-k_20230331er.htm,0001381197-23-000017,2023-04-18
"Interactive Brokers Group, Inc.",2023-Q1,Customer credits,96.6,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000017/ibkr-8-k_20230331er.htm,0001381197-23-000017,2023-04-18
"Interactive Brokers Group, Inc.",2023-Q1,Customer margin loans,39.4,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000017/ibkr-8-k_20230331er.htm,0001381197-23-000017,2023-04-18
"Interactive Brokers Group, Inc.",2023-Q2,Customer Equity,365.0,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119723000045/ibkr-8k_20230630er.htm,0001381197-23-000045,2023-07-18
"Interactive Brokers Group, Inc.",2023-Q2,Customer credits,98.9,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000045/ibkr-8k_20230630er.htm,0001381197-23-000045,2023-07-18
"Interactive Brokers Group, Inc.",2023-Q2,Customer margin loans,41.9,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000045/ibkr-8k_20230630er.htm,0001381197-23-000045,2023-07-18
"Interactive Brokers Group, Inc.",2023-Q3,Customer Equity,369.8,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119723000131/ibkr-8k_20230930er.htm,0001381197-23-000131,2023-10-17
"Interactive Brokers Group, Inc.",2023-Q3,Customer credits,98.0,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000131/ibkr-8k_20230930er.htm,0001381197-23-000131,2023-10-17
"Interactive Brokers Group, Inc.",2023-Q3,Customer margin loans,43.6,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119723000131/ibkr-8k_20230930er.htm,0001381197-23-000131,2023-10-17
"Interactive Brokers Group, Inc.",2023-Q4,Customer Equity,426.0,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000050/ibkr-8k_20231231er.htm,0001381197-24-000050,2024-01-16
"Interactive Brokers Group, Inc.",2023-Q4,Customer credits,104.5,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000050/ibkr-8k_20231231er.htm,0001381197-24-000050,2024-01-16
"Interactive Brokers Group, Inc.",2023-Q4,Customer margin loans,44.4,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000050/ibkr-8k_20231231er.htm,0001381197-24-000050,2024-01-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer Equity,465.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer credits,104.9,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer margin loans,51.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q2,Customer Equity,497.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000110/ibkr-8k_20240630er.htm,0001381197-24-000110,2024-07-16
