broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
LPL Financial Holdings Inc.,2014-Q4,Total client/advisory-and-brokerage assets,475.1,USD billions,STOCK,"Advisory and brokerage assets (narrative headline, no table that quarter)",https://www.sec.gov/Archives/edgar/data/1397911/000139791115000004/q42014earningsrelease.htm,0001397911-15-000004,2015-02-19
LPL Financial Holdings Inc.,2015-Q1,Total client/advisory-and-brokerage assets,485.0,USD billions,STOCK,"Advisory and brokerage assets (narrative headline, no table that quarter)",https://www.sec.gov/Archives/edgar/data/1397911/000139791115000102/q12015earningsrelease.htm,0001397911-15-000102,2015-04-30
LPL Financial Holdings Inc.,2015-Q2,Total client/advisory-and-brokerage assets,486.0,USD billions,STOCK,"Advisory and brokerage assets (narrative headline, no table that quarter)",https://www.sec.gov/Archives/edgar/data/1397911/000139791115000153/q22015earningsrelease.htm,0001397911-15-000153,2015-08-05
LPL Financial Holdings Inc.,2016-Q1,Advisory assets (subset of total),189.5,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791116000310/q12016earningsrelease.htm,0001397911-16-000310,2016-04-28
LPL Financial Holdings Inc.,2016-Q1,Brokerage assets (subset of total),289.2,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791116000310/q12016earningsrelease.htm,0001397911-16-000310,2016-04-28
LPL Financial Holdings Inc.,2016-Q1,Total client/advisory-and-brokerage assets,478.7,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000310/q12016earningsrelease.htm,0001397911-16-000310,2016-04-28
LPL Financial Holdings Inc.,2016-Q2,Advisory assets (subset of total),196.1,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791116000336/a2016q2earningsrelease.htm,0001397911-16-000336,2016-07-28
LPL Financial Holdings Inc.,2016-Q2,Brokerage assets (subset of total),291.9,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791116000336/a2016q2earningsrelease.htm,0001397911-16-000336,2016-07-28
LPL Financial Holdings Inc.,2016-Q2,Total client/advisory-and-brokerage assets,488.0,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000336/a2016q2earningsrelease.htm,0001397911-16-000336,2016-07-28
LPL Financial Holdings Inc.,2016-Q3,Advisory assets (subset of total),205.5,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791116000352/a2016q3earningsrelease.htm,0001397911-16-000352,2016-11-02
LPL Financial Holdings Inc.,2016-Q3,Brokerage assets (subset of total),296.9,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791116000352/a2016q3earningsrelease.htm,0001397911-16-000352,2016-11-02
LPL Financial Holdings Inc.,2016-Q3,Total client/advisory-and-brokerage assets,502.4,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791116000352/a2016q3earningsrelease.htm,0001397911-16-000352,2016-11-02
LPL Financial Holdings Inc.,2016-Q4,Advisory assets (subset of total),211.6,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791117000005/a2016q4earningsrelease.htm,0001397911-17-000005,2017-02-09
LPL Financial Holdings Inc.,2016-Q4,Brokerage assets (subset of total),297.8,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000005/a2016q4earningsrelease.htm,0001397911-17-000005,2017-02-09
LPL Financial Holdings Inc.,2016-Q4,Net new assets (total),2.5,USD billions,FLOW,Total Net New Assets (excludes acquired/recruited assets from 2021Q1 on; combined organic+M&A before that),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000005/a2016q4earningsrelease.htm,0001397911-17-000005,2017-02-09
LPL Financial Holdings Inc.,2016-Q4,Total client/advisory-and-brokerage assets,509.4,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000005/a2016q4earningsrelease.htm,0001397911-17-000005,2017-02-09
LPL Financial Holdings Inc.,2017-Q1,Advisory assets (subset of total),225.7,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791117000106/a2017q1earningsrelease.htm,0001397911-17-000106,2017-04-27
LPL Financial Holdings Inc.,2017-Q1,Brokerage assets (subset of total),304.6,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000106/a2017q1earningsrelease.htm,0001397911-17-000106,2017-04-27
LPL Financial Holdings Inc.,2017-Q1,Net new assets (total),2.6,USD billions,FLOW,Total Net New Assets (excludes acquired/recruited assets from 2021Q1 on; combined organic+M&A before that),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000106/a2017q1earningsrelease.htm,0001397911-17-000106,2017-04-27
LPL Financial Holdings Inc.,2017-Q1,Total client/advisory-and-brokerage assets,530.3,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000106/a2017q1earningsrelease.htm,0001397911-17-000106,2017-04-27
LPL Financial Holdings Inc.,2017-Q2,Advisory assets (subset of total),236.8,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791117000156/a2017q2earningsrelease.htm,0001397911-17-000156,2017-07-27
LPL Financial Holdings Inc.,2017-Q2,Brokerage assets (subset of total),305.2,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000156/a2017q2earningsrelease.htm,0001397911-17-000156,2017-07-27
LPL Financial Holdings Inc.,2017-Q2,Net new assets (total),0.4,USD billions,FLOW,Total Net New Assets (excludes acquired/recruited assets from 2021Q1 on; combined organic+M&A before that),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000156/a2017q2earningsrelease.htm,0001397911-17-000156,2017-07-27
LPL Financial Holdings Inc.,2017-Q2,Total client/advisory-and-brokerage assets,542.0,USD billions,STOCK,Total Brokerage and Advisory Assets,https://www.sec.gov/Archives/edgar/data/1397911/000139791117000156/a2017q2earningsrelease.htm,0001397911-17-000156,2017-07-27
LPL Financial Holdings Inc.,2017-Q3,Advisory assets (subset of total),250.2,USD billions,STOCK,"Advisory assets (fee-based, managed) -- rough equity-heavy proxy",https://www.sec.gov/Archives/edgar/data/1397911/000139791117000180/a2017q3earningsrelease.htm,0001397911-17-000180,2017-10-26
LPL Financial Holdings Inc.,2017-Q3,Brokerage assets (subset of total),309.8,USD billions,STOCK,Brokerage assets (commission-based),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000180/a2017q3earningsrelease.htm,0001397911-17-000180,2017-10-26
LPL Financial Holdings Inc.,2017-Q3,Net new assets (total),0.9,USD billions,FLOW,Total Net New Assets (excludes acquired/recruited assets from 2021Q1 on; combined organic+M&A before that),https://www.sec.gov/Archives/edgar/data/1397911/000139791117000180/a2017q3earningsrelease.htm,0001397911-17-000180,2017-10-26
