broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
Morgan Stanley (Wealth Management segment),2013-Q4,Fee-based asset flows,11.6,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2013-Q4,Total client assets,1909.0,USD billions,STOCK,Client assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2014-Q1,Fee-based asset flows,19.0,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315001193/a51081872ex99_2.htm,0001157523-15-001193,2015-04-20
Morgan Stanley (Wealth Management segment),2014-Q1,Total client assets,1943.0,USD billions,STOCK,Client assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315001193/a51081872ex99_2.htm,0001157523-15-001193,2015-04-20
Morgan Stanley (Wealth Management segment),2014-Q2,Fee-based asset flows,12.5,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315002400/a51144702ex99_2.htm,0001157523-15-002400,2015-07-20
Morgan Stanley (Wealth Management segment),2014-Q2,Total client assets,2002.0,USD billions,STOCK,Client assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315002400/a51144702ex99_2.htm,0001157523-15-002400,2015-07-20
Morgan Stanley (Wealth Management segment),2014-Q3,Fee-based asset flows,6.5,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2014-Q3,Fee-based client assets,768.0,USD billions,STOCK,Fee based client account assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315003325/a51203555ex99_2.htm,0001157523-15-003325,2015-10-19
Morgan Stanley (Wealth Management segment),2014-Q3,Total client assets,2003.0,USD billions,STOCK,Client assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2014-Q4,Fee-based asset flows,20.8,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2014-Q4,Fee-based client assets,785.0,USD billions,STOCK,Fee based client account assets,https://www.sec.gov/Archives/edgar/data/895421/000115752316004228/a51260714ex99_2.htm,0001157523-16-004228,2016-01-19
Morgan Stanley (Wealth Management segment),2014-Q4,Total client assets,2025.0,USD billions,STOCK,Client assets,https://www.sec.gov/Archives/edgar/data/895421/000115752315000138/a51021611ex99_2.htm,0001157523-15-000138,2015-01-20
Morgan Stanley (Wealth Management segment),2015-Q1,Fee-based asset flows,13.3,USD billions,FLOW,"Fee-based asset flows (flow, subset of net new assets)",https://www.sec.gov/Archives/edgar/data/895421/000115752315001193/a51081872ex99_2.htm,0001157523-15-001193,2015-04-20
Morgan Stanley (Wealth Management segment),2015-Q1,Fee-based client assets,803.0,USD billions,STOCK,Fee based client account assets,https://www.sec.gov/Archives/edgar/data/895421/000115752316005111/a51321739ex99_2.htm,0001157523-16-005111,2016-04-18
