broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Raymond James Financial, Inc.",2013-Q4,Client assets under administration,446.5,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2013-Q4,Financial assets under management,60.5,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2013-Q4,Private Client Group assets in fee-based accounts,151.2,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2013-Q4,Private Client Group assets under administration,422.9,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q1,Client assets under administration,458.1,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q1,Financial assets under management,62.3,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q1,Private Client Group assets in fee-based accounts,158.2,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q1,Private Client Group assets under administration,434.0,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q2,Client assets under administration,479.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q2,Financial assets under management,65.3,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q2,Private Client Group assets in fee-based accounts,168.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q2,Private Client Group assets under administration,454.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q3,Client assets under administration,475.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q3,Financial assets under management,64.6,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q3,Private Client Group assets in fee-based accounts,167.7,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q3,Private Client Group assets under administration,450.6,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q4,Client assets under administration,483.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q4,Financial assets under management,66.7,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q4,Private Client Group assets in fee-based accounts,173.9,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2014-Q4,Private Client Group assets under administration,459.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000515000003/rjf2015_1231q115earnings.htm,0000720005-15-000003,2015-01-21
"Raymond James Financial, Inc.",2015-Q3,Client assets under administration,480.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q3,Financial assets under management,65.2,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q3,Private Client Group assets in fee-based accounts,179.4,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q3,Private Client Group assets under administration,453.3,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q4,Client assets under administration,500.4,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
