broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Robinhood Markets, Inc.",2020-Q2,Assets Under Custody,33.0,USD billions,STOCK,Assets Under Custody (restated as year-ago comparator in a later release),https://www.sec.gov/Archives/edgar/data/1783879/000178387921000028/robinhoodexhibit991_6302021.htm,0001783879-21-000028,2021-08-18
"Robinhood Markets, Inc.",2020-Q3,Assets Under Custody,44.0,USD billions,STOCK,Assets Under Custody (restated as year-ago comparator in a later release),https://www.sec.gov/Archives/edgar/data/1783879/000178387921000050/robinhoodexhibit991_9302021.htm,0001783879-21-000050,2021-10-26
"Robinhood Markets, Inc.",2020-Q4,Assets Under Custody,63.0,USD billions,STOCK,Assets Under Custody (restated as year-ago comparator in a later release),https://www.sec.gov/Archives/edgar/data/1783879/000178387922000022/robinhoodex991_12312021.htm,0001783879-22-000022,2022-01-27
"Robinhood Markets, Inc.",2021-Q1,Assets Under Custody,80.9,USD billions,STOCK,Assets Under Custody (restated as year-ago comparator in a later release),https://www.sec.gov/Archives/edgar/data/1783879/000178387922000088/robinhoodexhibit991_33122.htm,0001783879-22-000088,2022-04-28
"Robinhood Markets, Inc.",2021-Q2,Assets Under Custody,102.0,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387921000028/robinhoodexhibit991_6302021.htm,0001783879-21-000028,2021-08-18
"Robinhood Markets, Inc.",2021-Q3,Assets Under Custody,95.0,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387921000050/robinhoodexhibit991_9302021.htm,0001783879-21-000050,2021-10-26
"Robinhood Markets, Inc.",2021-Q4,Assets Under Custody,98.0,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387922000022/robinhoodex991_12312021.htm,0001783879-22-000022,2022-01-27
"Robinhood Markets, Inc.",2022-Q1,Assets Under Custody,93.1,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387922000088/robinhoodexhibit991_33122.htm,0001783879-22-000088,2022-04-28
"Robinhood Markets, Inc.",2022-Q2,Assets Under Custody,64.2,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387922000162/robinhoodexhibit991_63022.htm,0001783879-22-000162,2022-08-02
"Robinhood Markets, Inc.",2022-Q2,Net Deposits,5.2,USD billions,FLOW,Net Deposits (cash + asset transfers net of withdrawals; NOT equity purchases),https://www.sec.gov/Archives/edgar/data/1783879/000178387922000162/robinhoodexhibit991_63022.htm,0001783879-22-000162,2022-08-02
"Robinhood Markets, Inc.",2022-Q3,Assets Under Custody,64.6,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000178387922000229/q32022robinhoodexhibit991.htm,0001783879-22-000229,2022-11-02
"Robinhood Markets, Inc.",2022-Q3,Net Deposits,2.7,USD billions,FLOW,Net Deposits (cash + asset transfers net of withdrawals; NOT equity purchases),https://www.sec.gov/Archives/edgar/data/1783879/000178387922000229/q32022robinhoodexhibit991.htm,0001783879-22-000229,2022-11-02
"Robinhood Markets, Inc.",2022-Q4,Assets Under Custody,62.0,USD billions,STOCK,Assets Under Custody,https://www.sec.gov/Archives/edgar/data/1783879/000162828023002760/q42022robinhoodexhibit991.htm,0001628280-23-002760,2023-02-08
