broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
Charles Schwab Corporation,2025-Aug,Core Net New Assets,44.4,USD billions,FLOW,Core Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Aug,Net Market Gains (Losses),221.3,USD billions,FLOW,Net Market Gains (Losses),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Aug,Net New Assets,43.3,USD billions,FLOW,Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Aug,Total Client Assets (at month end),11228.1,USD billions,STOCK,Total Client Assets (at month end),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Dec,Core Net New Assets,79.1,USD billions,FLOW,Core Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Dec,Net Market Gains (Losses),-9.2,USD billions,FLOW,Net Market Gains (Losses),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Dec,Net New Assets,77.9,USD billions,FLOW,Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Dec,Total Client Assets (at month end),11903.0,USD billions,STOCK,Total Client Assets (at month end),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jul,Core Net New Assets,46.9,USD billions,FLOW,Core Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jul,Net Market Gains (Losses),160.5,USD billions,FLOW,Net Market Gains (Losses),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jul,Net New Assets,45.7,USD billions,FLOW,Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jul,Total Client Assets (at month end),10963.5,USD billions,STOCK,Total Client Assets (at month end),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jun,Core Net New Assets,42.6,USD billions,FLOW,Core Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jun,Net Market Gains (Losses),369.4,USD billions,FLOW,Net Market Gains (Losses),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jun,Net New Assets,38.9,USD billions,FLOW,Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Jun,Total Client Assets (at month end),10757.3,USD billions,STOCK,Total Client Assets (at month end),https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
Charles Schwab Corporation,2025-Nov,Core Net New Assets,40.4,USD billions,FLOW,Core Net New Assets,https://www.sec.gov/Archives/edgar/data/316709/000031670926000027/a2q26exhibit991.htm,0000316709-26-000027,2026-07-21
