broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
Charles Schwab Corporation,2013-Q4,Equity and other securities (subset of total client assets),702.0,USD billions,STOCK,Equity and other securities (subset of total client assets),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2013-Q4,Net market gains (losses),102.6,USD billions,FLOW,Net market gains (losses),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2013-Q4,Total client assets,2249.4,USD billions,STOCK,Total client assets,https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2013-Q4,Total net new assets,1.8,USD billions,FLOW,Total net new assets,https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q1,Equity and other securities (subset of total client assets),722.0,USD billions,STOCK,Equity and other securities (subset of total client assets),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q1,Net market gains (losses),24.4,USD billions,FLOW,Net market gains (losses),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q1,Total client assets,2308.0,USD billions,STOCK,Total client assets,https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q1,Total net new assets,34.2,USD billions,FLOW,Total net new assets,https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q2,Equity and other securities (subset of total client assets),766.5,USD billions,STOCK,Equity and other securities (subset of total client assets),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q2,Net market gains (losses),71.2,USD billions,FLOW,Net market gains (losses),https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
Charles Schwab Corporation,2014-Q2,Total client assets,2401.9,USD billions,STOCK,Total client assets,https://www.sec.gov/Archives/edgar/data/316709/000031670915000005/schw-20150116ex991645a0f.htm,0000316709-15-000005,2015-01-16
