ticker,search_query_used,distinct_13F_HR_hits_efts_search,ipo_date,season_note,search_method,source
SPCX,"""Space Exploration Technologies""",91,2026-06-11,"Q2 2026 (partial quarter, ~3 weeks post-IPO)","efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Space+Exploration+Technologies""&forms=13F-HR"
SPCX,"""SpaceX"" (alternate name form)",83,2026-06-11,Q2 2026 - overlaps substantially with the 91 above; not independently deduplicated,"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""SpaceX""+(alternate+name+form)&forms=13F-HR"
SKHY,"""SK Hynix""",125,2026-07-09,"Q2 2026 (partial quarter, ~3 weeks post-IPO)","efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""SK+Hynix""&forms=13F-HR"
CBRS,"""Cerebras Systems""",438,2026-05-13,Q2 2026 (first full quarter as a public co.),"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Cerebras+Systems""&forms=13F-HR"
MDLN,"""Medline Inc""",951,2025-12-17,Cumulative Q4-2025 + Q1-2026 + Q2-2026 (3 quarterly seasons since IPO),"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Medline+Inc""&forms=13F-HR"
QNT,"""Quantinuum Inc""",178,2026-06-04,"Q2 2026 (partial quarter, ~4 weeks post-IPO)","efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Quantinuum+Inc""&forms=13F-HR"
FRVO,"""Fervo Energy""",192,2026-05-13,Q2 2026 (first full quarter as a public co.),"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Fervo+Energy""&forms=13F-HR"
JMKE,"""Jersey Mike""",0,2026-07-30,No 13F season yet - Q3 2026 13F-HRs (period ending 2026-09-30) are not due until ~2026-11-14,"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Jersey+Mike""&forms=13F-HR"
BSP,"""Bending Spoons""",0,2026-06-30,IPO priced exactly on 2026-06-30 (Q2 quarter-end); did not settle/trade in time to appear in Q2 2026 13Fs; Q3 2026 not yet due,"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Bending+Spoons""&forms=13F-HR"
INIO,"""INNIO""",153,2026-06-03,"Q2 2026 (partial quarter, ~4 weeks post-IPO)","efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""INNIO""&forms=13F-HR"
PSUS,"""Pershing Square USA""",88,2026-04-29,Q2 2026 (first full quarter; priced 2 months before quarter-end),"efts.sec.gov full-text search, forms=13F-HR, startdt=2026-01-01, enddt=2026-09-14","https://efts.sec.gov/LATEST/search-index?q=""Pershing+Square+USA""&forms=13F-HR"
