ticker,issuer,filer_13F,filer_cik,accession_number,period_of_report,shares_held,reported_value_field_raw,implied_price_per_share,note,source_url
SPCX,Space Exploration Technologies Corp.,"Gigafund Management Company, LLC",1713833,0001140361-26-032507,2026-06-30,171826745,29358317651,170.86,Gigafund (Luke Nosek) is a known pre-IPO SpaceX VC investor - likely NOT a new IPO buyer,https://www.sec.gov/Archives/edgar/data/1713833/000114036126032507/informationtable.xml
SPCX,Space Exploration Technologies Corp.,Capricorn Investment Group LLC,1536261,0001104659-26-096768,2026-06-30,120801820,20640198965,170.86,"Capricorn (Jeff Skoll) is a known long-time SpaceX backer - likely NOT a new IPO buyer. Implied price ~$170.9/sh, cross-validates Gigafund's implied ~$170.9/sh independently",https://www.sec.gov/Archives/edgar/data/1536261/000110465926096768/infotable.xml
CBRS,Cerebras Systems Inc.,Coatue Management LLC,1135730,0000919574-26-005478,2026-06-30,7011028,,,"8 sub-account rows sum to 7,011,028 sh - EXACTLY matches Coatue's own SC 13G aggregate (7.1% of class) filed for the same date; Coatue IS a named SK hynix cornerstone (different deal) - plausible crossover-fund pattern but not itself proof of Cerebras IPO allocation",https://www.sec.gov/Archives/edgar/data/1135730/000091957426005478/infotable.xml
CBRS,Cerebras Systems Inc.,Brown University,1664741,0000904454-26-000433,2026-06-30,145700,16340805,112.15,"Sum of 3 sub-manager rows (40,000 + 65,700 + 40,000 sh); endowment - plausible new institutional buyer, timing of purchase (IPO vs aftermarket) not determinable from 13F",https://www.sec.gov/Archives/edgar/data/1664741/000090445426000433/infotable.xml
CBRS,Cerebras Systems Inc.,"Atreides Management, LP",1777813,0001777813-26-000009,2026-06-30,3810086,,,"NOTE: Atreides' own SC 13G (same event date 2026-06-30) reported 10,543,836 sh / 10.7% - the 13F figure is LESS THAN HALF the 13G figure. 13G 'beneficial ownership' and 13F 'sole/shared investment discretion' are different legal tests and are NOT expected to reconcile; reported here as observed, not resolved.",https://www.sec.gov/Archives/edgar/data/1777813/000177781326000009/ATREIDES13FXMLQ2.xml
CBRS,Cerebras Systems Inc.,"Advanced Micro Devices, Inc. (AMD)",2488,0001193125-26-352454,2026-06-30,794467,175577207,221.0,"AMD (a public company / potential strategic partner-competitor) holding a direct stake in Cerebras - notable strategic holder, not a traditional asset manager",https://www.sec.gov/Archives/edgar/data/2488/000119312526352454/56752.xml
MDLN,Medline Inc.,Pentwater Capital Management LP,1425851,0001140361-26-033162,2026-06-30,65000,"~$2.56M, sum of 3 rows: 30,000+20,000+15,000 sh",,Multi-strategy hedge fund; 3 separate lots reported,https://www.sec.gov/Archives/edgar/data/1425851/000114036126033162/informationtable.xml
QNT,Quantinuum Inc.,"Maplelane Capital, LLC",1512173,0000919574-26-005126,2026-06-30,145071,"sum of 3 rows: 58,377+63,097+23,597 sh",,Implied price ~$81.7-81.8/sh vs $60.00 IPO price (+36%),https://www.sec.gov/Archives/edgar/data/1512173/000091957426005126/infotable.xml
FRVO,Fervo Energy Company,OnyxPoint Global Management LP,1961491,0001420506-26-001756,2026-06-30,20000,584600,29.23,Implied price ~$29.2/sh vs $27.00 IPO price (+8%),https://www.sec.gov/Archives/edgar/data/1961491/000142050626001756/Form13F_InfoTable.xml
PSUS,"Pershing Square USA, Ltd.",Consulta Ltd,1510677,0001104659-26-096587,2026-06-30,3000000,112140000,37.38,"Implied price ~$37.4/sh vs $50.00 IPO price (-25%) - PSUS traded BELOW its IPO price by Q2-end, consistent with the common closed-end-fund discount-to-NAV pattern",https://www.sec.gov/Archives/edgar/data/1510677/000110465926096587/infotable.xml
SKHY,SK hynix Inc.,"Stanley-Laman Group, Ltd.",1601489,0001376474-26-000532,2026-06-30,983,1681372,1710.45,"Issuer listed as 'SK HYNIX INC KRW 5000.0' (par-value notation) - likely reports the Korean ORDINARY share (1 ordinary = 10 ADSs per prospectus), not the Nasdaq ADS directly; implied per-ADS-equivalent price ~$171/ADS vs $149 IPO ADS price (+15%)",https://www.sec.gov/Archives/edgar/data/1601489/000137647426000532/informationtable.xml
