ticker,issuer,ipo_date,base_proceeds_to_company_usd,counts_toward_112bn_operating_co_total,cornerstone_total_usd_from_existing_I1b_research,cornerstone_names,n_13g_13d_filings_found_today,top_13g_13d_holder_by_pct,top_13g_13d_pct,n_underwriters_in_syndicate,lead_banks,13F_HR_breadth_count_2026,standard_lockup_expiry,lockup_status_as_of_2026_09_14
SPCX,Space Exploration Technologies Corp. (SpaceX),2026-06-11,74999999925,True,0,None disclosed,4,"Elon R. Musk (founder, pre-IPO)",48.4%,22,"Goldman Sachs, Morgan Stanley, BofA, Citi, JPMorgan","83-91 (Q2 2026, partial quarter)",2026-12-08 (graduated releases from day 70),partially released; day-70/90/91 tranches already passed
SKHY,SK hynix Inc. (ADSs),2026-07-09,26507100000,True,7000000000,"Baillie Gifford, Coatue, Situational Awareness Partners",0,none found,n/a,13,"BofA, Citi, Goldman, JPMorgan (Global Coordinators)","125 (Q2 2026, partial quarter)",2026-10-07,upcoming
CBRS,Cerebras Systems Inc.,2026-05-13,5550000000,True,0,None disclosed,15,FMR LLC (Fidelity),46.6% (initial)/25.7%(amended),13,"Morgan Stanley, Citigroup, Barclays","438 (Q2 2026, first full quarter)","2026-11-09 (or earlier, on Q3 earnings)",upcoming
MDLN,Medline Inc.,2025-12-17,6264999978,True,2600000000,"8 cornerstones incl. GIC, Viking, Baillie Gifford ($2.35bn) + Mills family ($250m)",13,Carlyle Group Inc. / BMA VIII (Blackstone),"24.4% (initial, now down to ~16.5%)",38,"Goldman Sachs, Morgan Stanley, BofA, JPMorgan","951 (cumulative, 3 quarterly seasons)",2026-06-15,EXPIRED
QNT,Quantinuum Inc.,2026-06-04,1680000000,True,0,None disclosed,5,Honeywell International Inc. (former parent),79.1%,13,"JPMorgan, Morgan Stanley (joint lead)","178 (Q2 2026, partial quarter)",2026-12-01,upcoming
FRVO,Fervo Energy Company,2026-05-13,1890000000,True,350000000,"Atlas Point, Norges Bank, Wellington, Capital Research",3,Devon Energy Corp/DE (strategic partner),12.5%,13,"JPMorgan, BofA (joint book-runners)","192 (Q2 2026, first full quarter)",2026-11-09,upcoming
JMKE,Jersey Mike's Subs Inc.,2026-07-31,317000007,True,0,None disclosed,0,none found (Blackstone control stake not yet seen in a 13D),n/a,24,"Morgan Stanley, Jefferies, JPMorgan",0 (no 13F season yet; first due ~2026-11-14),2027-01-26,upcoming
BSP,Bending Spoons S.p.A.,2026-06-30,997560560,True,0,None disclosed,2,Baillie Gifford & Co,15.23%,13,"Goldman Sachs Intl, JPMorgan, Allen & Co",0 (IPO priced on quarter-end day; missed Q2 2026 season),"2026-12-27 (or earlier, on 2nd earnings report if >=125d elapsed)",upcoming
INIO,INNIO N.V.,2026-06-03,0,True,0,None disclosed (100% secondary deal - company receives $0),1,"Advent International, L.P. (former PE sponsor)",86.2%,15,"Goldman Sachs, JPMorgan, Morgan Stanley","153 (Q2 2026, partial quarter)",2026-11-30,upcoming
PSUS,"Pershing Square USA, Ltd. [FUND - not operating co., kept out of $112bn total]",2026-04-29,2025848000,False,250000000,Manager's own $250m self-investment (not third-party),2,"Pershing Square PSUS Holdings, LLC (sponsor's nominal pre-effectiveness vehicle)","100% of only 1,000,000 sh",25,"Citigroup, UBS, BofA, Jefferies, Wells Fargo",88 (Q2 2026),2026-10-26 (general); ~2051 for Manager's $100m tranche,upcoming
