ticker,issuer_name,issuer_cik,form_type,filing_date,event_date_or_date_of_event,headline_reporting_person,headline_shares_beneficially_owned,headline_percent_of_class,type_of_reporting_person,n_affiliated_entities_in_this_filing,all_affiliated_entity_names_do_not_sum,likely_pre_ipo_or_insider_note,name_overlap_with_disclosed_cornerstone,accession_number,source_url
BSP,Bending Spoons S.p.A.,2004711,SCHEDULE 13G,2026-08-03,07/31/2026,BAILLIE GIFFORD & CO,,15.23,,2,BAILLIE GIFFORD & CO,,Name matches prospectus cornerstone investor in SK hynix and Medline deals (not disclosed as BSP cornerstone),0001088875-26-000052,https://www.sec.gov/Archives/edgar/data/2004711/000108887526000052/primary_doc.xml
BSP,Bending Spoons S.p.A.,2004711,SCHEDULE 13G,2026-07-09,07/01/2026,Durable Capital Partners LP,23586614,7.3,IA,2,Durable Capital Partners LP,,Name matches prospectus cornerstone investor in Medline deal (not disclosed as BSP cornerstone),0002000324-26-002849,https://www.sec.gov/Archives/edgar/data/2004711/000200032426002849/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-06-05,05/29/2026,FMR LLC,25618272.00,46.6,HC,4,Abigail P. Johnson; FMR LLC,,,0000315066-26-001423,https://www.sec.gov/Archives/edgar/data/2021728/000031506626001423/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G/A,2026-07-08,06/30/2026,FMR LLC,28878217.29,25.7,HC,4,Abigail P. Johnson; FMR LLC,,,0000315066-26-001451,https://www.sec.gov/Archives/edgar/data/2021728/000031506626001451/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,06/30/2026,"Foundation Capital Management Co. VIII, L.L.C.",14210932.00,12.2,OO,10,"Foundation Capital Leadership Fund II, L.P.; Foundation Capital Management Co. LF II, L.L.C.; Foundation Capital Management Co. VIII, L.L.C.; Foundation Capital VIII Principals Fund, L.L.C.; Foundation Capital VIII, L.P.",Pre-IPO VC investor,,0001645076-26-000004,https://www.sec.gov/Archives/edgar/data/2021728/000164507626000004/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,6/30/2026,"Atreides Management, LP",10543836.00,10.7,IA,6,"Atreides Management, LLC; Atreides Management, LP; Gavin Baker",,,0001777813-26-000008,https://www.sec.gov/Archives/edgar/data/2021728/000177781326000008/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-06-04,05/29/2026,JPMORGAN CHASE & CO,3486503.00,10.1,HC,2,JPMORGAN CHASE & CO,,,0000019617-26-000234,https://www.sec.gov/Archives/edgar/data/2021728/000001961726000234/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-05-22,05/15/2026,"Tiger Global Management, LLC",3496222.00,9.99,IA,8,"Charles P. Coleman III; Tiger Global Investments, L.P.; Tiger Global Management, LLC; Tiger Global Performance, LLC",,,0000919574-26-003680,https://www.sec.gov/Archives/edgar/data/2021728/000091957426003680/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,06/30/2026,"Benchmark Capital Management Co. VIII, L.L.C.",12227545.00,9.8,OO,24,"Benchmark AI Infrastructure Fund B, L.P.; Benchmark AI Infrastructure Fund, L.P.; Benchmark AI Infrastructure Management Co., L.L.C.; Benchmark Capital Management Co. IX, L.L.C.; Benchmark Capital Management Co. VIII, L.L.C.; Benchmark Capital Partners IX, L.P.; Benchmark Capital Partners VIII, L.P.; Benchmark Founders' Fund IX, L.P.; Benchmark Founders' Fund IX-A, L.P.; Benchmark Founders' Fund IX-B, L.P.; Benchmark Founders' Fund VIII, L.P.; Benchmark Founders' Fund VIII-B, L.P.",Pre-IPO VC investor,,0001104659-26-097224,https://www.sec.gov/Archives/edgar/data/2021728/000110465926097224/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,06/30/2026,Andrew Feldman,10397232.00,9.2,IN,2,Andrew Feldman,Cerebras co-founder/CEO - pre-IPO holder,,0001493152-26-038435,https://www.sec.gov/Archives/edgar/data/2021728/000149315226038435/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,06/30/2026,COATUE MANAGEMENT LLC,7011028.00,7.1,IA,8,COATUE MANAGEMENT LLC; Coatue Private Fund II LP; Coatue Private II GP LLC; Philippe Laffont,,Name matches prospectus cornerstone investor in SK hynix deal,0000919574-26-005577,https://www.sec.gov/Archives/edgar/data/2021728/000091957426005577/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-14,06/30/2026,"Altimeter Capital Management, LP",7160181.00,6.2,IA,6,"Altimeter Capital Management General Partner, LLC; Altimeter Capital Management, LP; Gerstner Bradley Thomas",,,0001541617-26-000009,https://www.sec.gov/Archives/edgar/data/2021728/000154161726000009/primary_doc.xml
CBRS,"Cerebras Systems, Inc.",2021728,SCHEDULE 13D,2026-05-22,05/15/2026,Lior Susan,13466197,6.1,IN,9,"Eclipse Continuity Fund I, L.P.; Eclipse Continuity GP I, LLC; Eclipse SPV II GP, LLC; Eclipse SPV II, L.P.; Eclipse SPV XIII GP, LLC; Eclipse SPV XIII, L.P.; Eclipse Ventures Fund I, L.P.; Eclipse Ventures GP I, LLC; Lior Susan",Eclipse Ventures founder / Cerebras director - pre-IPO VC investor,,0001193125-26-237003,https://www.sec.gov/Archives/edgar/data/2021728/000119312526237003/primary_doc.xml
