ticker,issuer,cik,accession_number,source_url,tranche,expiry_date,status_vs_today_2026_09_14,approx_shares_or_pct_released,prospectus_quote
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,Standard lock-up group - conditional 'First Earnings Release' tranche,CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,Up to 911.5 million shares (or up to 455.8M more if 30%-price condition met),"""The second full trading day on Nasdaq immediately following the First Earnings Release Date... Up to 911.5 million shares of Class A common stock, representing the shares subject to the 180-day lock-up period released from restrictions"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,70th day after prospectus,2026-08-20,EXPIRED (already unlocked as of 2026-09-14),Up to 319.0 million shares (7% of 180-day-lockup pool),"""August 20, 2026 (70th day after the date of this prospectus) ... Up to 319.0 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,90th day after prospectus,2026-09-09,EXPIRED (already unlocked as of 2026-09-14),Up to 319.0 million shares (7%),"""September 9, 2026 (90th day after the date of this prospectus) ... Up to 319.0 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,91st day after prospectus (affiliates),2026-09-10,EXPIRED (already unlocked as of 2026-09-14),Up to 59.1 million shares (affiliate-held),"""September 10, 2026 (91st day after the date of this prospectus) ... shares subject to the 180-day lock-up period held by 'affiliates'"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,105th day after prospectus,2026-09-24,upcoming (10d from today),Up to 328.4 million shares (7%),"""September 24, 2026 (105th day after the date of this prospectus) ... Up to 328.4 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,120th day after prospectus,2026-10-09,upcoming (25d from today),Up to 328.4 million shares (7%),"""October 9, 2026 (120th day after the date of this prospectus) ... Up to 328.4 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,135th day after prospectus,2026-10-24,upcoming (40d from today),Up to 328.4 million shares (7%),"""October 24, 2026 (135th day after the date of this prospectus) ... Up to 328.4 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,2 trading days after Q3-2026 earnings release,CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,Up to 1.3 billion shares (28%),"""The second full trading day on Nasdaq immediately following the public release of our quarterly financial results for the quarter ended September 30, 2026 ... Up to 1.3 billion shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,180th day after prospectus (final standard tranche),2026-12-08,upcoming (85d from today),Up to 328.4M (if Additional Release already happened) or up to 797.6M (if not) - remaining 180-day-lockup shares,"""December 8, 2026 (180th day after the date of this prospectus) ... the remaining shares subject to the 180-day lock-up period"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,"EXTENDED lock-up (>1yr group, ~60% of shares, incl. 100% of Musk's stake) - Q4-2026 earnings tranche",CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,"Up to 351.9 million shares (20% of extended-lockup pool, excl. Musk)","""following the public release of our quarterly financial results for the quarter ended December 31, 2026 ... Up to 351.9 million shares ... 20% of the shares subject to the extended lock-up period (other than Mr. Musk)"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,280th day after prospectus,2027-03-18,upcoming (185d from today),"Up to 176.0 million shares (10%, excl. Musk)","""March 18, 2027 (280th day after the date of this prospectus) ... 10% of the ... shares subject to the extended lock-up period (other than Mr. Musk)"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,Q1-2027 earnings tranche,CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,"Up to 351.9 million shares (20%, excl. Musk)","""following the public release of our quarterly financial results for the quarter ended March 31, 2027 ... Up to 351.9 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,340th day after prospectus,2027-05-17,upcoming (245d from today),"Up to 176.0 million shares (10%, excl. Musk)","""May 17, 2027 (340th day after the date of this prospectus)"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,366th day after prospectus - general extended group,2027-06-12,upcoming (271d from today),"Up to 351.9 million shares (20%, excl. Musk)","""June 12, 2027 (366th day after the date of this prospectus) ... Up to 351.9 million shares"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,366th day after prospectus - Musk's ENTIRE stake,2027-06-12,upcoming (271d from today),"Up to 6.4 BILLION shares (100% of Musk's holding, ~48% of company per his own 13G)","""June 12, 2027 (366th day after the date of this prospectus) ... Up to 6.4 billion shares of Class A common stock, representing all shares held by Mr. Musk"""
SPCX,Space Exploration Technologies Corp. (SpaceX),1181412,0001628280-26-042639,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,2 trading days after Q2-2027 earnings - final extended tranche,CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,Up to 351.9 million shares (remaining),"""following the public release of our quarterly financial results for the quarter ended June 30, 2027 ... Up to 351.9 million shares, representing the remaining shares subject to the extended lock-up period"""
SKHY,SK hynix Inc.,2120882,0001193125-26-299963,https://www.sec.gov/Archives/edgar/data/2120882/000119312526299963/d32785d424b4.htm,90-day restricted period (all common shares/ADSs; SK square must keep >=20%),2026-10-07,upcoming (23d from today),"~711,075,500 common shares not sold in the offering (728,865,500 total outstanding after offering minus 17,790,000 common shares equiv. of the 177,900,000 ADSs sold), ~97.6% of company","""...for a period of 90 days after the date of this prospectus"" / ""we will have an aggregate of 728,865,500 common shares...outstanding"""
CBRS,Cerebras Systems Inc.,2021728,0001628280-26-035214,https://www.sec.gov/Archives/edgar/data/2021728/000162828026035214/cerebras-424b4.htm,Early-release exceptions during the Lock-up Period,2026-06-24,EXPIRED (already unlocked as of 2026-09-14),"~0.2 million shares (RSU sell-to-cover, quarterly vesting)","""we estimate up to an aggregate of (i) 0.2 million shares...may be sold in the open market on or around June 24, 2026...in connection with such tax withholding obligations"""
CBRS,Cerebras Systems Inc.,2021728,0001628280-26-035214,https://www.sec.gov/Archives/edgar/data/2021728/000162828026035214/cerebras-424b4.htm,Early-release exceptions during the Lock-up Period,2026-08-18,EXPIRED (already unlocked as of 2026-09-14),"~0.4 million shares (RSU sell-to-cover, quarterly vesting)","""...and (ii) 0.4 million shares may be sold in the open market on or around...August 18, 2026, respectively (representing quarterly vesting of service-based RSUs)"""
