quarter,W1_bn,W2_bn,z_W1_D1_pct,z_W2_D1_pct,mmf_repo_with_fed_bn,mmf_private_repo_bn,ltd_h8_bn,hf_reverse_repo_bn
2022-12,2300.500,3286.500,9.7505,13.3708,2339.600,637.100,1663.400,986.000
2023-03,2835.900,3849.900,11.9265,15.5287,2230.800,1004.400,1831.500,1014.000
2023-06,3288.700,4293.700,13.6531,17.1114,1906.000,1327.200,1961.500,1005.000
2023-09,3600.600,4660.600,14.7843,18.3386,1483.900,1464.900,2135.700,1060.000
2023-12,3940.800,4980.800,15.9413,19.3349,968.700,1697.200,2243.600,1040.000
2024-03,4152.000,5281.000,16.5300,20.1205,537.800,1844.000,2308.000,1129.000
2024-06,4320.500,5405.500,17.0157,20.4164,618.300,1996.600,2323.900,1085.000
2024-09,4623.000,5773.000,17.8505,21.3431,429.800,2258.600,2364.400,1150.000
2024-12,4598.300,5703.300,17.6275,20.9750,382.400,2237.800,2360.500,1105.000
2025-03,4829.000,5976.000,18.2136,21.6051,348.700,2472.600,2356.400,1147.000
2025-06,5104.200,6367.200,18.8717,22.4911,389.400,2716.000,2388.200,1263.000
2025-09,5152.000,6474.000,18.8524,22.5968,22.000,2750.400,2401.600,1322.000
2025-12,5369.700,6704.700,19.3677,23.0719,72.600,2921.800,2447.900,1335.000
2026-03,5402.700,6801.700,19.2412,23.0740,6.400,2925.600,2477.100,1399.000
2026-06,5582.000,,19.4243,,6.800,3067.800,2514.200,
