year,start,end,n_months,P_start,P_end,E_start,E_end,PE_start,PE_end,price_return,eps_growth,pe_change,cross_term,dividend_return,total_return,price_plus_dividend,dividend_cross_term,check_gap_pp,earnings_yield_avg_pct,n_months_ey,tips_yield_avg_pct,n_days_tips,nominal10y_avg_pct,n_days_nom10y,erp_pct,memo_latest_month,memo_latest_P,memo_price_chg_from_end_pct
2015,2014-12,2015-12,12,2054.27,2054.08,102.31,86.53,20.078877920046917,23.738356639315843,-9.249027635127582e-05,-0.1542371224709217,0.18225514064285786,-0.028110508448287524,0.020473614223851744,0.020379230337262966,0.020381123947500468,-1.8936102374734594e-06,0.000189361023750223,4.568472714592209,12,0.4520318725099602,251,2.1382868525896415,251,4.116440842082249,,,
2016,2015-12,2016-12,12,2054.08,2246.63,86.53,94.55,23.738356639315843,23.761290322580646,0.09374026328088503,0.09268461805154282,0.0009661023976199612,8.954283172208586e-05,0.02155370482856256,0.11731441807475562,0.11529396810944759,0.002020449965307937,-0.20204499653080354,4.239964434681535,12,0.26816,250,1.83744,250,3.971804434681535,,,
2017,2016-12,2017-12,12,2246.63,2664.34,94.55,109.88,23.761290322580646,24.247724790680746,0.18592736676711352,0.1621364357482813,0.02047171940144321,0.0033192116173889406,0.019557421812070874,0.2091210485174564,0.2054847885791844,0.0036362599382720475,-0.36362599382719907,4.250835697522564,12,0.4566,250,2.32948,250,3.7942356975225637,,,
2018,2017-12,2018-12,12,2664.34,2567.31,109.88,132.39,24.247724790680746,19.39202356673465,-0.03641802472657396,0.20485984710593375,-0.20025389045211828,-0.04102398138038935,0.018896612754362163,-0.01820958928274874,-0.017521411972211798,-0.0006881773105368541,0.06881773105369415,4.495764088430943,12,0.8346184738955823,249,2.9112449799196787,249,3.6611456145353607,,,
2019,2018-12,2019-12,12,2567.31,3176.7495238095235,132.39,139.47,19.39202356673465,22.77729636344392,0.23738447005212593,0.05347835939270351,0.17457037348677806,0.009335737172644397,0.0195125924320263,0.2615290488979718,0.2568970624841522,0.004631986413819686,-0.46319864138195666,4.6420134509841615,12,0.40084,250,2.1414,250,4.241173450984162,,,
2020,2019-12,2020-12,12,3176.7495238095235,3695.3099999999995,139.47,94.13,22.77729636344392,39.257516200998616,0.1632361860146354,-0.32508783250878326,0.7235371386748244,-0.2352131201514056,0.01869881473007351,0.18498732394424033,0.18193500074470892,0.0030523231995314842,-0.3052323199531415,3.33033153696946,12,-0.6016733067729084,251,0.889203187250996,251,3.9320048437423685,,,
2021,2020-12,2021-12,12,3695.3099999999995,4674.772727272726,94.13,197.87,39.257516200998616,23.625474944522797,0.26505563194230697,1.1020928503133964,-0.3981923149808998,-0.4388449033901896,0.013873652466014796,0.2826065741300492,0.27892928440832176,0.0036772897217274975,-0.3677289721727428,3.638136605638851,12,-0.914780876494024,251,1.4468525896414344,251,4.552917482132875,,,
2022,2021-12,2022-12,12,4674.772727272726,3912.380952380953,197.87,172.75,23.625474944522797,22.647646612914347,-0.16308638288316402,-0.12695203921766818,-0.041388726952773625,0.005254383287277877,0.015814583528720005,-0.1498509425789467,-0.147271799354444,-0.00257914322450261,0.25791432245027,4.634630451887191,12,0.42859437751004015,249,2.9505622489959835,249,4.206036074377151,,,
2023,2022-12,2023-12,12,3912.380952380953,4685.0515000000005,172.75,192.42999999999998,22.647646612914347,24.34678324585564,0.19749368914313514,0.11392185238784358,0.0750248651430474,0.008546971612244117,0.016224354110926598,0.21692225080139327,0.21371804325406174,0.003204207547331484,-0.3204207547331528,4.243271745917323,12,1.67524,250,3.959,250,2.5680317459173225,,,
2024,2023-12,2024-12,12,4685.0515000000005,6010.908571428571,192.42999999999998,210.17,24.34678324585564,28.60022158932565,0.2829973312841001,0.0921893675622305,0.17470227177522668,0.01610569194664306,0.013458878110728989,0.3002650359822434,0.2964562093948291,0.0038088265874142947,-0.3808826587414327,3.6602380128669,12,1.93712,250,4.20796,250,1.7231180128669001,,,
2025,2024-12,2025-12,12,6010.908571428571,6853.025454545453,210.17,240.634,28.60022158932565,28.479040595034174,0.14009810216040952,0.14494932673549976,-0.004237064874235141,-0.0006141597008550187,0.012601307598185896,0.15446482903784076,0.15269940975859542,0.0017654192792453923,-0.17654192792453394,3.6522408341743398,12,1.9630923694779117,249,4.293212851405622,249,1.689148464696428,,,
2026_YTD,2025-12,2026-06,6,6853.025454545453,7450.032857142856,240.634,295.3881,28.479040595034174,25.221167870820985,0.08711588867679199,0.2275409958692456,-0.11439545209894664,-0.0260296550935069,0.005743303612162576,0.0933595252870687,0.09285919228895456,0.0005003329981141723,-0.05003329981141391,3.8206085709103657,6,2.0849710982658958,173,4.410231213872833,173,1.7356374726444699,2026-09,7631.47,2.435387149778645
