period,cusip,shrs,value_thousands,n_holders
2022-03-31,126349109,30592537.0000,7764166.0000,373
2022-03-31,911163103,49125595.0000,7077297.0000,405
2022-03-31,535555106,9477992.0000,3875840.0000,276
2022-03-31,34354P105,126434621.0000,15707078.0000,416
2022-03-31,192479103,21968327.0000,23001782.0000,377
2022-03-31,023135106,317300097.0000,10347837670.0000,5857
2022-03-31,969904101,68420177.0000,50522813.0000,845
2022-03-31,957090103,20779821.0000,3579055.0000,223
2022-03-31,857477103,333513720.0000,295932161.0000,1237
2022-03-31,751212101,43486577.0000,43240869.0000,549
2022-03-31,577933104,58663446.0000,13520769.0000,473
2022-03-31,88162G103,46748749.0000,20510793.0000,586
2022-03-31,101121101,145062761.0000,208977448.0000,847
2022-03-31,466367109,22058983.0000,5511010.0000,312
2022-03-31,256746108,215418487.0000,396361266.0000,1143
2022-03-31,727493108,43150850.0000,3949657.0000,276
2022-03-31,45168D104,71987801.0000,362531479.0000,1409
2022-03-31,004498101,109704343.0000,8745060.0000,415
2022-03-31,858119100,151907236.0000,102529476.0000,870
2022-03-31,64110D104,196924869.0000,163995626.0000,1000
2022-03-31,91913Y100,316099548.0000,378678165.0000,1597
2022-03-31,729132100,27019204.0000,5909547.0000,305
2022-03-31,168905107,13499938.0000,9458452.0000,286
2022-03-31,922417100,52141157.0000,4030206.0000,287
2022-03-31,035710409,598484591.0000,69439159.0000,942
2022-03-31,942622200,30486504.0000,49617827.0000,691
2022-03-31,929042109,137830631.0000,81806117.0000,594
2022-03-31,262037104,35596739.0000,3673154.0000,266
2022-03-31,032095101,559073077.0000,459934301.0000,1266
2022-03-31,759509102,50838685.0000,83139030.0000,677
2022-03-31,267475101,27454020.0000,7656020.0000,367
2022-03-31,000957100,62308263.0000,7870376.0000,399
2022-03-31,23331A109,280769208.0000,223545821.0000,1235
2022-03-31,337932107,472388785.0000,145558955.0000,957
2022-03-31,890516107,11870976.0000,1272692.0000,230
2022-03-31,172062101,106662619.0000,140517247.0000,974
2022-03-31,457187102,56675048.0000,19569793.0000,639
2022-03-31,92343E102,99545523.0000,444847269.0000,893
2022-03-31,592688105,21225742.0000,329550107.0000,1083
2022-03-31,045487105,115475341.0000,7811883.0000,407
2022-03-31,62944T105,2757574.0000,302147854.0000,794
2022-03-31,758932107,18721202.0000,423004.0000,110
2022-03-31,911363109,63291836.0000,287216428.0000,1275
2022-03-31,374297109,33581533.0000,8699163.0000,297
2022-03-31,03076C106,90157273.0000,685052825.0000,1390
2022-03-31,800363103,29345424.0000,9555767.0000,284
2022-03-31,36467W109,21152133.0000,22171927.0000,372
2022-03-31,12541W209,117828719.0000,193701151.0000,901
2022-03-31,452327109,135427315.0000,635540383.0000,1488
2022-03-31,311642102,17573808.0000,2673558.0000,222
2022-03-31,292562105,17835155.0000,10797372.0000,393
2022-03-31,631103108,119669307.0000,298353470.0000,988
2022-03-31,146229109,40319107.0000,23896271.0000,454
2022-03-31,149150104,51131101.0000,13270001.0000,369
2022-03-31,G0450A105,325100846.0000,113984106.0000,754
2022-03-31,667746101,8304234.0000,521507.0000,131
2022-03-31,084680107,38013647.0000,4125177.0000,264
2022-03-31,55303J106,16998657.0000,2747280.0000,293
2022-03-31,124805102,46591580.0000,5204927.0000,261
2022-03-31,128126109,29809174.0000,282210.0000,163
2022-03-31,858586100,17138522.0000,5046819.0000,298
2022-03-31,69354N106,42115727.0000,5219870.0000,293
2022-03-31,68162K106,8787190.0000,493463.0000,165
2022-03-31,681936100,155924361.0000,48946341.0000,669
2022-03-31,668074305,56687242.0000,11584280.0000,404
2022-03-31,199333105,27805078.0000,5957373.0000,242
2022-03-31,462726100,23487783.0000,9421365.0000,345
2022-03-31,88224Q107,49026518.0000,16586582.0000,370
2022-03-31,12662P108,94056844.0000,5723694.0000,216
2022-03-31,90384S303,45639216.0000,176109017.0000,1214
2022-03-31,74731Q103,11074121.0000,132957.0000,111
2022-03-31,69318J100,10854464.0000,1240682.0000,186
2022-03-31,87240R107,24889072.0000,2064553.0000,210
2022-03-31,896215209,42388324.0000,3248347.0000,207
2022-03-31,02913V103,18275749.0000,823415.0000,168
2022-03-31,04247X102,46794315.0000,13244078.0000,375
2022-03-31,96208T104,43803028.0000,24063626.0000,540
2022-03-31,292218104,21520165.0000,3537656.0000,241
2022-03-31,866674104,115482561.0000,271979265.0000,794
2022-03-31,29977A105,33638545.0000,29480869.0000,605
2022-03-31,G491BT108,297235683.0000,70064040.0000,762
2022-03-31,88830R101,17906324.0000,942065.0000,227
2022-03-31,89785X101,32417934.0000,3149412.0000,275
2022-03-31,904677200,13699724.0000,529095.0000,170
2022-03-31,30225T102,126215594.0000,341143451.0000,954
2022-03-31,159179100,28015287.0000,1381341.0000,224
2022-03-31,16934W106,52380279.0000,1721200.0000,184
2022-03-31,337930705,48000302.0000,36435880.0000,321
2022-03-31,00847X104,57773159.0000,4383644.0000,238
2022-03-31,85208M102,110708690.0000,110791007.0000,533
2022-03-31,02665T306,300170113.0000,100602179.0000,588
2022-03-31,453838609,16856893.0000,1825955.0000,202
2022-03-31,626755102,20290047.0000,15838987.0000,483
2022-03-31,29664W105,51665070.0000,453448.0000,177
2022-03-31,35138V102,41610435.0000,11257424.0000,432
2022-03-31,57165B106,43141914.0000,56244.0000,91
2022-03-31,69366J200,73926859.0000,23076624.0000,292
2022-03-31,74051N102,78569305.0000,13129557.0000,375
2022-03-31,808625107,42286431.0000,16327082.0000,509
2022-03-31,525327102,107432414.0000,91597695.0000,787
2022-03-31,320557101,6763976.0000,566983.0000,155
2022-03-31,76169C100,163992366.0000,128777030.0000,516
2022-03-31,71943U104,200479042.0000,30217308.0000,496
2022-03-31,75524W108,18243787.0000,3189823.0000,206
2022-03-31,122017106,70931491.0000,86252586.0000,679
2022-03-31,03674X106,247369747.0000,44008098.0000,466
2022-03-31,922475108,122921777.0000,266735745.0000,1042
2022-03-31,210751103,42812893.0000,1969378.0000,192
2022-03-31,36467J108,213161101.0000,78687844.0000,602
2022-03-31,90184L102,532352919.0000,228207259.0000,1160
2022-03-31,163092109,121516540.0000,107380070.0000,484
2022-03-31,02376R102,358529205.0000,41641458.0000,764
2022-03-31,20337X109,189463887.0000,8770547.0000,355
2022-03-31,11120U105,293256842.0000,67243661.0000,505
2022-03-31,00165C104,178292916.0000,47478333.0000,459
2022-03-31,556099109,60299925.0000,1683091.0000,215
2022-03-31,566324109,23388874.0000,2894453.0000,263
2022-03-31,629209305,82423586.0000,5723575.0000,337
2022-03-31,00771V108,48097117.0000,1045465.0000,233
2022-03-31,08180D106,28169494.0000,1991604.0000,167
2022-03-31,44157R109,113487299.0000,67217859.0000,274
2022-03-31,48576U106,68402236.0000,2084390.0000,210
2022-03-31,50187T106,19835873.0000,5930115.0000,329
2022-03-31,76680R206,80204243.0000,92282695.0000,627
2022-03-31,92337F107,76412675.0000,6099566.0000,316
2022-03-31,M98068105,49288475.0000,42709137.0000,474
2022-03-31,292104106,127752396.0000,9617625.0000,292
2022-03-31,922107107,19801493.0000,556368.0000,135
2022-03-31,98585X104,85976056.0000,26389868.0000,556
2022-03-31,984241109,25293800.0000,520447.0000,140
2022-03-31,125523100,273969846.0000,546127316.0000,1852
2022-03-31,26929N102,5347267.0000,112496.0000,73
2022-03-31,24703L202,211760217.0000,107119587.0000,963
2022-03-31,500688106,393271978.0000,14461208.0000,288
2022-03-31,G1890L107,129819395.0000,30901063.0000,573
2022-03-31,57778K105,56161608.0000,15827846.0000,342
2022-03-31,67623C109,36340251.0000,7305763.0000,295
2022-03-31,52472M101,5036888.0000,136513.0000,93
2022-03-31,03990B101,135413896.0000,49908606.0000,527
2022-03-31,28618M106,220741476.0000,16094439.0000,413
2022-03-31,014442107,54836887.0000,1982277.0000,243
2022-03-31,22304C100,129158523.0000,6267959.0000,368
2022-03-31,78645L100,17946566.0000,6567823.0000,268
2022-03-31,35137L105,314898460.0000,148924885.0000,822
2022-03-31,87615L107,20813335.0000,198391.0000,99
2022-03-31,38341P102,59154211.0000,1144657.0000,204
2022-03-31,60770K107,245445913.0000,375757610.0000,1447
2022-03-31,41358P106,25382639.0000,137758.0000,110
2022-03-31,35137L204,133381647.0000,31419979.0000,561
2022-03-31,74019P108,31304939.0000,284202.0000,213
2022-03-31,442487401,2914151.0000,263007.0000,141
2022-03-31,55087P104,276333251.0000,177212299.0000,738
2022-03-31,250565108,61398975.0000,3596802.0000,310
2022-03-31,260557103,466160829.0000,324942242.0000,2032
2022-03-31,82710M100,36362169.0000,15633730.0000,247
2022-03-31,892672106,105966053.0000,66231356.0000,478
2022-03-31,69553P100,78547035.0000,8363465.0000,330
2022-03-31,4525EP101,17622304.0000,1353794.0000,110
2022-03-31,92511U102,159308439.0000,17828832.0000,290
2022-03-31,72352L106,423297176.0000,108195533.0000,919
2022-03-31,98980L101,152691254.0000,193913286.0000,1010
2022-03-31,767754872,37104120.0000,2907087.0000,265
2022-03-31,18453H106,454351865.0000,5136209.0000,270
2022-03-31,08862E109,37842293.0000,18477516.0000,460
2022-03-31,G46188101,202551644.0000,66895501.0000,887
2022-03-31,35952H601,148729762.0000,8755103.0000,352
2022-03-31,578605107,7106987.0000,149261.0000,95
2022-03-31,670002401,32905622.0000,34958694.0000,529
2022-03-31,78486Q101,52385620.0000,255775702.0000,1128
2022-03-31,264411505,359592782.0000,233896122.0000,840
2022-03-31,904708104,14603175.0000,7550217.0000,371
2022-03-31,084423102,178782426.0000,77081717.0000,867
2022-03-31,571903202,194235289.0000,266377777.0000,1601
2022-03-31,81211K100,130422716.0000,66908711.0000,749
2022-03-31,562750109,60725662.0000,26956235.0000,561
2022-03-31,816850101,61545204.0000,16429969.0000,469
2022-03-31,G02602103,114251551.0000,64564155.0000,666
2022-03-31,74762E102,127043469.0000,138946583.0000,1056
2022-03-31,816851109,271783600.0000,387675909.0000,1286
2022-03-31,760759100,179438365.0000,246213004.0000,1230
2022-03-31,046224101,21009739.0000,11502601.0000,254
2022-03-31,827048109,75404267.0000,11212972.0000,402
2022-03-31,67018T105,42379253.0000,9035930.0000,343
2022-03-31,363576109,168695123.0000,309513462.0000,1148
2022-03-31,451107106,39767718.0000,23000923.0000,538
2022-03-31,784117103,95797834.0000,52888209.0000,661
2022-03-31,723787107,219832932.0000,395242223.0000,1514
2022-03-31,500600101,27187380.0000,166314.0000,138
2022-03-31,349853101,25990674.0000,22316433.0000,344
2022-03-31,806407102,129055942.0000,133682098.0000,866
2022-03-31,34988V106,39070688.0000,819599.0000,191
2022-03-31,743312100,43151688.0000,8583526.0000,380
2022-03-31,649445103,287614713.0000,72940979.0000,612
2022-03-31,520776105,7874994.0000,321167.0000,87
2022-03-31,421946104,158933109.0000,30848574.0000,459
2022-03-31,58155Q103,127538945.0000,427426330.0000,1594
2022-03-31,156782104,242647327.0000,222311489.0000,1047
2022-03-31,67066G104,1575708993.0000,5295934000.0000,4251
2022-03-31,126501105,29213763.0000,2824080.0000,250
2022-03-31,401617105,43237887.0000,5648125.0000,252
2022-03-31,947890109,151120744.0000,65179461.0000,632
2022-03-31,917047102,72355661.0000,8911192.0000,349
2022-03-31,880779103,59933894.0000,23617283.0000,422
2022-03-31,02553E106,180645121.0000,17049394.0000,446
2022-03-31,38141G104,237937311.0000,756095993.0000,2371
2022-03-31,44107P104,692332266.0000,155434381.0000,768
2022-03-31,278642103,497442231.0000,373255247.0000,1418
2022-03-31,05379B107,60313766.0000,11162995.0000,401
2022-03-31,750236101,165342948.0000,13731578.0000,410
2022-03-31,670837103,129639647.0000,31694120.0000,615
2022-03-31,126600105,102205197.0000,7390773.0000,286
2022-03-31,184499101,95852325.0000,10074292.0000,287
2022-03-31,278768106,34352716.0000,4654181.0000,273
2022-03-31,25470M109,245861781.0000,49501730.0000,637
2022-03-31,360271100,104955582.0000,6866923.0000,401
2022-03-31,116794108,105097569.0000,27766258.0000,464
2022-03-31,55354G100,71750312.0000,334712457.0000,1203
2022-03-31,19239V302,41059551.0000,9331624.0000,407
2022-03-31,84470P109,16535880.0000,2999746.0000,207
2022-03-31,264147109,10142108.0000,1759167.0000,191
2022-03-31,878155100,25981495.0000,67190.0000,99
2022-03-31,16115Q308,41361681.0000,44909775.0000,523
2022-03-31,388689101,278082462.0000,27849471.0000,503
2022-03-31,92826C839,1536369478.0000,3898205786.0000,4256
2022-03-31,55003T107,23039404.0000,2758596.0000,214
2022-03-31,91347P105,33582334.0000,309571608.0000,574
2022-03-31,29530P102,16605246.0000,84065199.0000,385
2022-03-31,718172109,1167791590.0000,593137489.0000,2546
2022-03-31,431571108,61850639.0000,8580335.0000,443
2022-03-31,212015101,44823006.0000,7773101.0000,484
2022-03-31,024835100,131484460.0000,61216073.0000,525
2022-03-31,422806109,37251113.0000,40160282.0000,615
2022-03-31,436893200,108129970.0000,7904492.0000,378
2022-03-31,747619104,32360062.0000,4643778.0000,230
2022-03-31,64115T104,68062899.0000,10670366.0000,309
2022-03-31,194014106,126314859.0000,6494625.0000,372
2022-03-31,011311107,10943270.0000,3798335.0000,271
2022-03-31,14808P109,7982242.0000,1237517.0000,199
2022-03-31,068463108,6096738.0000,1281719.0000,196
2022-03-31,705573103,38731099.0000,11706211.0000,366
2022-03-31,686688102,47372001.0000,9897732.0000,331
2022-03-31,511637100,37253293.0000,4407079.0000,261
2022-03-31,74386T105,48405180.0000,3982166.0000,267
2022-03-31,690370101,33241600.0000,7172686.0000,333
2022-03-31,57060D108,36207394.0000,90838957.0000,778
2022-03-31,29270J100,37374966.0000,7124145.0000,243
2022-03-31,00507V109,629442134.0000,390578341.0000,1615
2022-03-31,811054402,54528173.0000,3289719.0000,256
2022-03-31,063425102,7605505.0000,691780.0000,151
2022-03-31,477839104,32187809.0000,46192062.0000,409
2022-03-31,016255101,66507022.0000,304660822.0000,1225
2022-03-31,88830M102,47714627.0000,41724620.0000,214
2022-03-31,575385109,22685544.0000,4316423.0000,322
2022-03-31,72919P202,291555375.0000,180608448.0000,813
2022-03-31,156492100,21107319.0000,327833.0000,151
2022-03-31,94188P101,13576563.0000,1154612.0000,167
2022-03-31,45378A106,192905760.0000,40724943.0000,529
2022-03-31,68235P108,44078188.0000,22721747.0000,444
2022-03-31,49926D109,90114355.0000,9995597.0000,368
2022-03-31,553498106,30457495.0000,183833999.0000,396
2022-03-31,03852U106,258130531.0000,42632836.0000,496
2022-03-31,140755109,31694747.0000,1646340.0000,263
2022-03-31,14912Y202,38845090.0000,859362.0000,209
2022-03-31,269796108,11241231.0000,1783533.0000,246
2022-03-31,45780L104,22184432.0000,3001728.0000,224
2022-03-31,45780R101,23437890.0000,5012086.0000,311
2022-03-31,505743104,73190812.0000,2210685.0000,245
2022-03-31,56117J100,19166465.0000,2558918.0000,279
2022-03-31,761330109,54637923.0000,4242642.0000,238
2022-03-31,89532E109,33096781.0000,27084.0000,111
2022-03-31,90400D108,66604926.0000,18505918.0000,361
