object,bandwidth,n,tau,se,t,note
assignment_IWB,100,1005,-0.0331,0.0612,-0.54,local linear; Z=1{rank<=1000}
assignment_IWB,200,2005,0.0699,0.0434,1.61,
assignment_IWB,300,3005,0.0460,0.0348,1.32,
d13f_share_pct,100,1005,-0.0131,0.0150,-0.87,13F long shares Jun/Mar-1
d13f_share_pct,200,2004,0.0122,0.0157,0.78,
d13f_share_pct,300,3003,0.0117,0.0168,0.69,
CAR_[0,0],100,676,-0.00041,0.00268,-0.15,market-model vs SPY
CAR_[0,0],200,1325,-0.00308,0.00204,-1.51,
CAR_[-1,+1],100,676,-0.00269,0.00584,-0.46,
CAR_[-1,+1],200,1325,-0.00008,0.00412,-0.02,
CAR_[-5,+5],100,676,0.0121,0.0133,0.91,
CAR_[-5,+5],200,1325,0.0144,0.0093,1.55,
CAR_[-20,+5],100,676,0.0083,0.0213,0.39,
CAR_[-20,+5],200,1325,0.0109,0.0151,0.72,
CAR_[-60,0],100,676,-0.0255,0.0262,-0.97,
CAR_[-60,0],200,1325,0.0030,0.0177,0.17,
CAR_[+1,+20],100,676,0.0072,0.0192,0.38,
CAR_[+1,+20],200,1325,0.0029,0.0132,0.22,
placebo_assign_cut700,200,2005,0.0431,0.0340,1.27,
placebo_assign_cut1300,200,2005,-0.0317,0.0311,-1.02,
