quarter,top10_idio_vol,rest_idio_vol,top10_return,rest_return,idio_vol_gap_top10_minus_rest,return_gap_top10_minus_rest,window,top10_list_used,etf_flow_bn,mf_flow_bn,etf_plus_mf_flow_bn,source
2015Q1,13.606936337670325,20.168135621256734,-0.0827352100400856,1.954895537507481,-6.56119928358641,-2.0376307475475666,2015-19,top10_2015,32.014,50.642,82.656,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2015Q2,11.732930973558094,17.276431767991518,1.74499301464972,-0.8299657155533227,-5.543500794433424,2.5749587302030426,2015-19,top10_2015,40.955,57.66,98.615,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2015Q3,12.774750189786117,20.283520762473778,-5.863802413855705,-7.016070964479309,-7.508770572687659,1.152268550623604,2015-19,top10_2015,21.849,9.407,31.256,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2015Q4,13.672478381600362,23.845340476829637,9.68309238677187,4.137439314667982,-10.172862095229275,5.545653072103888,2015-19,top10_2015,78.783,-59.832,18.951,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2016Q1,15.549733400556784,26.95645455847743,1.6475715506534037,3.872519547568224,-11.406721157920645,-2.2249479969148203,2015-19,top10_2015,-7.349,-2.702,-10.051,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2016Q2,13.18745407673548,21.449477784825127,2.8516627909845087,2.736643972228722,-8.262023708089647,0.1150188187557867,2015-19,top10_2015,9.423,-17.423,-7.999999999999998,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2016Q3,11.265277921259187,19.876802487053123,2.495641996905912,4.950998158019336,-8.611524565793935,-2.4553561611134236,2015-19,top10_2015,62.23,-47.461,14.768999999999998,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2016Q4,15.811456734558115,23.780185854982783,8.123273603600406,3.975345251985978,-7.968729120424669,4.147928351614428,2015-19,top10_2015,121.743,-43.949,77.794,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2017Q1,11.521814063490988,18.917221984369338,4.7807633887943135,5.491225171513385,-7.39540792087835,-0.7104617827190713,2015-19,top10_2015,97.207,-30.433,66.774,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2017Q2,12.252204486646132,18.43954412344491,0.0339573331301267,2.4662450679278285,-6.187339636798782,-2.432287734797702,2015-19,top10_2015,76.291,-1.971,74.32,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2017Q3,12.779807947648967,19.293245812269152,4.375724408846656,5.249833103524931,-6.513437864620183,-0.8741086946782746,2015-19,top10_2015,54.792,-31.695,23.097,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2017Q4,14.805896161017174,20.585395255981492,5.029282687648314,6.71098935043366,-5.779499094964319,-1.6817066627853468,2015-19,top10_2015,118.413,-69.466,48.947,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2018Q1,16.402471822889698,22.343093103824742,-5.494113964334064,-0.6879694095971101,-5.940621280935048,-4.806144554736954,2015-19,top10_2015,43.303,1.979,45.282,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2018Q2,16.320310428072883,21.645903629884465,2.102012421591349,2.988622673069975,-5.325593201811582,-0.886610251478626,2015-19,top10_2015,25.08,-22.597,2.482999999999997,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2018Q3,15.612056635312388,20.7553602552206,9.371932110465597,4.862320857663717,-5.14330361990821,4.5096112528018795,2015-19,top10_2015,61.354,-35.609,25.744999999999997,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2018Q4,23.001632689088662,25.885190196449063,-9.099457562934976,-13.55603406261432,-2.883557507360404,4.456576499679345,2015-19,top10_2015,74.488,-64.582,9.906000000000006,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2019Q1,18.470276314423984,22.415757326066867,11.123450905142471,14.855284669694562,-3.945481011642883,-3.731833764552091,2015-19,top10_2015,10.998,-29.57,-18.572000000000003,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2019Q2,16.219277653719494,22.125881270747488,4.70456593666412,2.603506713837598,-5.906603617027994,2.1010592228265224,2015-19,top10_2015,24.122,-32.576,-8.454,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2019Q3,16.9221547308951,23.467769909925632,1.2587250612650271,0.792446874652002,-6.545615179030531,0.4662781866130251,2015-19,top10_2015,40.775,-54.842,-14.067,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2019Q4,14.087098879736589,22.130218533905143,13.369324198606297,7.501966089396331,-8.043119654168557,5.867358109209966,2015-19,top10_2015,90.123,-102.435,-12.311999999999998,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2024Q1,24.11702694210802,23.37738115970648,13.250709043769785,7.793916370355315,0.7396457824015386,5.456792673414468,2024-26,top10_2023,180.517,-123.037,57.47999999999999,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2024Q2,26.94608796137451,23.83247873640558,10.38804414129364,-3.0055692609590547,3.113609224968929,13.393613402252694,2024-26,top10_2023,125.532,-103.568,21.964,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2024Q3,23.930719559721705,25.616908301973385,7.903510887378879,9.641577117920257,-1.68618874225168,-1.738066230541376,2024-26,top10_2023,191.861,-141.401,50.45999999999998,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2024Q4,26.078224734326035,25.871383034179537,8.035750320060298,-2.5471809063905826,0.2068417001464979,10.58293122645088,2024-26,top10_2023,342.442,-146.614,195.828,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2025Q1,27.76308478542295,27.80986038004685,-7.297688584981429,-0.7680977572486891,-0.0467755946238952,-6.52959082773274,2024-26,top10_2023,181.965,-191.74,-9.775000000000006,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
2025Q2,30.47344419786737,25.989575325105072,9.525510987010191,5.116604084971551,4.483868872762294,4.408906902038642,2024-26,top10_2023,150.106,-139.004,11.102000000000004,"data/z1_equity_netbuyers/netbuyers_quarterly_2026Q2.csv, sectors 'Exchange-traded funds'/'Mutual funds', flow_bn; Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart), daily adjclose; fetched 2026-09-13"
