metric,value,note,source
total_symbols_attempted,679,,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
n_ok,593,87.3% of attempted,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
n_http_404_failed,86,"delisted/acquired/renamed tickers with no successor found on Yahoo (3 known renames fixed separately: MMC->MRSH, BK->BNY, GPS->GAP)",Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13

--- full per-symbol fetch log follows ---
symbol,status,detail,source
%5EGSPC,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
%5ESP500TR,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
%5ESP500EW,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
RSP,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
A,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AABA,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AAL,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AAPL,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ABBV,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ABC,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ABNB,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ABT,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ACGL,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ACN,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADBE,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADI,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADM,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADP,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADS,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADSK,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ADT,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AEE,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AEP,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AES,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AET,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AFL,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AGN,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AIG,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AIV,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AIZ,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AJG,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AKAM,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALB,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALGN,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALL,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALLE,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALTR,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ALXN,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMAT,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMCR,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMD,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AME,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMG,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMGN,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMP,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMT,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AMZN,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AN,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ANDV,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ANET,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ANSS,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ANTM,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AON,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AOS,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
APA,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
APC,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
APD,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
APH,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
APTV,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ARE,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ARG,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ARNC,http_error,404.0,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ATI,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
ATO,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AVB,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
AVGO,ok,nan,Yahoo Finance chart API (query1.finance.yahoo.com/v8/finance/chart); fetched 2026-09-13
