window,line_item,value_bp,pct_of_total,denominator,method,source
main_2023-12_to_2026-06,TOTAL: change in our residual (premium_trailing_pct) over the window,-48.59429437750222,100.0,"our premium_trailing_pct change, 2023-12->2026-06 = -48.59bp (=100% by definition)",direct from source CSV,_research/2026-09-12-P2c-monthly_series.csv
main_2023-12_to_2026-06,"(a) candidate 'genuine risk-premium' component = Damodaran ERP(T12m), restated to real-rate basis (+our breakeven), change",-29.307142857142843,60.309843434440765,"same denominator as TOTAL row (-48.59bp); this line assumes Damodaran's multi-stage FCFE/DDM construction fully nets out expected growth (LOAD-BEARING, UNVERIFIED ASSUMPTION -- his model's phase length/terminal growth are not in the source file)","DERIVED: ERP(T12m)+breakeven, differenced",DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
main_2023-12_to_2026-06,"(b)+(c) UNRESOLVED residual = TOTAL - (a). Bundles: growth term our measure omits, trailing-vs-forward earnings/CF construction gap, different E/CF definitions (Shiller EPS vs Damodaran dividends+buybacks), and price-snapshot timing differences. NOT further separable without assuming Damodaran's internal model structure (phase length, terminal growth) -- not present in the source file, and we were instructed not to fill such gaps from memory.",-19.28715152035938,39.690156565559235,same denominator as TOTAL row (-48.59bp),DERIVED: TOTAL - (a),DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
main_2023-12_to_2026-06,"Damodaran expected-growth input, change (component of the omitted-growth story, NOT yet converted to a yield-equivalent -- see naive-bound row for why a direct conversion is not credible)",494.99999999999994,nan,"own units: percentage points of expected CF/earnings growth rate, NOT basis points of yield -- not directly commensurable with the TOTAL row without a model-structure assumption",direct from source xlsx,data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
control_2014-12_to_2019-12,TOTAL: change in our residual (premium_trailing_pct) over the window,-22.432865199431262,100.0,"our premium_trailing_pct change, 2014-12->2019-12 = -22.43bp (=100% by definition)",direct from source CSV,_research/2026-09-12-P2c-monthly_series.csv
control_2014-12_to_2019-12,"(a) candidate 'genuine risk-premium' component = Damodaran ERP(T12m), restated to real-rate basis (+our breakeven), change",-55.87229437229446,249.0644591120308,"same denominator as TOTAL row (-22.43bp); this line assumes Damodaran's multi-stage FCFE/DDM construction fully nets out expected growth (LOAD-BEARING, UNVERIFIED ASSUMPTION -- his model's phase length/terminal growth are not in the source file)","DERIVED: ERP(T12m)+breakeven, differenced",DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
control_2014-12_to_2019-12,"(b)+(c) UNRESOLVED residual = TOTAL - (a). Bundles: growth term our measure omits, trailing-vs-forward earnings/CF construction gap, different E/CF definitions (Shiller EPS vs Damodaran dividends+buybacks), and price-snapshot timing differences. NOT further separable without assuming Damodaran's internal model structure (phase length, terminal growth) -- not present in the source file, and we were instructed not to fill such gaps from memory.",33.4394291728632,-149.0644591120308,same denominator as TOTAL row (-22.43bp),DERIVED: TOTAL - (a),DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
control_2014-12_to_2019-12,"Damodaran expected-growth input, change (component of the omitted-growth story, NOT yet converted to a yield-equivalent -- see naive-bound row for why a direct conversion is not credible)",-161.99999999999997,nan,"own units: percentage points of expected CF/earnings growth rate, NOT basis points of yield -- not directly commensurable with the TOTAL row without a model-structure assumption",direct from source xlsx,data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main_2023-12_to_2026-06,"NAIVE, REJECTED BOUND: if Damodaran's Expected-growth-rate change were capitalized 1:1 into a yield (single-stage Gordon, dYield/dg=-1) -- shown to demonstrate this bound is NOT usable, not as a real estimate",-494.99999999999994,1018.6381062653538,"same denominator as TOTAL row (-48.59bp); this hypothetical is 10.2x the size of the entire observed move, which is why it is rejected as an implausible bound rather than reported as a finding","illustrative arithmetic only, REJECTED",DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
cross_window_check,"Sensitivity of (gap) to (Damodaran Delta-g) implied WITHIN the control window (gap/Delta-g, both in percentage points)",-20.641622946211857,nan,"ratio, not a bp figure on the main denominator; units = bp of gap per percentage-point of Delta-g",DERIVED: control window gap / control window Delta-g,DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
cross_window_check,"Sensitivity of (gap) to (Damodaran Delta-g) implied WITHIN the main window (gap/Delta-g, both in percentage points)",-3.896394246537249,nan,"ratio, not a bp figure on the main denominator; units = bp of gap per percentage-point of Delta-g",DERIVED: main window gap / main window Delta-g,DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
cross_window_check,"If the CONTROL window's gap-to-Delta-g sensitivity is applied to the MAIN window's Delta-g (cross-window extrapolation, NOT a within-window estimate -- shown to demonstrate instability, not as a preferred estimate), the extrapolated gap would be:",-102.17603358374868,210.26343708172718,same denominator as TOTAL row for main window (-48.59bp),DERIVED: control sensitivity x main Delta-g,DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
cross_window_check,"Implied 'genuine' component for the MAIN window if using the CONTROL window's sensitivity instead of the main window's own Damodaran-real reading -- sign flips relative to the within-window estimate, which is why no single point estimate is defensible",53.58173920624645,-110.26343708172719,same denominator as TOTAL row for main window (-48.59bp),DERIVED: main TOTAL - extrapolated gap,DERIVED from data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP) + _research/2026-09-12-P2c-monthly_series.csv
