window,our_year_month,damodaran_start_of_month,our_premium_trailing_pct,our_EY_trailing_pct,our_real_yield_pct,damodaran_ERP_T12m_pct,damodaran_expected_growth_pct,damodaran_TBond_rate_pct,note,source
main,2023-12,2024-01-01,2.2718187776057515,4.107318777605752,1.8355,4.6,8.74,3.88,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-01,2024-02-01,2.196856314083081,3.988761075987843,1.791904761904762,4.5,8.53,3.94,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-02,2024-03-01,1.9005813949621644,3.825581394962165,1.925,4.33,8.9,4.2700000000000005,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-03,2024-04-01,1.8045243476423556,3.7015243476423554,1.897,4.2299999999999995,9.049999999999999,4.21,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-04,2024-05-01,1.6335872822757502,3.7785872822757502,2.145,4.3999999999999995,9.39,4.6899999999999995,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-05,2024-06-01,1.5760130936288737,3.724194911810691,2.148181818181818,4.2700000000000005,9.53,4.38,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-06,2024-07-01,1.5835160471609488,3.6335160471609487,2.05,4.12,9.47,4.36,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-07,2024-08-01,1.5999401047054942,3.5740310137964033,1.9740909090909091,4.12,9.51,4.09,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-08,2024-09-01,1.8734867208650177,3.634395811774109,1.760909090909091,4.06,8.82,3.9,"source cell was text-typed (""1-Sep-24"", ""8.82%"" etc) not date/number-typed; parsed via string fallback",_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
main,2024-09,2024-10-01,1.9467240545069928,3.562724054506993,1.616,3.94,8.48,3.81,,_research/2026-09-12-P2c-monthly_series.csv + data/vintages/damodaran_erp_2026-09-13/ERPbymonth.xlsx (sheet: Historical ERP)
