ticker,quarter_label,report_date,timing,top10_snapshot,source
AAPL,Q4FY23,2024-02-01,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK320193), form 8-K Item 2.02, reportDate=2024-02-01, accession 0000320193-24-000005; document https://www.sec.gov/Archives/edgar/data/320193/000032019324000005/aapl-20240201.htm"
AAPL,Q1FY24,2024-05-02,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK320193), form 8-K Item 2.02, reportDate=2024-05-02, accession 0000320193-24-000067; document https://www.sec.gov/Archives/edgar/data/320193/000032019324000067/aapl-20240502.htm"
AAPL,Q2FY24,2024-08-01,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK320193), form 8-K Item 2.02, reportDate=2024-08-01, accession 0000320193-24-000080; document https://www.sec.gov/Archives/edgar/data/320193/000032019324000080/aapl-20240801.htm"
AAPL,Q3FY24,2024-10-31,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK320193), form 8-K Item 2.02, reportDate=2024-10-31, accession 0000320193-24-000120; document https://www.sec.gov/Archives/edgar/data/320193/000032019324000120/aapl-20241031.htm"
MSFT,Q2FY24,2024-01-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK789019), form 8-K Item 2.02, reportDate=2024-01-30, accession 0000950170-24-008809; document https://www.sec.gov/Archives/edgar/data/789019/000095017024008809/msft-20240130.htm"
MSFT,Q3FY24,2024-04-25,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK789019), form 8-K Item 2.02, reportDate=2024-04-25, accession 0000950170-24-048268; document https://www.sec.gov/Archives/edgar/data/789019/000095017024048268/msft-20240425.htm"
MSFT,Q4FY24,2024-07-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK789019), form 8-K Item 2.02, reportDate=2024-07-30, accession 0000950170-24-087835; document https://www.sec.gov/Archives/edgar/data/789019/000095017024087835/msft-20240730.htm"
MSFT,Q1FY25,2024-10-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK789019), form 8-K Item 2.02, reportDate=2024-10-30, accession 0000950170-24-118955; document https://www.sec.gov/Archives/edgar/data/789019/000095017024118955/msft-20241030.htm"
GOOGL,Q4CY23,2024-01-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1652044), form 8-K Item 2.02, reportDate=2024-01-30, accession 0001652044-24-000014; document https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/goog-20240130.htm"
GOOGL,Q1CY24,2024-04-25,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1652044), form 8-K Item 2.02, reportDate=2024-04-25, accession 0001652044-24-000047; document https://www.sec.gov/Archives/edgar/data/1652044/000165204424000047/goog-20240425.htm"
GOOGL,Q2CY24,2024-07-23,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1652044), form 8-K Item 2.02, reportDate=2024-07-23, accession 0001652044-24-000076; document https://www.sec.gov/Archives/edgar/data/1652044/000165204424000076/goog-20240723.htm"
