period,concept,total_usd_bn,n_filers,source
2015,PaymentsForRepurchaseOfCommonStock,700.470365,2523,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2015.json"
2016,PaymentsForRepurchaseOfCommonStock,614.326907,2467,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2016.json"
2017,PaymentsForRepurchaseOfCommonStock,654.707475,2351,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2017.json"
2018,PaymentsForRepurchaseOfCommonStock,961.206659,2367,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2018.json"
2019,PaymentsForRepurchaseOfCommonStock,836.813044,2411,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2019.json"
2020,PaymentsForRepurchaseOfCommonStock,615.285055,2498,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2020.json"
2021,PaymentsForRepurchaseOfCommonStock,987.505594,2508,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2021.json"
2022,PaymentsForRepurchaseOfCommonStock,1173.416012,2614,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2022.json"
2023,PaymentsForRepurchaseOfCommonStock,1004.779926,2667,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2023.json"
2024,PaymentsForRepurchaseOfCommonStock,1139.769106,2496,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2024.json"
2025,PaymentsForRepurchaseOfCommonStock,1235.136520,2257,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2025.json"
2015,PaymentsForRepurchaseOfEquity,11.670500,171,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2015.json"
2016,PaymentsForRepurchaseOfEquity,7.998043,160,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2016.json"
2017,PaymentsForRepurchaseOfEquity,7.048883,164,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2017.json"
2018,PaymentsForRepurchaseOfEquity,10.405591,167,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2018.json"
2019,PaymentsForRepurchaseOfEquity,10.359186,156,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2019.json"
2020,PaymentsForRepurchaseOfEquity,9.523646,161,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2020.json"
2021,PaymentsForRepurchaseOfEquity,14.577507,152,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2021.json"
2022,PaymentsForRepurchaseOfEquity,15.527248,163,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2022.json"
2023,PaymentsForRepurchaseOfEquity,13.960559,170,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2023.json"
2024,PaymentsForRepurchaseOfEquity,13.572486,149,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2024.json"
2025,PaymentsForRepurchaseOfEquity,19.282989,129,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfEquity/USD/CY2025.json"
2015,StockRepurchasedDuringPeriodValue,181.704114,810,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/StockRepurchasedDuringPeriodValue/USD/CY2015.json"
2016,StockRepurchasedDuringPeriodValue,194.652606,727,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/StockRepurchasedDuringPeriodValue/USD/CY2016.json"
2017,StockRepurchasedDuringPeriodValue,201.575350,657,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/StockRepurchasedDuringPeriodValue/USD/CY2017.json"
2018,StockRepurchasedDuringPeriodValue,281.202726,724,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/StockRepurchasedDuringPeriodValue/USD/CY2018.json"
2019,StockRepurchasedDuringPeriodValue,235.745581,748,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/StockRepurchasedDuringPeriodValue/USD/CY2019.json"
