period,concept,total_usd_bn,n_filers,source
2015Q1,PaymentsForRepurchaseOfCommonStock,136.249408,1491,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2015Q1.json"
2015Q2,PaymentsForRepurchaseOfCommonStock,12.246360,157,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2015Q2.json"
2015Q3,PaymentsForRepurchaseOfCommonStock,27.736034,187,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2015Q3.json"
2015Q4,PaymentsForRepurchaseOfCommonStock,34.551673,159,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2015Q4.json"
2016Q1,PaymentsForRepurchaseOfCommonStock,146.907332,1503,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2016Q1.json"
2016Q2,PaymentsForRepurchaseOfCommonStock,12.747912,135,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2016Q2.json"
2016Q3,PaymentsForRepurchaseOfCommonStock,20.514175,159,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2016Q3.json"
2016Q4,PaymentsForRepurchaseOfCommonStock,25.316412,145,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2016Q4.json"
2017Q1,PaymentsForRepurchaseOfCommonStock,128.429724,1378,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2017Q1.json"
2017Q2,PaymentsForRepurchaseOfCommonStock,15.879123,135,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2017Q2.json"
2017Q3,PaymentsForRepurchaseOfCommonStock,22.753911,147,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2017Q3.json"
2017Q4,PaymentsForRepurchaseOfCommonStock,34.335241,144,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2017Q4.json"
2018Q1,PaymentsForRepurchaseOfCommonStock,165.828179,1361,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2018Q1.json"
2018Q2,PaymentsForRepurchaseOfCommonStock,19.997117,140,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2018Q2.json"
2018Q3,PaymentsForRepurchaseOfCommonStock,38.069951,165,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2018Q3.json"
2018Q4,PaymentsForRepurchaseOfCommonStock,42.615866,137,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2018Q4.json"
2019Q1,PaymentsForRepurchaseOfCommonStock,169.448250,1459,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2019Q1.json"
2019Q2,PaymentsForRepurchaseOfCommonStock,12.947685,137,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2019Q2.json"
2019Q3,PaymentsForRepurchaseOfCommonStock,28.482720,162,"SEC XBRL frames API https://data.sec.gov/api/xbrl/frames/us-gaap/PaymentsForRepurchaseOfCommonStock/USD/CY2019Q3.json"
