"Date","    Issuance, IPO","    Issuance, SEO"
"1994-01-31"," 0.72"," 2.84"
"1994-02-28"," 1.29"," 3.05"
"1994-03-31"," 2.04"," 3.17"
"1994-04-30"," 1.11"," 2.69"
"1994-05-31"," 1.21"," 0.91"
"1994-06-30"," 1.38"," 2.35"
"1994-07-31"," 0.78"," 0.55"
"1994-08-31"," 0.83"," 0.88"
"1994-09-30"," 0.79"," 1.47"
"1994-10-31"," 0.87"," 1.11"
"1994-11-30"," 1.72"," 2.93"
"1994-12-31"," 0.89"," 1.52"
"1995-01-31"," 1.48"," 0.74"
"1995-02-28"," 1.16"," 1.70"
"1995-03-31"," 1.13"," 1.28"
"1995-04-30"," 1.31"," 1.75"
"1995-05-31"," 1.13"," 2.90"
"1995-06-30"," 2.73"," 3.22"
"1995-07-31"," 1.15"," 2.27"
"1995-08-31"," 1.67"," 2.58"
"1995-09-30"," 1.05"," 4.91"
"1995-10-31"," 3.28"," 3.63"
"1995-11-30"," 2.40"," 3.51"
"1995-12-31"," 1.87"," 2.12"
"1996-01-31"," 1.21"," 2.79"
"1996-02-29"," 2.54"," 3.16"
"1996-03-31"," 2.64"," 4.32"
"1996-04-30"," 5.87"," 3.30"
"1996-05-31"," 3.50"," 7.44"
"1996-06-30"," 4.12"," 7.36"
"1996-07-31"," 1.42"," 4.09"
"1996-08-31"," 1.98"," 1.64"
"1996-09-30"," 2.49"," 1.78"
"1996-10-31"," 4.64"," 3.73"
"1996-11-30"," 2.20"," 4.17"
"1996-12-31"," 1.50"," 2.71"
"1997-01-31"," 0.64"," 4.31"
"1997-02-28"," 1.99"," 3.85"
"1997-03-31"," 0.73"," 3.31"
"1997-04-30"," 1.02"," 1.71"
"1997-05-31"," 0.94"," 3.12"
"1997-06-30"," 3.63"," 2.63"
"1997-07-31"," 2.01"," 4.01"
"1997-08-31"," 1.24"," 2.00"
"1997-09-30"," 2.12"," 3.77"
"1997-10-31"," 2.78"," 3.77"
"1997-11-30"," 3.56"," 3.61"
"1997-12-31"," 0.92"," 1.98"
"1998-01-31"," 0.41"," 1.35"
"1998-02-28"," 1.77"," 3.96"
"1998-03-31"," 1.56"," 9.18"
"1998-04-30"," 1.90"," 3.64"
"1998-05-31"," 2.92"," 6.35"
"1998-06-30"," 3.43"," 6.81"
"1998-07-31"," 1.75"," 4.64"
"1998-08-31"," 1.06"," 1.50"
"1998-09-30"," 0.08"," 2.19"
"1998-10-31"," 4.40"," 1.48"
"1998-11-30"," 3.20"," 2.94"
"1998-12-31"," 3.56"," 4.00"
"1999-01-31"," 0.91"," 2.79"
"1999-02-28"," 3.51"," 5.41"
"1999-03-31"," 3.80"," 4.74"
"1999-04-30"," 1.77"," 5.87"
"1999-05-31"," 3.91"," 6.52"
"1999-06-30"," 2.98"," 3.45"
"1999-07-31"," 4.55"," 7.04"
"1999-08-31"," 2.57"," 3.81"
"1999-09-30"," 2.48"," 3.17"
"1999-10-31"," 5.01"," 5.96"
"1999-11-30","14.66"," 7.95"
"1999-12-31"," 4.03"," 3.42"
"2000-01-31"," 1.11"," 8.14"
"2000-02-29"," 6.86","14.93"
"2000-03-31"," 6.31"," 9.37"
"2000-04-30","13.44"," 3.32"
"2000-05-31"," 2.11"," 2.41"
"2000-06-30"," 4.32"," 2.20"
"2000-07-31"," 4.23"," 3.55"
"2000-08-31"," 5.47"," 3.18"
"2000-09-30"," 3.96"," 2.25"
"2000-10-31"," 2.62"," 5.66"
"2000-11-30"," 1.75"," 9.04"
"2000-12-31"," 0.35"," 1.80"
"2001-01-31"," 0.23"," 4.13"
"2001-02-28"," 1.15"," 3.31"
"2001-03-31"," 3.76"," 3.96"
"2001-04-30"," 2.37"," 2.45"
"2001-05-31"," 1.98"," 4.83"
"2001-06-30"," 9.84"," 6.79"
"2001-07-31"," 2.52"," 1.72"
"2001-08-31"," 0.45"," 5.03"
"2001-09-30"," 0.00"," 0.08"
"2001-10-31"," 0.53"," 7.08"
"2001-11-30"," 0.63"," 6.96"
"2001-12-31"," 1.65"," 6.13"
"2002-01-31"," 1.31"," 8.27"
"2002-02-28"," 1.15"," 2.87"
"2002-03-31"," 0.39"," 4.50"
"2002-04-30"," 1.11"," 6.72"
"2002-05-31"," 1.71"," 4.92"
"2002-06-30"," 1.22","10.38"
"2002-07-31"," 0.45"," 1.38"
"2002-08-31"," 0.00"," 0.54"
"2002-09-30"," 0.00"," 2.75"
"2002-10-31"," 1.00"," 2.73"
"2002-11-30"," 0.17"," 4.37"
"2002-12-31"," 0.40"," 3.76"
"2003-01-31"," 0.00"," 3.79"
"2003-02-28"," 0.00"," 2.68"
"2003-03-31"," 0.00"," 1.05"
"2003-04-30"," 0.00"," 1.59"
"2003-05-31"," 0.01"," 3.06"
"2003-06-30"," 0.09"," 4.64"
"2003-07-31"," 1.01"," 2.32"
"2003-08-31"," 0.04"," 1.94"
"2003-09-30"," 1.09"," 5.39"
"2003-10-31"," 0.62"," 3.13"
"2003-11-30"," 1.30"," 6.95"
"2003-12-31"," 1.23"," 2.46"
"2004-01-31"," 0.28"," 4.75"
"2004-02-29"," 1.76"," 4.73"
"2004-03-31"," 0.45"," 9.38"
"2004-04-30"," 0.54"," 3.74"
"2004-05-31"," 0.61"," 4.47"
"2004-06-30"," 1.30"," 3.58"
"2004-07-31"," 3.32"," 2.37"
"2004-08-31"," 2.01"," 3.10"
"2004-09-30"," 0.87"," 2.99"
"2004-10-31"," 2.81"," 1.95"
"2004-11-30"," 1.96"," 3.17"
"2004-12-31"," 3.25"," 2.89"
"2005-01-31"," 0.86"," 1.23"
"2005-02-28"," 4.91"," 2.94"
"2005-03-31"," 0.97"," 2.42"
"2005-04-30"," 0.57"," 2.05"
"2005-05-31"," 1.22"," 1.67"
"2005-06-30"," 1.54"," 3.20"
"2005-07-31"," 1.19"," 0.51"
"2005-08-31"," 4.13"," 2.57"
"2005-09-30"," 0.61"," 8.66"
"2005-10-31"," 0.89"," 1.68"
"2005-11-30"," 2.02"," 2.15"
"2005-12-31"," 1.43"," 6.30"
"2006-01-31"," 2.06"," 3.66"
"2006-02-28"," 2.84"," 1.83"
"2006-03-31"," 1.17"," 9.06"
"2006-04-30"," 1.85"," 1.74"
"2006-05-31"," 2.69"," 2.87"
"2006-06-30"," 1.89"," 3.40"
"2006-07-31"," 0.35"," 2.06"
"2006-08-31"," 0.54"," 1.49"
"2006-09-30"," 1.17"," 1.61"
"2006-10-31"," 2.82"," 0.79"
"2006-11-30"," 3.36"," 4.00"
"2006-12-31"," 1.85"," 3.73"
"2007-01-31"," 0.99"," 2.79"
"2007-02-28"," 2.04"," 2.99"
"2007-03-31"," 1.53"," 8.28"
"2007-04-30"," 1.81"," 1.30"
"2007-05-31"," 2.62"," 4.73"
"2007-06-30"," 1.58"," 3.62"
"2007-07-31"," 1.26"," 1.22"
"2007-08-31"," 2.26"," 4.95"
"2007-09-30"," 0.32"," 2.89"
"2007-10-31"," 1.77"," 3.02"
"2007-11-30"," 3.66"," 9.13"
"2007-12-31"," 0.97"," 1.86"
"2008-01-31"," 0.63"," 1.29"
"2008-02-29"," 0.11"," 2.99"
"2008-03-31"," 0.08"," 1.84"
"2008-04-30"," 1.63"," 2.75"
"2008-05-31"," 0.78"," 5.62"
"2008-06-30"," 0.19"," 2.28"
"2008-07-31"," 0.09"," 4.50"
"2008-08-31"," 0.16"," 2.37"
"2008-09-30"," 0.00"," 1.92"
"2008-10-31"," 0.00","12.50"
"2008-11-30"," 0.14"," 2.10"
"2008-12-31"," 0.00"," 0.67"
"2009-01-31"," 0.00"," 2.81"
"2009-02-28"," 0.83"," 2.68"
"2009-03-31"," 0.00"," 2.66"
"2009-04-30"," 0.13"," 4.26"
"2009-05-31"," 0.20","11.06"
"2009-06-30"," 0.20"," 8.08"
"2009-07-31"," 0.05"," 2.53"
"2009-08-31"," 0.73"," 5.43"
"2009-09-30"," 1.48"," 6.76"
"2009-10-31"," 1.85"," 2.85"
"2009-11-30"," 0.96"," 3.41"
"2009-12-31"," 1.52"," 5.13"
"2010-01-31"," 0.05"," 3.20"
"2010-02-28"," 0.82"," 1.57"
"2010-03-31"," 1.31"," 5.96"
"2010-04-30"," 1.01"," 3.78"
"2010-05-31"," 1.12"," 2.20"
"2010-06-30"," 0.99"," 4.41"
"2010-07-31"," 1.66"," 4.11"
"2010-08-31"," 0.92"," 2.65"
"2010-09-30"," 0.63"," 3.54"
"2010-10-31"," 0.76"," 2.02"
"2010-11-30"," 3.50","10.10"
"2010-12-31"," 1.42"," 3.65"
"2011-01-31"," 0.10"," 1.94"
"2011-02-28"," 1.24"," 3.08"
"2011-03-31"," 3.74"," 7.34"
"2011-04-30"," 2.60"," 4.72"
"2011-05-31"," 2.80"," 4.32"
"2011-06-30"," 1.26"," 5.97"
"2011-07-31"," 1.27"," 1.23"
"2011-08-31"," 0.06"," 0.13"
"2011-09-30"," 0.00"," 1.47"
"2011-10-31"," 0.16"," 0.78"
"2011-11-30"," 2.04"," 4.03"
"2011-12-31"," 2.65"," 3.58"
"2012-01-31"," 0.31"," 3.25"
"2012-02-29"," 0.99"," 4.27"
"2012-03-31"," 2.21"," 6.37"
"2012-04-30"," 2.36"," 1.79"
"2012-05-31"," 7.27"," 3.21"
"2012-06-30"," 0.68"," 1.87"
"2012-07-31"," 1.13"," 1.53"
"2012-08-31"," 0.46"," 3.57"
"2012-09-30"," 0.71"," 4.93"
"2012-10-31"," 4.38"," 1.85"
"2012-11-30"," 0.32"," 3.43"
"2012-12-31"," 0.73"," 5.88"
"2013-01-31"," 2.50"," 4.48"
"2013-02-28"," 0.49"," 5.65"
"2013-03-31"," 1.56"," 3.83"
"2013-04-30"," 2.11"," 2.55"
"2013-05-31"," 2.59"," 5.52"
"2013-06-30"," 2.57"," 6.98"
"2013-07-31"," 2.81"," 2.38"
"2013-08-31"," 2.76"," 5.26"
"2013-09-30"," 2.79"," 8.29"
"2013-10-31"," 8.15"," 8.78"
"2013-11-30"," 5.88"," 4.97"
"2013-12-31"," 3.86"," 5.22"
"2014-01-31"," 3.18"," 4.41"
"2014-02-28"," 1.21"," 5.89"
"2014-03-31"," 2.67"," 5.18"
"2014-04-30"," 4.42"," 2.83"
"2014-05-31"," 2.19"," 5.75"
"2014-06-30"," 5.34","11.45"
"2014-07-31"," 3.10"," 4.63"
"2014-08-31"," 0.44"," 1.54"
"2014-09-30"," 1.82"," 5.63"
"2014-10-31"," 3.28"," 5.22"
"2014-11-30"," 3.22"," 5.10"
"2014-12-31"," 1.43"," 1.78"
"2015-01-31"," 0.89"," 8.85"
"2015-02-28"," 2.15","17.98"
"2015-03-31"," 1.07","10.81"
"2015-04-30"," 2.05"," 2.86"
"2015-05-31"," 3.18"," 5.08"
"2015-06-30"," 4.91","12.93"
"2015-07-31"," 2.05"," 5.80"
"2015-08-31"," 0.83"," 4.38"
"2015-09-30"," 0.74"," 5.33"
"2015-10-31"," 4.19"," 4.28"
"2015-11-30"," 1.16"," 1.98"
"2015-12-31"," 0.53"," 3.23"
"2016-01-31"," 0.00"," 7.77"
"2016-02-29"," 0.26"," 8.11"
"2016-03-31"," 0.17"," 4.29"
"2016-04-30"," 0.95"," 3.43"
"2016-05-31"," 2.06"," 6.35"
"2016-06-30"," 0.36"," 7.30"
"2016-07-31"," 0.76"," 2.34"
"2016-08-31"," 0.33","10.54"
"2016-09-30"," 1.90","11.35"
"2016-10-31"," 2.43"," 4.67"
"2016-11-30"," 0.13"," 8.47"
"2016-12-31"," 0.53"," 5.76"
"2017-01-31"," 2.51"," 8.01"
"2017-02-28"," 0.33"," 5.43"
"2017-03-31"," 3.88"," 4.97"
"2017-04-30"," 2.55"," 2.72"
"2017-05-31"," 1.77"," 9.74"
"2017-06-30"," 0.66"," 3.78"
"2017-07-31"," 0.43"," 8.28"
"2017-08-31"," 0.16"," 5.64"
"2017-09-30"," 1.01"," 5.76"
"2017-10-31"," 2.77"," 4.96"
"2017-11-30"," 1.59"," 6.54"
"2017-12-31"," 0.66"," 3.30"
"2018-01-31"," 3.57","10.96"
"2018-02-28"," 1.10"," 3.05"
"2018-03-31"," 1.32"," 8.87"
"2018-04-30"," 1.70"," 4.71"
"2018-05-31"," 1.68"," 5.20"
"2018-06-30"," 3.79"," 5.80"
"2018-07-31"," 1.90"," 6.34"
"2018-08-31"," 0.52"," 3.95"
"2018-09-30"," 3.05"," 9.06"
"2018-10-31"," 2.50"," 1.84"
"2018-11-30"," 0.12"," 4.87"
"2018-12-31"," 0.83"," 1.49"
"2019-01-31"," 0.32"," 2.57"
"2019-02-28"," 0.94"," 6.20"
"2019-03-31"," 3.07"," 4.98"
"2019-04-30"," 3.31"," 5.88"
"2019-05-31","14.21"," 8.16"
"2019-06-30"," 4.17"," 5.19"
"2019-07-31"," 2.15"," 4.65"
"2019-08-31"," 0.00"," 4.00"
"2019-09-30"," 5.72"," 8.73"
"2019-10-31"," 1.58"," 3.96"
"2019-11-30"," 0.23"," 8.31"
"2019-12-31"," 0.43"," 6.51"
"2020-01-31"," 0.71"," 8.04"
"2020-02-29"," 3.00","10.38"
"2020-03-31"," 0.08"," 0.68"
"2020-04-30"," 0.50"," 6.77"
"2020-05-31"," 0.32","24.46"
"2020-06-30"," 7.01","38.67"
"2020-07-31"," 4.37"," 5.27"
"2020-08-31"," 2.59","14.01"
"2020-09-30","10.10"," 9.94"
"2020-10-31"," 5.55"," 8.36"
"2020-11-30"," 3.63"," 7.23"
"2020-12-31","10.84"," 8.91"
"2021-01-31"," 5.94","11.91"
"2021-02-28"," 5.11","16.28"
"2021-03-31"," 7.85","17.08"
"2021-04-30"," 9.49"," 4.08"
"2021-05-31"," 1.81"," 4.72"
"2021-06-30","12.20","11.02"
"2021-07-31"," 9.37"," 2.51"
"2021-08-31"," 1.01"," 2.03"
"2021-09-30"," 7.47"," 7.85"
