year,form_type,n_filings,source_query
2015,SC 13E3,33,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,SC 13E3/A,103,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,25,76,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,25/A,1,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,25-NSE,1268,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,25-NSE/A,54,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2015,DEFM14A,219,"https://www.sec.gov/Archives/edgar/full-index/2015/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2015; full calendar year)"
2016,SC 13E3,78,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2016,SC 13E3/A,287,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2016,25,97,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2016,25/A,0,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2016,25-NSE,1594,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2016,25-NSE/A,20,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
