year,company,cik,value_usd_bn,form,accession,per_share_consideration,valuation_basis_CAVEAT
2015,WuXi PharmaTech (Cayman) Inc.,1403132,3.218,SC 13E3,0001193125-15-309399,$5.75 per ordinary share (pure cash),Rule 0-11(b)(1): cash payment x all outstanding shares/options/RSUs subject to the merger (appears to be ~full equity value; no rollover carve-out stated)
2016,Qihoo 360 Technology Co. Ltd.,1508913,7.759,SC 13E3,0001144204-16-074992,$51.33 per ordinary share / $77.00 per ADS (pure cash),"Rule 0-11(b)(1): cash payment x outstanding shares less shares to be cancelled without consideration/treasury/reserved shares, plus options"
2017,Reynolds American Inc. (acquired by British American Tobacco p.l.c.),1275283,53.701,SC 13E3,0001193125-17-168731,Mixed cash + BAT ADSs (per-share cash/stock split not extracted from cover page),"Rule 0-11(b)(1): max shares to be cancelled/exchanged (828,393,985) x $64.825 (avg NYSE high/low price on 2017-05-05). NOT the deal's cash-only component. Fee fully offset against a prior Form F-4 filing fee of the same amount."
2018,"AmTrust Financial Services, Inc.",1365555,1.256,SC 13E3,0001193125-18-111105,$13.50 per share (cash),"Rule 0-11: shares/options EXCLUDING those held by Merger Sub/Parent/treasury/wholly-owned subs -- i.e. PUBLIC FLOAT ONLY, not total company equity value (Karfunkel family/Stone Point retained a large affiliate stake)"
2019,"Oaktree Capital Group, LLC (acquired by Brookfield)",1403528,4.888,SC 13E3,0001193125-19-143190,Stock-for-stock (Oaktree Class A units); no single cash-per-unit price on cover page,"Rule 0-11(b)(2): market value method -- $49.34 (avg high/low price 2019-05-08) x (units outstanding + SellerCo units + OCGH exchangeable units). Total unit-value basis, not a cash consideration figure."
2020,"Tallgrass Energy, LP (Blackstone-led consortium)",1633651,3.501,SC 13E3,0001193125-20-011134,$22.45 per Class A share (cash),Rule 0-11(b)(1): cash price x Class A shares NOT already held by the Prairie/Blackstone acquiror entities -- PUBLIC FLOAT ONLY
2021,"Inovalon Holdings, Inc. (acquired by Nordic Capital-led consortium)",1619954,6.4,SC 13E3,0001193125-21-275755,"$41.00 per share (cash), all classes","Rule 0-11: $41.00 x (Class A + Class B shares + options + RSUs/RS Awards) -- appears to be full equity value, no rollover carve-out stated"
2022,"Continental Resources, Inc. (Harold Hamm family take-private)",732834,4.31,SC 13E3,0001193125-22-267750,$74.28 per share tender offer price (cash),"Rule 0-11(d): tender price x shares NOT beneficially owned by Hamm family/rollover holders (58,021,241 of 357,633,808 total shares, ~16%) -- PUBLIC FLOAT ONLY. Total shares x price would be ~$26.6bn; that figure does NOT appear on this filing."
2023,Focus Financial Partners Inc. (CD&R / Stone Point take-private),1651052,4.627,SC 13E3,0001104659-23-049226,$53.00 per share (cash),Rule 0-11: $53.00 x ~88.69mm shares/units/options 'entitled to receive' merger consideration
2024,"Endeavor Group Holdings, Inc. (Silver Lake take-private)",1766363,7.25,SC 13E3,0001193125-24-193438,Not extracted from Exhibit 107 XBRL (no free-text cover-page narrative parsed for this filing),"Exhibit 107 (Inline XBRL, ffd/2024q2 taxonomy) tag TtlTxValtn"
2025,"Walgreens Boots Alliance, Inc. (Sycamore Partners take-private)",1618921,12.701,SC 13E3,0001193125-25-079623,Not extracted from Exhibit 107 XBRL (no free-text cover-page narrative parsed for this filing),"Exhibit 107 (Inline XBRL, ffd/2024q2 taxonomy) tag TtlTxValtn"
2026,Select Medical Holdings Corporation (WCAS / Ortenzio family take-private),1320414,2.046,SC 13E3,0001104659-26-043531,$16.50 per share (cash for non-rollover; rollover shares exchanged into Parent equity at equal fair value),"Exhibit 107 (Inline XBRL, ffd/2026 taxonomy): $16.50 x ALL 124,011,594 shares INCLUDING 14,335,221 rollover shares at fair-market-value equivalent -- appears to be full equity value, rollover included"
