period,concept,total_usd_bn,n_filers,source
2022Q1,SP500_Buybacks_SPDJI,281.0,500,"S&P Dow Jones Indices press release, referenced as prior quarterly record in the 2025-06-25 Q1 2025 release: https://press.spglobal.com/2025-06-25-S-P-500-Q1-2025-Buybacks-Set-Quarterly-Record-at-293-Billion,-Up-20-6-,-Helping-EPS-Growth-Impact-and-Expenditures-Expected-to-Decline-in-Q2-2025"
2023,SP500_Buybacks_SPDJI,795.2,500,"S&P Dow Jones Indices, full-year 2023 total, cited in 2025-03-19 Q4 2024 release: https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/20250319-sp-500-buybacks.pdf"
2024Q1,SP500_Buybacks_SPDJI,236.8,500,"S&P Dow Jones Indices, cited as YoY comparator in 2025-06-25 Q1 2025 release (Q1 2025 'up 23.9% from Q1 2024')"
2024Q4,SP500_Buybacks_SPDJI,243.2,500,"S&P Dow Jones Indices press release 2025-03-19, 'S&P 500 Q4 2024 Buybacks Increase 7.4%': https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/20250319-sp-500-buybacks.pdf"
2024,SP500_Buybacks_SPDJI,942.5,500,"S&P Dow Jones Indices, full-year 2024 record total (+18.5% YoY), same 2025-03-19 release"
2025Q1,SP500_Buybacks_SPDJI,293.5,500,"S&P Dow Jones Indices press release 2025-06-25, 'S&P 500 Q1 2025 Buybacks Set Quarterly Record at $293 Billion, Up 20.6%': https://press.spglobal.com/2025-06-25-S-P-500-Q1-2025-Buybacks-Set-Quarterly-Record-at-293-Billion,-Up-20-6-,-Helping-EPS-Growth-Impact-and-Expenditures-Expected-to-Decline-in-Q2-2025"
2025Q2,SP500_Buybacks_SPDJI,234.6,500,"S&P Dow Jones Indices, final figure as cited in 2025-12-18 Q3 2025 release (-20.1% QoQ from Q1 2025 record): https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/20251218-sp-500-buyback-q3-2025.pdf"
2025Q3,SP500_Buybacks_SPDJI,249.0,500,"S&P Dow Jones Indices press release 2025-12-18, 'S&P 500 Q3 2025 Buybacks Post Modest 6.2% Gain to $249.0 Billion': https://www.spglobal.com/spdji/en/documents/index-news-and-announcements/20251218-sp-500-buyback-q3-2025.pdf"
TTM_2025Q1,SP500_Buybacks_SPDJI_TTM,999.2,500,"S&P Dow Jones Indices, trailing-12-month total ending March 2025, cited in 2025-12-18 release"
TTM_2025Q3,SP500_Buybacks_SPDJI_TTM,1020.0,500,"S&P Dow Jones Indices, trailing-12-month total ending September 2025, record, +11.1% YoY vs TTM ending Sept 2024 ($918.4bn), cited in 2025-12-18 release"
2025Q4,SP500_Buybacks_SPDJI,,NOT_FOUND,"Not located. Official SPDJI release expected ~March 2026 per historical ~2.5-3 month publication lag; not found via WebSearch (queried 2026-09-13) and direct fetch of spglobal.com (both a compliant urllib request with the mandated non-SEC User-Agent, and the WebFetch tool) returned HTTP 403 (bot-protected) for the press release PDF and the sp-500-buyback.xlsx underlying file."
2026Q1,SP500_Buybacks_SPDJI,,NOT_FOUND,"Not located. Official SPDJI release expected ~June 2026; not found via WebSearch (queried 2026-09-13). Secondary/different-metric data point exists: Birinyi Associates via Bloomberg (2026-05-04, 'US Companies Boost Buybacks to Record Levels') reported $665bn in ANNOUNCED buyback authorizations for S&P 500 companies over Jan-Apr 2026 (a forward-looking announcement metric, not realized quarterly repurchase expenditure, and not a calendar-quarter figure) -- not comparable to the SPDJI realized-expenditure series and not used in any total here."
2026Q2,SP500_Buybacks_SPDJI,,NOT_FOUND,"Not located. Official SPDJI release for Q2 2026 would be expected ~mid-September 2026 given the historical lag (Q3 2025 data released 2025-12-18); today is 2026-09-13, so the release may simply not exist yet. WebSearch found no such release as of this date."
