issuer_normalised,value_usd,n_name_variants,example_name
COLLATERALIZED COMMERCIAL PAPER V,4670522124.97,3,COLLATERALIZED COMMERCIAL PAPER V CO LLC
CHESHAM FIN CHESHAM FIN,4346330409.77,4,CHESHAM FIN LTD / CHESHAM FIN LLC SERIES 1
VICTORY RECEIVABLES,3685095433.29,4,VICTORY RECEIVABLES CORP
IONIC,3485013715.67,3,IONIC FUNDING LLC SERIES IV
GOTHAM,3340122313.64,4,GOTHAM FUNDING CORP
BARCLAYS BANK US COLLATERALIZED CP NOTES,3093760031.6,1,BARCLAYS BANK PLC US COLLATERALIZED CP NOTES SERIES 2010-1
LIBERTY STREET,3047270750.83,2,LIBERTY STREET FUNDING LLC
PARADELLE,3022291504.26,2,PARADELLE FUNDING LLC
BEDFORD ROW,2992215567.36,4,BEDFORD ROW FUNDING CORP
LMA AMERICAS,2190619853.04,4,LMA AMERICAS LLC
WASHINGTON MORGAN,1984122549.03,2,WASHINGTON MORGAN CAPITAL COMPANY LLC
RIDGEFIELD,1962085576.21,4,RIDGEFIELD FUNDING CO LLC
OLD LINE,1857071307.17,3,OLD LINE FUNDING LLC
BRITANNIA,1715768537.21,2,BRITANNIA FUNDING COMPANY LLC
LEXINGTON PARKER,1682731759.35,2,LEXINGTON PARKER CAPITAL COMPANY LLC
HQLA,1678712900.6,2,HQLA Funding LLC
CABOT TRAIL,1636620430.9,2,CABOT TRAIL FUNDING LLC
CHARIOT,1628228906.56,2,CHARIOT FUNDING LLC
BARTON,1624827923.48,4,BARTON CAPITAL S.A.
PODIUM,1603717703.44,2,PODIUM FUNDING TRUST
OVERWATCH BRAVO,1549126045.8,2,OVERWATCH BRAVO FUNDING LLC
BENNINGTON STARK,1542638092.51,3,BENNINGTON STARK CAPITAL COMPANY LLC
STARBIRD,1497348796.75,3,STARBIRD FUNDING CORP
THUNDER BAY,1449426721.85,3,THUNDER BAY FUNDING LLC
AQUITAINE,1416070413.39,2,AQUITAINE FUNDING COMPANY LLC
SHEFFIELD RECEIVABLES,1391601264.09,4,SHEFFIELD RECEIVABLES COMPANY LLC
CONCORD MINUTEMEN SERIES C,1391303141.16,2,CONCORD MINUTEMEN CAPITAL CO LLC SERIES C
VERSAILLES COMMERCIAL PAPER,1389798628.7,2,VERSAILLES COMMERCIAL PAPER LLC
INTREPID,1373980676.88,2,INTREPID FUNDING COMPANY LLC
FALCON ASSET,1303277367.24,2,FALCON ASSET FUNDING LLC
CONCORD MINUTEMEN,1252721270.72,2,Concord Minutemen Capital Co. LLC
CONCORD MINUTEMEN SERIES B,1156269506.35,1,CONCORD MINUTEMEN CAPITAL CO LLC SERIES B
OVERWATCH ALPHA,1154474766.5,2,OVERWATCH ALPHA FUNDING LLC
VERTO I A,1134324620.79,2,VERTO CAPITAL I-A LLC
VERTO I COMPARTMENT C,1122309716.28,3,VERTO CAPITAL I COMPARTMENT C
ATLANTIC ASSET SECURITIZATION,1091425517.7,2,ATLANTIC ASSET SECURITIZATION LLC
ANTALIS,1030878807.53,3,ANTALIS SA
RANGER,980163987.74,4,RANGER FUNDING CO LLC
VERTO I D,955866571.9,1,VERTO CAPITAL I-D LLC
IONIC CLASS A,916626966.73,1,IONIC FUNDING LLC SERIES II CLASS A
CHESHAM,898692389.11,1,Chesham Finance Ltd.
MACKINAC,869161895.42,3,MACKINAC FUNDING COMPANY LLC
HQLA SERIES CHAMPLAIN,838478645.4,1,HQLA FUNDING LLC (SERIES CHAMPLAIN)
ALINGHI,813284943.87,2,ALINGHI FUNDING COMPANY LLC
IONIC CLASS A NOTES,804886545.9,2,IONIC FUNDING LLC SERIES II CLASS A NOTES
GREAT BEAR GREAT BEAR,770676486.3,1,GREAT BEAR FUNDING LLC / GREAT BEAR FUNDING DAC
COLUMBIA,727458773.97,4,COLUMBIA FUNDING COMPANY LLC
MOUNTCLIFF,697708465.0,1,Mountcliff Funding LLC
CHESHAM CHESHAM,694755648.33,3,Chesham Finance Ltd / Chesham Finance LLC - Series 5
LEGACY,694141332.28,2,LEGACY CAPITAL COMPANY LLC
ALBION,673683747.36,3,ALBION CAPITAL CORPORATION S.A.
CONSTELLATION,671324023.54,2,CONSTELLATION FUNDING COMPANY LLC
PARK AVENUE COLLATERALIZED NOTES,663752799.67,3,"PARK AVENUE COLLATERALIZED NOTES CO., LLC"
FAIRWAY,653459228.02,6,FAIRWAY FINANCE CO LLC
ARMADA,640262637.18,1,Armada Funding Co. LLC
VERTO I E,624763229.04,1,VERTO CAPITAL I-E LLC
