date,qhf_nav_usd_bn,qhf_gav_usd_bn,sum_strategy_nav_bn,unencumbered_cash_bn,unenc_pct_nav,cash_collateral_posted_bn,cc_pct_nav,missing_strats
2013-03-31,2042.0,3883.0,2042.0,411.8,20.2,634.0,31.0,
2013-06-30,2085.0,3996.0,2078.0,430.2,20.6,632.0,30.3,FOF
2013-09-30,2171.0,4118.0,2171.0,438.4,20.2,616.0,28.4,
2013-12-31,2388.0,4349.0,2388.0,500.2,20.9,633.0,26.5,
2014-03-31,2463.0,4580.0,2463.0,499.9,20.3,671.0,27.2,
2014-06-30,2612.0,4818.0,2612.0,523.2,20.0,645.0,24.7,
2014-09-30,2591.0,4927.0,2591.0,494.1,19.1,693.0,26.7,
2014-12-31,2658.0,4913.0,2658.0,554.9,20.9,685.0,25.8,
2015-03-31,2828.0,5307.0,2828.0,573.4,20.3,726.0,25.7,
2015-06-30,2847.0,5262.0,2847.0,569.7,20.0,739.0,26.0,
2015-09-30,2736.0,5174.0,2736.0,571.9,20.9,730.0,26.7,
2015-12-31,2714.0,4975.0,2714.0,570.8,21.0,707.0,26.1,
2016-03-31,2646.0,4985.0,2646.0,552.2,20.9,702.0,26.5,
2016-06-30,2654.0,5092.0,2654.0,572.4,21.6,725.0,27.3,
2016-09-30,2729.0,5240.0,2729.0,547.1,20.0,755.0,27.7,
2016-12-31,2733.0,5208.0,2733.0,554.1,20.3,856.0,31.3,
2017-03-31,2816.0,5515.0,2816.0,500.6,17.8,913.0,32.4,
2017-06-30,2897.0,5675.0,2897.0,579.3,20.0,958.0,33.1,
2017-09-30,2987.0,5882.0,2987.0,523.3,17.5,937.0,31.4,
2017-12-31,3046.0,5887.0,3046.0,532.2,17.5,930.0,30.5,
2018-03-31,3105.0,6107.0,3105.0,512.1,16.5,947.0,30.5,
2018-06-30,3153.0,6310.0,3153.0,539.8,17.1,1069.0,33.9,
2018-09-30,3185.0,6434.0,3185.0,539.0,16.9,1041.0,32.7,
2018-12-31,2956.0,6180.0,2956.0,534.0,18.1,1116.0,37.8,
2019-03-31,3117.0,6510.0,3117.0,492.3,15.8,1208.0,38.8,
2019-06-30,3157.0,6718.0,3157.0,493.2,15.6,1304.0,41.3,
2019-09-30,3173.0,6639.0,3173.0,500.5,15.8,1235.0,38.9,
2019-12-31,3221.0,6702.0,3221.0,470.2,14.6,1220.0,37.9,
2020-03-31,2862.0,6239.0,2862.0,505.3,17.7,1208.0,42.2,
2020-06-30,3211.0,6403.0,3211.0,503.2,15.7,1108.0,34.5,
2020-09-30,3398.0,6825.0,3398.0,490.2,14.4,1155.0,34.0,
2020-12-31,3575.0,7105.0,3575.0,500.8,14.0,1144.0,32.0,
2021-03-31,3738.0,7235.0,3738.0,460.4,12.3,1184.0,31.7,
2021-06-30,4051.0,7895.0,4051.0,482.3,11.9,1338.0,33.0,
2021-09-30,4166.0,8316.0,4166.0,515.5,12.4,1409.0,33.8,
2021-12-31,4182.0,8323.0,4182.0,521.8,12.5,1442.0,34.5,
2022-03-31,4136.0,8258.0,4136.0,554.8,13.4,1344.0,32.5,
2022-06-30,3873.0,7920.0,3873.0,610.9,15.8,1211.0,31.3,
2022-09-30,3769.0,7701.0,3769.0,600.5,15.9,1211.0,32.1,
2022-12-31,3778.0,7825.0,3778.0,588.1,15.6,1346.0,35.6,
2023-03-31,3880.0,8025.0,3880.0,538.6,13.9,1416.0,36.5,
2023-06-30,3940.0,8447.0,3940.0,515.0,13.1,1553.0,39.4,
2023-09-30,3964.0,8766.0,3964.0,567.2,14.3,1577.0,39.8,
2023-12-31,3962.0,9209.0,3962.0,500.8,12.6,1711.0,43.2,
2024-03-31,4129.0,9490.0,4129.0,498.4,12.1,1781.0,43.1,
2024-06-30,4126.0,9626.0,4126.0,498.6,12.1,1792.0,43.4,
2024-09-30,4290.0,10423.0,4290.0,501.1,11.7,2094.0,48.8,
2024-12-31,4211.0,10256.0,4211.0,518.3,12.3,2169.0,51.5,
2025-03-31,4318.0,10937.0,4318.0,512.5,11.9,2417.0,56.0,
2025-06-30,4545.0,11809.0,4545.0,586.8,12.9,2590.0,57.0,
2025-09-30,4742.0,12203.0,4742.0,563.5,11.9,2742.0,57.8,
2025-12-31,4835.0,12570.0,4835.0,630.8,13.0,2872.0,59.4,
2026-03-31,4918.0,12626.0,4918.0,702.3,14.3,2921.0,59.4,
