date,FA893064105.Q,FA103164105.Q,FA793164105.Q,FA763164105.Q,FA513164105.Q,FA543164175.Q,FA554090005.Q,FA564090005.Q,FA403164105.Q,FA643164105.Q,FA453164105.Q,FA463164105.Q,FA663164105.Q,FA733164105.Q,FA503164105.Q,FA263164105.Q,FA893064105.Q,FA153064105.Q,FA103064103.Q,FA313064105.Q,FA213064103.Q,FA713064103.Q,FA763064103.Q,FA753064103.Q,FA513064105.Q,FA543064105.Q,FA573064105.Q,FA343064105.Q,FA223064145.Q,FA653064100.Q,FA553064103.Q,FA563064100.Q,FA453064103.Q,FA463064105.Q,FA623064105.Q,FA443064100.Q,FA663064105.Q,FA503064105.Q,FA263064105.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,ND,0,ND,ND,ND
1946:Q4,1139,1018,29,0,0,0,29,0,0,0,0,0,0,0,0,92,1139,ND,0,0,0,0,14,0,-41,267,0,0,1,143,23,0,0,0,ND,0,-104,0,-64
1947:Q4,1399,1093,300,0,0,0,300,0,0,0,0,0,0,0,0,6,1399,ND,0,0,0,0,-34,0,34,150,0,0,2,157,240,0,0,0,ND,0,10,0,-151
1948:Q4,1035,1000,100,0,0,0,100,0,0,0,0,0,0,0,0,-65,1035,ND,0,0,0,0,11,0,87,44,0,0,3,118,80,0,0,0,ND,0,3,0,-144
1949:Q4,1503,1212,300,0,0,0,300,0,0,0,0,0,0,0,0,-9,1503,ND,0,0,0,0,0,0,131,226,0,0,7,204,240,0,0,0,ND,0,186,0,-21
1950:Q4,1361,1288,300,0,0,0,300,0,0,0,0,0,0,0,0,-227,1361,ND,0,0,0,0,24,0,135,317,0,0,9,125,240,0,0,0,ND,0,-140,0,3
1951:Q4,2106,2107,200,0,0,0,200,0,0,0,0,0,0,0,0,-201,2106,1354,0,0,0,0,46,0,139,55,0,0,12,179,160,0,0,0,0,0,41,0,120
1952:Q1,2384,2292,192,0,0,0,192,0,0,0,0,0,0,0,0,-100,2384,1008,0,0,0,0,92,4,352,248,600,0,12,348,140,0,0,0,0,0,-436,0,16
1952:Q2,2604,2656,36,0,0,0,36,0,0,0,0,0,0,0,0,-88,2604,572,0,0,0,0,116,0,372,160,624,0,16,520,-28,0,0,0,0,0,-88,0,340
1952:Q3,2452,1560,472,0,0,0,472,0,0,0,0,0,0,0,0,420,2452,412,0,0,0,0,120,0,-208,88,648,0,16,524,408,0,0,0,0,0,864,0,-420
1952:Q4,2352,2772,-320,0,0,0,-320,0,0,0,0,0,0,0,0,-100,2352,468,0,0,0,0,108,0,208,160,700,0,16,340,-380,0,0,0,0,0,-352,0,1084
1953:Q1,2512,2072,656,0,0,0,656,0,0,0,0,0,0,0,0,-216,2512,696,0,0,0,0,96,0,208,116,716,0,16,468,596,0,0,0,0,0,144,0,-544
1953:Q2,3212,2180,660,0,0,0,660,0,0,0,0,0,0,0,0,372,3212,1180,0,0,0,0,84,0,196,116,744,0,20,456,600,0,0,0,0,0,188,0,-372
1953:Q3,1948,1260,572,0,0,0,572,0,0,0,0,0,0,0,0,116,1948,-88,0,0,0,0,88,4,184,56,788,0,20,328,512,0,0,0,0,0,240,0,-184
1953:Q4,1368,1552,-156,0,0,0,-156,0,0,0,0,0,0,0,0,-28,1368,-304,0,0,0,0,112,0,172,84,864,0,20,204,-216,0,0,0,0,0,-448,0,880
1954:Q1,1876,2948,-512,0,0,0,-512,0,0,0,0,0,0,0,0,-560,1876,-104,0,0,0,0,128,0,168,212,940,0,24,164,-572,0,0,0,0,0,-468,0,1384
1954:Q2,2168,2088,-540,0,0,0,-540,0,0,0,0,0,0,0,0,620,2168,472,0,0,0,0,152,4,164,424,996,0,24,168,-596,0,0,0,0,0,180,0,180
1954:Q3,912,912,-708,0,0,0,-708,0,0,0,0,0,0,0,0,708,912,-496,0,0,0,0,152,4,160,284,1040,0,24,324,-764,0,0,0,0,0,64,0,120
1954:Q4,252,384,-588,0,0,0,-588,0,0,0,0,0,0,0,0,456,252,-1224,0,0,0,0,128,0,160,160,1088,0,24,532,-656,0,0,0,0,0,-208,0,248
1955:Q1,2768,2124,48,0,0,0,48,0,0,0,0,0,0,0,0,596,2768,1328,0,0,0,0,104,0,160,76,1140,0,28,416,-24,0,0,0,0,0,-656,0,196
