date,FC102090005.Q,FU102090005.Q,FU102010005.Q,FU105035005.Q,FU105015205.Q,FU105013765.Q,FU105020015.Q,FU105420005.Q,FU104090005.Q,FU104190005.Q,FR102090005.Q,FR102010005.Q,FR105035005.Q,FR105015205.Q,FR105013765.Q,FR105020015.Q,FR104090005.Q,FR104022005.Q,FR103064103.Q,FR103092105.Q,FR103064203.Q,FR103092305.Q,FR103090005.Q,FR104190005.Q,FR103192305.Q,FR573073005.Q,FR103193005.Q,FV102090005.Q,LM102090005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,199112
1946:Q4,13485,3154,17064,2580,2922,478,11154,-70,-1605,12305,10262,10492,14016,3892,338,-7754,-230,0,0,-213,0,-17,0,0,1,0,0,69,212597
1947:Q4,35826,8366,14720,2390,4919,461,7040,-90,8725,15079,27370,27024,25939,3068,650,-2634,389,0,0,363,0,27,0,43,49,-6,0,90,248423
1948:Q4,22785,7516,12993,2947,4740,371,5051,-116,5477,10954,15154,14684,8767,5157,212,548,538,0,0,500,0,38,0,68,75,-7,0,115,271208
1949:Q4,8315,3563,1177,2362,2632,234,-3852,-199,3902,1516,4552,4183,2124,-510,-35,2604,416,0,0,387,0,28,1,47,49,-3,0,200,279523
1950:Q4,22710,8743,16617,2987,3011,363,10525,-269,16784,24658,13404,13094,13792,6192,537,-7427,466,0,0,434,0,33,-1,156,168,-10,0,563,302233
1951:Q4,13755,-9435,17870,4179,3931,347,9685,-272,8027,35332,22918,22305,15751,2973,326,3255,683,0,0,635,0,48,0,70,78,-8,0,272,315988
1952:Q1,8814,-160,2741,963,1117,142,580,-61,-1836,1065,7832,7827,6165,239,-19,1442,2,0,0,1,0,-1,1,-3,0,-2,0,1142,324802
1952:Q2,-1148,-2157,1139,901,1211,175,-1087,-61,-38,3258,943,941,490,462,26,-37,0,0,0,-1,0,1,0,-2,0,-3,0,66,323654
1952:Q3,922,2863,2364,915,667,210,635,-63,5288,4789,-2000,-1930,-1846,-262,78,100,-1,0,0,0,0,0,-1,69,0,70,0,59,324576
1952:Q4,13133,10422,3166,1068,971,246,948,-67,2004,-5252,2659,1700,2081,-44,40,-377,884,0,0,849,0,35,0,-75,23,-99,0,52,337709
1953:Q1,7868,7205,3380,1210,1125,269,853,-77,-1630,-5455,652,693,258,506,120,-191,0,0,0,0,0,0,0,41,0,41,0,11,345577
1953:Q2,15233,12978,4032,1350,1066,291,1407,-82,623,-8323,2195,2193,1379,962,50,-198,-1,0,0,0,0,0,-1,-3,0,-2,0,60,360810
1953:Q3,10314,7410,3627,1374,1148,293,896,-84,3996,213,2797,2798,1677,951,46,124,1,0,0,1,0,-1,1,2,0,2,0,107,371124
1953:Q4,-15258,-15843,1536,1308,1005,289,-980,-86,48,17427,433,-398,-836,397,9,32,796,0,0,765,0,31,0,-35,21,-57,0,152,355866
1954:Q1,-7761,-9276,1577,1197,834,286,-661,-79,-4276,6577,1340,1299,27,920,133,219,0,0,0,0,0,0,0,-41,0,-40,0,175,348105
1954:Q2,-11753,-13051,1321,1092,781,276,-744,-84,-532,13840,1181,1259,259,923,-4,81,0,0,0,0,0,0,0,78,1,78,0,117,336352
1954:Q3,-17892,-17139,1595,1065,845,267,-488,-94,5544,24278,-815,-782,545,-1561,20,214,-1,0,0,0,0,0,-1,32,-1,34,0,62,318460
1954:Q4,-1882,-2861,2216,1112,766,263,184,-109,4762,9839,964,171,604,-257,14,-190,702,0,0,674,0,28,0,-91,40,-131,0,15,316578
1955:Q1,-1396,-1473,3260,1234,691,261,1209,-135,717,5450,-71,-246,-300,-172,260,-34,0,0,0,0,0,0,0,-175,0,-173,0,148,315182
1955:Q2,-15208,-19708,3937,1334,905,271,1577,-150,3038,26683,4346,3707,2806,948,24,-71,0,0,0,0,0,0,-1,-639,0,-640,0,154,299974
1955:Q3,-4402,-12642,4625,1462,1160,290,1875,-162,7345,24612,8082,7473,5205,2190,78,0,0,0,0,0,0,0,0,-609,0,-610,0,158,295572
1955:Q4,7634,-2994,5488,1593,1398,330,2336,-169,6282,14764,10472,9201,6842,2499,79,-219,942,0,0,905,0,36,1,-329,37,-363,0,156,303206
1956:Q1,-1039,-13428,5564,1826,1277,377,2252,-168,-4047,14945,12278,11863,9665,2021,194,-17,-1,0,0,0,0,0,-1,-416,1,-417,0,111,302167
1956:Q2,15688,13427,5690,1969,1378,414,2099,-170,-79,-7816,2110,2352,488,1872,143,-151,1,0,0,0,0,0,1,243,0,243,0,151,317855
1956:Q3,19513,9919,5142,2055,1514,426,1319,-172,4600,-177,9403,9614,6791,2777,154,-108,0,0,0,-1,0,1,0,211,0,210,0,191,337368
1956:Q4,-12271,-19319,5430,1995,1515,428,1665,-173,4557,29306,6816,5593,3596,1964,96,-63,1160,0,0,1115,0,45,0,-63,22,-84,0,232,325097
1957:Q1,24514,19243,4827,1908,1635,396,1060,-172,-1859,-16275,5309,5561,3217,2245,214,-115,0,0,0,0,0,0,0,252,1,250,0,-38,349611
