date,FU796902505.Q,FU796330081.Q,FU796902605.Q,FU796025005.Q,FU796240101.Q,FU796402101.Q,FU796140005.Q,FU796402101.Q,FU796150175.Q,FU796140005.Q,FU796220001.Q,FU796403005.Q,FU796012095.Q,FU796012095.Q,FU796006385.Q,FU796012095.Q,FU795440005.Q,FU795015085.Q,FU795013005.Q,FU796330081.Q,FU795000995.Q,FU795000995.Q,FU794090005.Q,FU794000005.Q,FU794022005.Q,FU793069175.Q,FU793061105.Q,FU793061705.Q,FU793062005.Q,FU793063005.Q,FU794035005.Q,FU793081005.Q,FU793064105.Q,FU793034005.Q,FU793064205.Q,FU793064705.Q,FU793064505.Q,FU793092405.Q,FU793092105.Q,FU713164003.Q,FU793094605.Q,FU793052005.Q,FU793096005.Q,FU794194005.Q,FU794100005.Q,FU794122005.Q,FU423161705.Q,FU793163005.Q,FU793169175.Q,FU794141005.Q,FU793181005.Q,FU793164105.Q,FU634090005.Q,FU653164205.Q,FU623164703.Q,FU443164500.Q,FU403192405.Q,FU793192105.Q,FU662090003.Q,FU793194605.Q,FU713164005.Q,FU503194205.Q,FU583152005.Q,FU793196005.Q,FU795000005.Q,FV798090185.Q,FV795013865.Q,FV798090085.Q,FU797005045.Q,FR795013865.Q,FR795013665.Q,FR795013265.Q,FR795013765.Q,FR794090005.Q,FR794000005.Q,FR794022005.Q,FR794035005.Q,FR793064105.Q,FR793064205.Q,FR793064705.Q,FR793064505.Q,FR793092105.Q,FR793052005.Q,FR793096005.Q,FR794194005.Q,FR793164105.Q,FR653164205.Q,FR623164703.Q,FR443164500.Q,FR793192105.Q,FR662090003.Q,FR793194605.Q,FR583152005.Q,FR793196005.Q,FR792090095.Q,FC792090095.Q,FL792000095.Q,LM795013865.Q,LM795013665.Q,LM795013265.Q,LM795013765.Q,FL794090005.Q,FL794000005.Q,FL794022005.Q,FL793069175.Q,FL793061105.Q,FL793061705.Q,FL793062005.Q,FL793063005.Q,FL794035005.Q,FL793081005.Q,LM793064105.Q,FL793034005.Q,LM793064205.Q,LM793064705.Q,LM793064505.Q,FL793092405.Q,LM793092105.Q,FL713164003.Q,FL793094605.Q,FL793052005.Q,FL793096005.Q,FL792100005.Q,FL794194005.Q,FL794100005.Q,FL794122005.Q,FL423161705.Q,FL793163005.Q,FL793169175.Q,FL794141005.Q,FL793181005.Q,LM793164105.Q,FL634090005.Q,LM653164205.Q,LM623164703.Q,LM443164500.Q,FL403192405.Q,LM793192105.Q,LM662090003.Q,FL793194605.Q,FL713164005.Q,FL503194205.Q,FL583152005.Q,FL793196005.Q,FL792090095.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,ND,ND,ND,ND,ND,ND,ND,342059,5205,4367,833,5,336854,22023,183503,273,158044,886,6250,18050,49786,5774,5297,0,0,0,0,72,228,177,0,49787,25981,342059,365969,202051,1224,873,131,220,4590,51100,48216,0,1245,0,0,700,762,0,0,177,0,102105,4899,-23910
1946:Q4,ND,298,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,922,922,922,922,0,249,540,298,673,673,3028,947,-12425,210,-15301,160,365,2141,10363,351,303,0,0,0,0,12,26,10,0,5529,-1737,ND,-8675,573,295,62,216,ND,142,29,0,185,0,0,-87,5,0,0,10,0,10272,ND,1370,ND,0,ND,-697,1187,1141,45,1,-149,0,0,0,-149,0,0,0,-8,0,8,ND,108,-132,0,0,0,0,0,0,ND,ND,2681,347878,6641,5628,1007,6,341237,22970,171078,483,142743,1046,6615,20191,60149,5968,5451,0,0,0,0,84,246,187,0,56821,24251,347878,369107,193376,1797,1168,193,436,3580,51218,48353,0,1298,0,0,613,767,0,0,187,0,113881,5255,-21229
1947:Q4,ND,384,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,746,746,746,746,0,256,621,384,490,490,19753,2041,-3193,89,-7955,21,972,3680,13095,594,559,0,0,0,0,17,9,9,0,4980,2236,ND,6948,404,116,131,157,ND,422,300,0,163,0,0,-30,-20,0,0,9,0,10542,ND,889,ND,0,ND,-399,1073,965,108,0,-73,0,0,0,-66,0,0,0,12,-7,-12,ND,88,-48,0,0,28,0,0,0,ND,ND,2140,370429,7970,6680,1283,7,362459,25011,167885,572,134788,1067,7587,23871,73244,6508,5944,0,0,0,0,101,267,196,0,63295,26516,370429,389518,200324,2201,1284,324,593,3176,51708,48741,0,1413,0,0,583,775,0,0,196,0,125924,6185,-19089
1948:Q4,ND,442,ND,4009,ND,ND,ND,ND,ND,ND,ND,ND,1432,1432,1432,1432,0,277,705,442,1155,1155,18849,2517,-1443,71,-8357,982,1041,4820,11271,375,346,0,0,0,0,16,8,5,0,5048,1081,ND,4357,892,279,436,177,ND,235,100,0,148,0,0,21,-39,0,0,5,0,10920,ND,1009,ND,0,ND,146,356,270,86,0,331,0,0,0,-73,0,0,0,17,-7,394,ND,82,-45,0,0,42,0,0,0,ND,ND,1517,391422,8603,7063,1532,8,382819,27528,166442,643,126431,2049,8628,28691,84515,6827,6217,0,0,0,0,117,292,201,0,69518,27989,391422,408994,204681,3093,1563,760,770,4297,52022,48923,0,1516,0,0,604,778,0,0,201,0,138024,6877,-17572
1949:Q4,ND,485,ND,4298,ND,ND,ND,ND,ND,ND,ND,ND,1801,1801,1801,1801,0,279,747,485,1522,1522,15075,-3718,4204,61,-961,46,1545,3513,7820,1037,994,0,0,0,0,16,17,10,0,5273,459,ND,-357,379,-109,307,181,ND,561,300,0,275,0,0,-5,-19,0,0,10,0,11445,ND,1006,ND,0,ND,516,-874,-842,-32,0,1625,0,0,0,1628,0,0,0,12,-3,-12,ND,31,1280,0,0,27,0,0,0,ND,ND,719,408560,8008,6317,1683,8,400552,23810,170646,704,125470,2095,10173,32204,92335,9504,8839,0,0,0,0,133,321,211,0,75820,28437,408560,425413,204324,3472,1454,1067,951,5231,53921,49254,0,3071,0,0,599,786,0,0,211,0,150502,7963,-16853
1950:Q4,ND,528,ND,4751,ND,ND,ND,ND,ND,ND,ND,ND,1393,1393,1393,1393,0,330,835,528,1063,1063,29258,3153,-118,270,-4883,-208,2333,2370,20524,786,710,0,0,0,0,44,18,14,0,6141,-1228,ND,10612,781,406,214,161,ND,446,300,0,211,0,0,7,-86,0,0,14,0,11823,ND,1962,ND,0,ND,-899,597,543,55,-1,349,0,0,0,358,0,0,0,15,-9,-15,ND,118,62,0,0,86,0,0,0,ND,ND,3041,439814,8935,6954,1973,8,430879,26963,170528,974,120587,1887,12506,34574,112859,10663,9907,0,0,0,0,177,354,225,0,82378,27488,439814,453626,214936,4253,1860,1281,1112,7191,54633,49672,0,3344,0,0,606,786,0,0,225,0,163045,9568,-13812
1951:Q4,ND,600,ND,5281,ND,ND,ND,ND,ND,ND,ND,ND,1645,1645,1645,1645,0,405,979,600,1240,1240,34719,3178,5234,471,-468,-62,1619,3674,15135,759,632,0,0,0,0,94,21,12,0,10567,-154,34008,14751,1071,238,386,447,-264,487,200,0,266,0,0,43,-34,0,0,12,0,17499,464,711,-529,0,0,529,1002,945,56,1,112,0,0,0,120,0,0,0,21,-8,-21,71,191,-128,0,0,39,0,0,0,-31,1043,2159,476522,10342,8106,2227,9,466180,30141,175762,1445,120119,1825,14125,38248,127994,11838,10934,0,0,0,0,271,396,237,0,93132,27313,476522,488175,229687,5324,2098,1667,1559,6927,55222,50063,0,3482,0,0,649,791,0,0,237,0,181014,10001,-11653
1952:Q1,ND,158,ND,1453,ND,ND,ND,ND,ND,ND,ND,ND,566,566,566,566,0,78,231,158,488,488,5175,-2,103,245,-1651,-122,474,1157,1293,377,353,0,0,0,0,19,0,5,0,2373,1031,5369,-4,1,-112,-109,222,-405,219,48,0,144,0,0,20,2,0,0,5,0,4957,601,-194,-450,0,232,682,92,92,0,0,23,0,0,0,-141,0,0,0,0,-3,167,56,111,-14,0,0,0,0,0,-47,6,59,175,482279,10512,8238,2265,9,471767,30139,175865,1690,118468,1703,14599,39405,129287,13140,12212,0,0,0,0,290,396,242,0,94825,28511,482279,493757,229683,5325,1986,1558,1781,6522,55538,50222,0,3612,0,0,669,793,0,0,242,0,186313,10376,-11478
1952:Q2,ND,160,ND,1453,ND,ND,ND,ND,ND,ND,ND,ND,465,465,465,465,0,77,233,160,388,388,9515,-986,2127,-163,591,-128,453,1374,5164,448,423,0,0,0,0,10,12,3,0,2632,130,9189,2784,323,99,82,142,849,159,9,0,128,0,0,12,7,0,0,3,0,4937,137,326,-62,0,0,62,5,-4,9,0,154,0,0,0,31,0,0,0,0,-1,124,67,132,-44,0,0,0,0,0,-37,16,92,495,492362,10594,8274,2311,9,481768,29153,177992,1527,119059,1575,15052,40779,134451,13619,12666,0,0,0,0,300,408,245,0,97787,28766,492362,503345,232467,5648,2085,1640,1923,7371,55785,50363,0,3696,0,0,681,800,0,0,245,0,191545,10529,-10983
1952:Q3,ND,162,ND,1453,ND,ND,ND,ND,ND,ND,ND,ND,539,539,539,539,0,55,214,162,484,484,12046,1729,3043,210,881,378,346,1228,4059,629,609,0,0,0,0,6,12,2,0,2366,220,11534,5566,232,93,-28,167,-86,258,118,0,125,0,0,7,6,0,0,2,0,4962,602,512,29,0,0,-29,-7,7,-15,1,-105,0,0,0,-250,0,0,0,0,72,73,-54,-5,16,0,0,0,0,0,-56,-9,-58,509,504624,10642,8320,2312,10,493982,30882,181035,1737,119940,1953,15398,42007,138510,13998,13025,0,0,0,0,306,420,247,0,100497,29060,504624,515098,238033,5880,2178,1612,2090,7285,56054,50476,0,3837,0,0,688,806,0,0,247,0,196724,11122,-10474
