date,FC152090005.Q,FU152090005.Q,FU152010005.Q,FU155035005.Q,FU165015205.Q,FU165013765.Q,FU155111005.Q,FU155420003.Q,FU154090005.Q,FU154190005.Q,FR152090005.Q,FR152010005.Q,FR155035005.Q,FR165015205.Q,FR165013765.Q,FR155111005.Q,FR154090005.Q,FR154022005.Q,FR153064105.Q,FR152090205.Q,FR153094305.Q,FR153064205.Q,FR153064705.Q,FR153064505.Q,FR153040005.Q,FR153050005.Q,FR153030005.Q,FV152090005.Q,LM152090005.Q,FA156012005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,806720,ND
1946:Q4,78605,ND,10134,4922,74,3,5135,0,23688,ND,ND,21255,18517,80,32,2626,29747,0,-7240,37118,0,-132,0,0,0,0,0,ND,885325,165324
1947:Q4,98965,ND,15855,7954,120,-3,7784,0,16403,ND,ND,44244,40353,58,21,3812,30015,0,-3101,33164,0,-48,0,0,0,0,0,ND,984291,174691
1948:Q4,52799,ND,18506,10778,141,-1,7588,0,18221,ND,ND,14365,12200,35,1,2129,9226,0,-1752,11022,0,-45,0,0,0,0,0,ND,1037089,194291
1949:Q4,42409,ND,18543,9884,118,5,8536,0,14830,ND,ND,7842,7688,-19,0,173,8113,0,6439,394,0,1280,0,0,0,0,0,ND,1079498,194338
1950:Q4,92032,ND,24972,12896,205,8,11863,0,21307,ND,ND,22254,18299,98,22,3835,36520,0,21593,14865,0,62,0,0,0,0,0,ND,1171530,214823
1951:Q4,109077,41850,20574,13122,205,6,7241,0,30040,8764,67033,23061,17715,41,15,5290,43972,0,18923,25177,0,-128,0,0,0,0,0,195,1280607,237177
1952:Q1,18346,13402,4732,3119,50,0,1563,0,9327,657,5620,1451,-176,-8,-1,1636,4169,0,2511,1719,0,-14,0,0,0,-47,0,-676,1298954,243408
1952:Q2,22648,8137,4727,3207,52,2,1466,0,7597,4187,14178,7006,7641,-4,-1,-630,7172,0,6029,1224,0,-44,0,0,0,-37,0,333,1321602,246447
1952:Q3,12824,13008,4297,3199,33,3,1062,0,11741,3030,-459,343,-1770,-18,0,2131,-802,0,-611,-151,0,16,0,0,0,-56,0,275,1334426,253057
1952:Q4,3898,12074,5332,3371,45,4,1912,0,11191,4449,-9026,5178,7341,-14,2,-2151,-14204,0,-11069,-3097,0,-13,0,0,0,-25,0,850,1338324,258904
1953:Q1,10379,12694,5991,3413,51,3,2524,0,9020,2317,-2635,2961,2079,8,2,872,-5596,0,-3417,-1915,0,-202,0,0,0,-62,0,320,1348703,262968
1953:Q2,2232,9487,5801,3422,51,4,2324,0,8178,4492,-7508,3225,3429,17,2,-223,-10733,0,-9570,-937,0,-172,0,0,0,-55,0,253,1350935,266799
1953:Q3,14586,12959,5460,3286,53,5,2116,0,10029,2530,1444,5600,6808,18,-1,-1225,-4156,0,-4719,729,0,-102,0,0,0,-63,0,183,1365521,266957
1953:Q4,20786,12520,5128,3219,48,5,1856,0,10787,3395,8153,-4746,-4632,6,-1,-119,12899,0,13799,-1155,0,307,0,0,0,-52,0,113,1386308,267217
1954:Q1,22781,10438,4791,3305,40,6,1440,0,5519,-128,12062,92,-1739,25,-1,1807,11970,0,11067,697,0,266,0,0,0,-60,0,281,1409088,269931
1954:Q2,21700,7054,5069,3569,39,6,1455,0,5801,3816,14324,-1975,760,25,-1,-2759,16299,0,15062,997,0,330,0,0,0,-90,0,322,1430789,269820
1954:Q3,36247,11109,5321,3869,42,5,1405,0,9239,3451,24775,4144,5702,-30,1,-1529,20631,0,18149,2107,0,460,0,0,0,-86,0,363,1467035,271778
1954:Q4,17186,9987,6032,4145,40,5,1842,0,9284,5329,6794,4002,4069,-1,2,-68,2792,0,1383,981,0,487,0,0,0,-59,0,405,1484221,276713
1955:Q1,21754,12772,6763,4469,39,5,2250,0,9232,3223,8549,173,399,-24,2,-204,8376,0,6018,2149,0,273,0,0,0,-63,0,433,1505975,282103
1955:Q2,35119,5522,7297,4562,49,5,2681,0,5336,7111,29186,5490,5879,2,3,-394,23696,0,21030,2113,0,540,0,0,0,12,0,411,1541094,288631
1955:Q3,39325,14014,7500,4470,57,6,2967,0,11875,5361,24927,7083,6791,30,4,258,17844,0,14158,3817,0,-98,0,0,0,-32,0,384,1580419,295107
1955:Q4,20399,11923,6850,4219,63,7,2561,0,10712,5639,8114,3403,4099,36,6,-738,4711,0,1328,3056,0,442,0,0,0,-116,0,362,1600818,299354
1956:Q1,43101,14150,5717,4078,56,6,1577,0,10191,1758,28354,6159,5623,16,5,515,22195,0,16260,5661,0,402,0,0,0,-128,0,597,1643919,303616
1956:Q2,10298,7707,5655,4092,56,7,1500,0,7313,5261,2083,5179,4886,15,6,272,-3096,0,-8570,5736,0,23,0,0,0,-284,0,508,1654217,308551
1956:Q3,18498,13876,5436,3995,59,8,1374,0,11827,3387,4202,5970,3785,37,4,2144,-1768,0,-4988,3925,0,-430,0,0,0,-276,0,420,1672715,313182
1956:Q4,38022,12588,5589,3904,57,9,1619,0,11766,4767,25104,2915,923,18,2,1972,22189,0,20206,1769,0,426,0,0,0,-212,0,330,1710737,319894
1957:Q1,13162,15993,6065,3876,51,12,2126,0,11089,1161,-5441,4914,3947,47,2,918,-10355,0,-13386,3491,0,-171,0,0,0,-288,0,2610,1723900,323789
1957:Q2,37197,9309,5729,3793,50,12,1874,0,8647,5067,25501,5841,3969,-1,1,1872,19660,0,16287,3145,0,357,0,0,0,-130,0,2387,1761096,328145
1957:Q3,-1726,15322,5432,3745,55,12,1620,0,13033,3143,-19212,3323,3689,24,1,-391,-22535,0,-24997,3711,0,-879,0,0,0,-370,0,2164,1759370,332482
1957:Q4,16725,12692,5174,3652,50,11,1461,0,10623,3105,2097,-775,-770,48,2,-55,2872,0,1968,1709,0,-474,0,0,0,-331,0,1936,1776095,331974
1958:Q1,33390,15769,3727,3199,58,14,456,0,11177,-865,17081,-3160,-6446,-16,2,3300,20241,0,14711,5316,0,424,0,0,0,-210,0,540,1809485,333104
1958:Q2,27309,5582,3267,3115,51,14,87,0,5885,3570,21120,2433,2807,12,4,-390,18687,0,14886,3295,0,680,0,0,0,-173,0,607,1836793,336028
1958:Q3,54201,14936,3707,3364,50,15,278,0,14805,3576,38591,6680,6549,0,4,127,31911,0,29064,2172,0,842,0,0,0,-167,0,674,1890994,343668
1958:Q4,30206,11718,4443,3811,58,17,557,0,13065,5790,17749,5440,5746,0,3,-309,12309,0,10801,521,0,1174,0,0,0,-187,0,739,1921200,348811
1959:Q1,20565,14662,6105,4389,54,16,1646,0,11081,2524,6169,-2195,-4530,24,4,2307,8364,0,6767,1505,0,462,0,0,0,-370,0,-266,1941765,353222
1959:Q2,27769,7982,6496,4550,58,17,1871,0,8549,7063,20348,5881,5899,15,4,-37,14467,0,12288,1942,0,540,0,0,0,-303,0,-561,1969535,360377
1959:Q3,13073,13982,6509,4451,61,17,1980,0,13743,6270,-210,4288,5020,12,4,-748,-4498,0,-4739,1329,0,-581,0,0,0,-507,0,-699,1982607,362062
1959:Q4,34932,11080,5782,4310,59,18,1395,0,12106,6808,24587,2841,3636,4,2,-801,21746,0,20242,1129,0,736,0,0,0,-361,0,-735,2017539,366634
1960:Q1,8583,17248,5854,4539,59,17,1398,-159,12317,923,-9549,8498,8444,-10,1,63,-18047,0,-19685,3097,0,-817,0,0,0,-642,0,884,2026122,371359
1960:Q2,18237,7523,5523,4060,63,19,1544,-163,8859,6859,9778,719,598,10,0,111,9059,0,7037,1978,0,452,0,0,0,-408,0,936,2044359,375715
1960:Q3,-4961,13097,5103,3866,55,19,1331,-168,12576,4582,-19039,2534,2767,-1,0,-232,-21573,0,-23261,3101,0,-725,0,0,0,-688,0,981,2039398,377847
1960:Q4,52859,10162,4685,3816,46,19,978,-174,10960,5483,41660,-2048,-2045,-12,-1,10,43708,0,39924,2810,0,1249,0,0,0,-274,0,1037,2092257,379358
1961:Q1,51612,11827,3988,3741,46,20,364,-183,8600,761,38898,-5713,-5350,3,3,-370,44611,0,39131,3739,0,1996,0,0,0,-256,0,887,2143869,383653
1961:Q2,21722,8872,4186,3686,60,24,604,-188,10887,6201,11934,7750,7284,-6,-1,473,4184,0,685,3904,0,275,0,0,0,-680,0,916,2165591,389432
1961:Q3,37063,13675,4638,3906,66,26,833,-193,13312,4275,22422,6588,6154,-10,-1,445,15834,0,10878,4977,0,593,0,0,0,-613,0,966,2202654,396030
1961:Q4,56146,12532,5195,4029,85,30,1248,-197,14463,7126,42947,4670,5329,-15,-3,-641,38277,0,32883,4554,0,1314,0,0,0,-474,0,667,2258800,404186
1962:Q1,13340,15617,5578,4196,71,33,1476,-198,11366,1327,-1048,4014,4195,-7,-1,-173,-5062,0,-8638,4705,0,-216,0,0,0,-913,0,-1229,2272139,409933
1962:Q2,-95355,8983,5944,4323,75,35,1712,-201,10138,7099,-103160,969,929,-6,-3,49,-104129,0,-101296,3892,0,-5008,0,0,0,-1717,0,-1178,2176784,415826
1962:Q3,39025,13967,5896,4263,72,34,1732,-205,14286,6215,25734,1074,646,-3,-1,431,24660,0,20018,4649,0,483,0,0,0,-490,0,-676,2215809,419178
1962:Q4,105596,13562,6125,4156,70,35,2073,-209,14932,7495,93065,3544,4528,-16,-3,-966,89521,0,84529,3439,0,1903,0,0,0,-350,0,-1031,2321405,424193
1963:Q1,35273,15368,6294,4267,70,40,2130,-213,11984,2910,29207,3365,3556,-6,-5,-180,25842,0,23847,1568,0,1043,0,0,0,-616,0,-9302,2356677,429107
1963:Q2,31732,9964,6808,4603,65,39,2319,-218,12673,9517,21089,-2826,-3177,-2,0,353,23915,0,23152,463,0,1009,0,0,0,-709,0,679,2388409,433739
1963:Q3,41895,15172,6850,4599,72,40,2362,-223,15839,7517,26293,6171,5854,4,0,313,20122,0,21192,-723,0,441,0,0,0,-788,0,430,2430304,440601
1963:Q4,-5157,17132,7134,4787,79,41,2456,-229,19009,9011,-22618,915,529,2,2,382,-23533,0,-25467,2313,0,446,0,0,0,-825,0,329,2425147,449437
1964:Q1,45884,17441,7696,4988,87,41,2816,-236,13709,3964,27516,-3221,-3336,-5,2,118,30737,0,29543,389,0,1588,0,0,0,-784,0,927,2471032,460392
1964:Q2,45499,14451,7582,4700,86,41,2995,-240,16466,9597,30265,8477,8775,0,0,-298,21788,0,16570,5765,0,408,0,0,0,-955,0,783,2516530,473838
1964:Q3,45549,21279,7778,4603,92,43,3283,-243,20313,6812,23463,1047,1462,-4,-1,-410,22416,0,18403,3909,0,1111,0,0,0,-1006,0,807,2562080,481587
1964:Q4,44717,19079,7179,4626,95,44,2660,-246,20891,8991,28466,7438,8059,-7,-4,-610,21028,0,15155,7430,0,-423,0,0,0,-1135,0,-2828,2606796,488675
1965:Q1,44172,21356,8795,4966,102,49,3923,-245,16056,3495,21621,2062,2149,-6,-8,-74,19559,0,15482,4456,0,769,0,0,0,-1148,0,1195,2650968,496020
1965:Q2,-2701,14313,8668,5086,95,48,3686,-247,15250,9605,-17965,-416,393,-9,-3,-798,-17549,0,-20374,4992,0,-707,0,0,0,-1460,0,951,2648267,504149
1965:Q3,77829,25691,8996,5132,107,50,3956,-249,23611,6916,51430,-407,811,8,-2,-1224,51837,0,47752,2800,0,2020,0,0,0,-735,0,708,2726096,519863
1965:Q4,80050,20751,9457,5199,102,48,4361,-253,20694,9400,58837,8682,10051,-15,6,-1360,50155,0,38418,11131,0,1808,0,0,0,-1202,0,462,2806146,531956
1966:Q1,7714,27287,10167,5265,100,52,5009,-259,19958,2838,-21326,-5541,-5472,9,-1,-77,-15785,0,-16745,2673,0,-86,0,0,0,-1627,0,1753,2813860,541375
1966:Q2,31732,15774,8972,4936,104,52,4143,-263,16498,9696,14529,26263,25001,31,1,1230,-11734,0,-22751,14146,0,-1353,0,0,0,-1776,0,1429,2845592,547242
1966:Q3,-29062,27150,9016,4664,96,54,4467,-265,22025,3891,-57319,-780,-2110,39,1,1289,-56539,0,-55477,4422,0,-3386,0,0,0,-2098,0,1107,2816530,558165
1966:Q4,88877,21497,8240,4113,101,58,4234,-266,19728,6471,66588,17663,16252,58,-1,1354,48925,0,38859,9036,0,2059,0,0,0,-1029,0,792,2905407,569061
1967:Q1,106575,28591,7491,3893,110,56,3693,-261,21016,-84,76539,62,492,15,1,-446,76477,0,70110,2912,0,3834,0,0,0,-379,0,1445,3011983,579322
1967:Q2,41023,18413,8748,4529,116,59,4307,-263,16999,7334,21554,6105,4916,11,0,1178,15449,0,9604,6333,0,834,0,0,0,-1322,0,1056,3053005,586696
1967:Q3,86767,30050,8806,4836,105,59,4072,-266,27305,6061,55861,9830,6882,23,4,2921,46031,0,39457,5166,0,2404,0,0,0,-997,0,856,3139772,597752
1967:Q4,67386,15256,9068,5234,113,60,3931,-270,27842,21654,51392,17290,14504,29,7,2749,34102,0,25060,9635,0,1122,0,0,0,-1715,0,738,3207158,607280
1968:Q1,23838,40265,9456,4750,105,56,4831,-286,22411,-8398,-19556,20758,18782,13,10,1953,-40314,0,-45389,10738,0,-3281,0,0,0,-2382,0,3129,3230996,623954
1968:Q2,137307,18118,9652,4786,88,55,5004,-281,20952,12486,116691,15532,13583,50,15,1884,101159,0,88353,8432,0,4958,0,0,0,-584,0,2498,3368303,640688
1968:Q3,60487,26097,10377,4797,97,58,5694,-269,23318,7598,31748,11185,8560,44,17,2564,20563,0,13842,6606,0,1778,0,0,0,-1663,0,2642,3428790,649389
1968:Q4,169711,19552,10297,5042,107,60,5338,-250,22617,13362,147998,38028,35084,55,19,2869,109970,0,94403,16499,0,896,0,0,0,-1828,0,2161,3598501,661666
1969:Q1,21107,31981,10792,5502,135,48,5316,-209,21913,724,-14094,21426,19475,25,22,1904,-35520,0,-41437,10403,0,-1864,0,0,0,-2622,0,3220,3619608,669756
1969:Q2,5264,13302,10423,5375,139,51,5048,-190,14290,11411,-11099,15440,12924,33,22,2461,-26539,0,-31333,10249,0,-2977,0,0,0,-2478,0,3061,3624872,684950
1969:Q3,23603,30642,10078,5357,140,52,4707,-178,26412,5848,-9115,8516,6779,61,22,1654,-17631,0,-18194,4225,0,-973,0,0,0,-2689,0,2076,3648475,707480
1969:Q4,14852,25389,9226,4782,135,53,4431,-175,27232,11069,-11904,21091,18875,61,24,2131,-32995,0,-40341,10337,0,-803,0,0,0,-2188,0,1367,3663327,721137
1970:Q1,28733,36729,8888,5004,142,54,3872,-184,24266,-3575,-14560,552,-134,58,22,606,-15112,0,-24505,6175,0,324,0,0,0,2895,0,6564,3692060,737168
1970:Q2,-64004,24536,8768,4813,139,50,3964,-198,22326,6558,-92343,29511,28083,51,24,1352,-121854,0,-129203,19349,0,-9094,0,0,0,-2907,0,3803,3628056,754520
1970:Q3,127452,42066,8876,4979,141,50,3924,-218,40128,6938,81434,-3034,-5626,33,23,2536,84468,0,80865,-2916,0,4202,0,0,0,2317,0,3952,3755508,774022
1970:Q4,121240,29299,8163,5747,112,45,2503,-244,30137,9001,88356,19552,13664,73,26,5789,68804,0,55361,9456,0,2431,0,0,0,1556,0,3585,3876748,782186
1971:Q1,165295,45343,10251,5827,127,44,4539,-286,37844,2752,114541,25834,20950,98,30,4756,88707,0,62280,18891,0,5479,0,0,0,2057,0,5411,4042043,805328
1971:Q2,74182,33793,11376,6754,142,48,4741,-309,36067,13650,34416,22211,19813,52,23,2322,12205,0,-3855,15769,0,266,0,0,0,25,0,5973,4116225,826350
1971:Q3,60727,37703,12077,7257,149,50,4945,-324,38370,12744,17971,17402,18483,-1,20,-1100,569,0,-13917,14276,0,-405,0,0,0,615,0,5053,4176952,838808
1971:Q4,119063,29526,13197,7653,180,58,5637,-331,32614,16285,85096,13617,15848,-38,8,-2201,71479,0,51506,16125,0,2835,0,0,0,1013,0,4441,4296015,853832
1972:Q1,160892,50198,14487,8516,354,57,5879,-319,42957,7246,103933,38207,34999,37,15,3155,65726,0,41151,20881,0,2152,0,0,0,1542,0,6761,4456907,866754
1972:Q2,64458,29555,15040,8733,382,62,6181,-318,34196,19681,29794,15044,13155,-3,15,1876,14750,0,-2330,17459,0,-320,0,0,0,-58,0,5109,4521365,880815
1972:Q3,126525,48262,15829,9119,394,63,6570,-317,47884,15451,72472,32793,30906,-31,16,1902,39679,0,19241,20447,0,-250,0,0,0,241,0,5791,4647890,905843
1972:Q4,244567,40916,17619,9981,427,61,7468,-318,42418,19121,199262,46702,48160,-65,26,-1419,152560,0,119378,28388,0,3205,0,0,0,1589,0,4389,4892457,949861
1973:Q1,27729,53498,20060,10598,479,69,9237,-323,44463,11025,-18291,24074,21442,-36,26,2642,-42365,0,-68115,33041,0,-5403,0,0,0,-1889,0,-7478,4920186,968678
1973:Q2,38356,40562,18911,10196,474,62,8506,-327,40559,18908,7425,41345,36944,62,53,4286,-33920,0,-65850,38552,0,-4312,0,0,0,-2310,0,-9631,4958542,995679
1973:Q3,183443,51452,17623,9733,436,53,7734,-333,52922,19093,141453,54145,50852,84,85,3124,87308,0,40565,41384,0,3820,0,0,0,1539,0,-9462,5141985,1018430
1973:Q4,-39322,43908,15727,9036,410,47,6574,-340,44594,16413,-74780,35897,33312,50,114,2421,-110677,0,-131925,29461,0,-4572,0,0,0,-3641,0,-8450,5102663,1050700
1974:Q1,33073,51363,14035,8124,559,70,5631,-349,41577,4249,-20758,-13170,-18370,117,102,4981,-7588,0,-31418,25356,0,-1842,0,0,0,316,0,2468,5135735,1064035
1974:Q2,-19641,21118,14013,7716,537,66,6051,-357,27896,20791,-44269,3551,-8503,316,101,11637,-47820,0,-69361,27990,0,-3534,0,0,0,-2915,0,3510,5116094,1083985
1974:Q3,-40353,32419,14684,7908,554,65,6521,-364,36154,18419,-74606,24804,6013,567,95,18129,-99410,0,-135525,49853,0,-7465,0,0,0,-6273,0,1834,5075741,1114191
1974:Q4,138073,41322,10659,7291,519,57,3162,-370,44036,13373,93485,51367,34999,749,92,15527,42118,0,172,37558,0,2360,0,0,0,2027,0,3266,5213814,1140869
1975:Q1,253904,65129,11660,7896,421,80,3640,-377,52673,-796,200465,65950,57266,542,73,8068,134515,0,90317,32302,0,5131,0,0,0,6765,0,-11690,5467717,1160434
1975:Q2,232609,54887,13529,9214,405,76,4211,-377,58088,16730,171963,59824,49955,350,59,9460,112139,0,66880,34897,0,4796,0,0,0,5566,0,5759,5700326,1228887
1975:Q3,-2246,58270,16175,10178,410,76,5885,-374,62467,20372,-63617,-3914,-9869,88,46,5821,-59703,0,-74347,21212,0,-4457,0,0,0,-2111,0,3101,5698081,1233647
1975:Q4,163954,58546,17440,10455,422,79,6850,-366,64867,23761,103611,39944,31415,107,32,8390,63667,0,35939,23059,0,2137,0,0,0,2532,0,1797,5862035,1264165
1976:Q1,200638,59762,18975,10887,447,89,7906,-354,49565,8778,146092,29194,22841,215,25,6113,116898,0,82253,25684,0,4641,0,0,0,4319,0,-5216,6062673,1293610
1976:Q2,177701,54493,19069,11049,465,92,7804,-341,62176,26752,128650,65926,60914,111,77,4824,62724,0,14749,47287,0,720,0,0,0,-31,0,-5442,6240374,1311899
1976:Q3,116611,51782,19003,10660,498,94,8080,-329,57939,25160,70712,31806,26064,166,59,5517,38906,0,8330,31170,0,-558,0,0,0,-36,0,-5883,6356984,1342259
1976:Q4,163988,63102,22211,13199,539,98,8692,-317,69025,28134,110587,49137,40265,217,65,8589,61450,0,20571,39762,0,788,0,0,0,328,0,-9701,6520972,1372140
1977:Q1,115251,66946,23980,14290,477,122,9392,-301,60015,17049,47759,62612,55043,135,25,7408,-14853,0,-51774,42106,0,-2679,0,0,0,-2505,0,546,6636223,1400016
1977:Q2,178709,35275,27244,17163,492,123,9762,-296,46764,38733,142978,85503,81123,117,48,4214,57475,0,17849,37345,0,2214,0,0,0,67,0,456,6814932,1437330
1977:Q3,140941,58333,28062,17585,499,119,10156,-297,68455,38184,82396,68006,59953,171,67,7814,14390,0,-27459,45136,0,-1022,0,0,0,-2265,0,212,6955872,1479197
1977:Q4,152104,52680,28591,17454,532,114,10795,-304,62023,37934,99144,79096,68742,219,81,10054,20048,0,-27962,48447,0,-10,0,0,0,-427,0,280,7107976,1528880
1978:Q1,178522,75561,27314,17922,511,185,9013,-317,71804,23557,100417,67498,57165,258,38,10037,32919,0,-29553,65173,0,-1218,0,0,0,-1483,0,2544,7286499,1566088
1978:Q2,246407,40688,32071,19431,546,178,12248,-332,58976,50359,204058,97739,86430,320,59,10930,106319,0,36331,63943,0,2833,0,0,0,3212,0,1661,7532905,1615146
1978:Q3,246074,57724,30582,19063,488,162,11214,-345,74711,47569,187195,85120,72671,402,108,11939,102075,0,38721,57338,0,1967,0,0,0,4049,0,1155,7778979,1656310
1978:Q4,173998,52728,31072,19487,448,151,11342,-356,65824,44168,118671,87904,74038,459,148,13259,30767,0,-25649,60790,0,-2619,0,0,0,-1755,0,2599,7952977,1698742
1979:Q1,321433,71807,29436,18358,518,203,10726,-369,69484,27113,248414,124161,108367,423,113,15258,124253,0,38994,76824,0,2244,0,0,0,6191,0,1212,8274409,1751557
1979:Q2,276256,48542,27532,18098,437,193,9182,-378,68638,47628,224558,127756,110348,468,144,16796,96802,0,17346,77840,0,903,0,0,0,713,0,3156,8550666,1783199
1979:Q3,278234,49991,28334,18138,423,192,9969,-388,72064,50407,226431,99211,86501,454,174,12081,127220,0,45831,75717,0,2305,0,0,0,3367,0,1812,8828900,1836048
1979:Q4,263451,61707,25823,17200,361,197,8463,-398,80372,44488,196972,90465,71762,529,171,18003,106507,0,39200,68017,0,489,0,0,0,-1200,0,4772,9092351,1884378
1980:Q1,211408,75922,23176,15214,497,192,7684,-411,72178,19432,132550,127670,101353,827,210,25280,4880,0,-48894,63917,0,-3483,0,0,0,-6659,0,2936,9303759,1948375
1980:Q2,343799,60742,11771,10238,353,190,1410,-420,67220,18249,281003,98433,76576,872,179,20806,182570,0,96832,73740,0,4237,0,0,0,7761,0,2054,9647558,1978594
1980:Q3,389283,81559,14786,11177,344,194,3498,-427,102772,35999,314171,130684,113574,796,174,16140,183487,0,94744,77633,0,4571,0,0,0,6538,0,-6447,10036841,2047035
1980:Q4,316627,87310,19177,13976,313,197,5122,-431,110583,42450,237184,61898,45718,623,203,15353,175286,0,94875,74019,0,2527,0,0,0,3864,1,-7867,10353467,2125789
1981:Q1,201372,97610,19919,13201,377,204,6578,-441,86936,9245,105200,43192,31983,716,157,10336,62008,0,12382,51992,0,-603,0,0,0,-1763,0,-1438,10554840,2177067
1981:Q2,286364,68220,17365,12660,364,204,4578,-441,88255,37400,213674,183270,165645,737,231,16657,30404,0,-7981,42065,0,-305,0,0,0,-3375,0,4470,10841204,2215467
1981:Q3,104973,111654,17285,10983,412,228,6102,-440,125357,30988,-12945,108523,95094,468,154,12807,-121468,0,-129326,23074,0,-5341,0,0,0,-9875,0,6264,10946177,2300120
1981:Q4,309147,128099,10959,9035,423,259,1682,-440,143871,26731,173983,63363,51528,438,227,11170,110620,0,68505,33326,0,2337,0,0,0,6452,0,7065,11255324,2337014
1982:Q1,151844,123821,12615,8711,339,143,3892,-470,114296,3090,27744,100637,91329,406,183,8718,-72893,0,-114392,41765,0,-3259,0,0,0,2993,0,279,11407168,2372184
1982:Q2,137153,91261,12498,8527,345,188,3906,-468,102975,24212,41640,31739,22953,494,146,8146,9901,0,-23771,31380,0,51,0,0,0,2240,1,4252,11544322,2409803
1982:Q3,220525,127658,12786,8654,392,237,3969,-466,137994,23122,82019,8536,4621,169,82,3664,73483,0,45707,11700,0,4396,0,0,0,11679,0,10848,11764846,2460346
1982:Q4,313925,81813,16952,10320,420,273,6402,-463,101853,36992,223329,34051,30983,20,100,2948,189278,0,166831,14921,0,7795,0,0,0,-269,0,8783,12078772,2496537
