date,FU564090005.Q,FU564022005.Q,FU563061103.Q,FU563062003.Q,FU563063003.Q,FU563064100.Q,FU563034003.Q,FU563093003.Q,FU564090005.Q,FU564091600.Q,FU564092603.Q,FU564091703.Q,FU564091403.Q,FU564091303.Q,FU564091203.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1947:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1948:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1949:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1950:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1951:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1952:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1953:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1954:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1955:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1956:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1957:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1958:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
