ticker,cik10,status,missing_fields,pretax_tag,tax_tag,pretax_tag_2015,pretax_tag_2025,tax_tag_2015,tax_tag_2025,pretax_2015,tax_2015,pretax_2025,tax_2025,pretax_end_2015,pretax_end_2025,tax_end_2015,tax_end_2025,has_domestic,has_foreign,dom_for_match_2015,dom_for_match_2025,dom_plus_for_2015,dom_plus_for_2025,dom_for_vs_consol_2015,dom_for_vs_consol_2025,n_pretax_tags,consol_candidates,pretax_frame_2015,pretax_frame_2025
MMM,0000066740,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,6823000000.0,1982000000.0,4213000000.0,1003000000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,1,1,1,1,6823000000.0,4213000000.0,0.0,0.0,4,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
AOS,0000091142,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,402500000.0,119600000.0,715100000.0,168900000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,1,1,1,1,402500000.0,715100000.0,0.0,0.0,4,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
ABT,0000001800,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,3183000000.0,577000000.0,8466000000.0,1942000000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,1,1,1,1,3183000000.0,8466000000.0,0.0,0.0,6,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax|DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinor,,CY2025
ABBV,0001551152,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,6645000000.0,1501000000.0,6597000000.0,2364000000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,1,1,1,1,6645000000.0,6597000000.0,0.0,0.0,4,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
ACN,0001467373,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,4410530000.0,1136741000.0,10270393000.0,2437993000.0,2015-08-31,2025-08-31,2015-08-31,2025-08-31,0,0,,,,,,,2,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
ADBE,0000796343,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,873781000.0,244230000.0,8734000000.0,1604000000.0,2015-11-27,2025-11-28,2015-11-27,2025-11-28,1,1,1,1,873781000.0,8734000000.0,0.0,0.0,4,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,CY2015,CY2025
AMD,0000002488,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,-646000000.0,14000000.0,4166000000.0,-103000000.0,2015-12-26,2025-12-27,2015-12-26,2025-12-27,1,1,1,1,-646000000.0,4166000000.0,0.0,0.0,4,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
AES,0000874761,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,513000000.0,465000000.0,75000000.0,-181000000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,1,1,0,1,1122000000.0,75000000.0,609000000.0,0.0,8,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax|DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax|DiscontinuedOperationIncomeLossFromDiscontinuedOperationDuringPhaseOutPeriodBeforeIncomeTax|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtra,CY2015,CY2025
AFL,0000004977,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,3862000000.0,1329000000.0,4533000000.0,887000000.0,2015-12-31,2025-12-31,2015-12-31,2025-12-31,0,0,,,,,,,2,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,,CY2025
A,0001090872,ok,,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefit,767000000.0,42000000.0,1435000000.0,132000000.0,2015-10-31,2025-10-31,2015-10-31,2025-10-31,1,1,0,1,480000000.0,1435000000.0,-287000000.0,0.0,6,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax|DiscontinuedOperationIncomeLossFromDiscontinuedOperationBeforeIncomeTax|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinor,,CY2025
