period,sector,role,series_code,quarters_n,sum_flow_bn,start_level_bn,end_level_bn,delta_level_bn,sum_reval_bn,rank_buyer,net_seller
2015-19,All sectors,total,FU893064105.Q,20,-396.339,37131.603,53325.518,16193.915,16590.254,,
2015-19,Nonfinancial corporate business,issuer,FU103164105.Q,20,-2243.959,25317.731,35066.413,9748.682,11992.641,,
2015-19,Domestic financial sectors,issuer,FU793164105.Q,20,1167.492,6337.905,10179.294,3841.389,2673.897,,
2015-19,U.S.-chartered depository institutions,issuer_detail,FU763164105.Q,20,0.798,67.517,125.869,58.352,57.554,,
2015-19,Property-casualty insurance companies,issuer_detail,FU513164105.Q,20,-66.559,638.056,896.564,258.508,325.067,,
2015-19,"Life insurance companies, general accounts",issuer_detail,FU543164175.Q,20,-63.288,210.584,211.664,1.08,64.368,,
2015-19,Closed-end funds,issuer_detail,FU554090005.Q,20,11.117,291.613,278.674,-12.939,-24.056,,
2015-19,Exchange-traded funds,issuer_detail,FU564090005.Q,20,1619.603,1974.551,4396.207,2421.656,802.053,,
2015-19,Government-sponsored enterprises,issuer_detail,FU403164105.Q,20,4.021,102.154,116.91,14.756,10.735,,
2015-19,Mortgage real estate investment trusts,issuer_detail,FU643164105.Q,20,5.448,76.383,90.094,13.711,8.263,,
2015-19,Business development companies,issuer_detail,FU453164105.Q,20,27.982,48.607,64.553,15.946,-12.036,,
2015-19,Interval funds and tender offer funds,issuer_detail,FU463164105.Q,20,0.0,0.0,0.0,0.0,0.0,,
2015-19,Security brokers and dealers,issuer_detail,FU663164105.Q,20,29.04,87.502,99.709,12.207,-16.833,,
2015-19,Holding companies,issuer_detail,FU733164105.Q,20,-379.711,2158.173,2600.01,441.837,821.548,,
2015-19,Other financial business,issuer_detail,FU503164105.Q,20,-20.959,682.765,1299.04,616.275,637.234,,
2015-19,Rest of the world,issuer,FU263164105.Q,20,680.128,5475.967,8079.811,2603.844,1923.716,,
2015-19,Households and nonprofit organizations,holder,FU153064105.Q,20,216.475,13269.181,19536.497,6267.316,6050.841,2,False
2015-19,Nonfinancial corporate business,holder,FU103064103.Q,20,-95.506,1553.751,2317.738,763.987,859.493,18,True
2015-19,Federal government,holder,FU313064105.Q,20,2.781,99.506,110.751,11.245,8.464,7,False
2015-19,State and local governments,holder,FU213064103.Q,20,-35.149,102.064,120.392,18.328,53.477,14,True
2015-19,Central bank,holder,FU713064103.Q,20,0.0,0.0,0.0,0.0,0.0,8,False
2015-19,U.S.-chartered depository institutions,holder,FU763064103.Q,20,-3.603,37.995,43.521,5.526,9.129,12,True
2015-19,Foreign banking offices in the U.S.,holder,FU753064103.Q,20,-0.003,0.003,0.0,-0.003,0.0,11,True
