quarter,sector,role,flow_bn,level_bn,reval_bn,series_code
2015:Q1,All sectors,total,132.54,37714.14,449.997,FU893064105.Q
2015:Q1,Nonfinancial corporate business,issuer,-120.778,25491.764,294.811,FU103164105.Q
2015:Q1,Domestic financial sectors,issuer,63.704,6377.964,-23.645,FU793164105.Q
2015:Q1,U.S.-chartered depository institutions,issuer_detail,3.023,70.045,-0.495,FU763164105.Q
2015:Q1,Property-casualty insurance companies,issuer_detail,-4.005,625.963,-8.088,FU513164105.Q
2015:Q1,"Life insurance companies, general accounts",issuer_detail,-5.386,192.974,-12.224,FU543164175.Q
2015:Q1,Closed-end funds,issuer_detail,0.849,291.885,-0.577,FU554090005.Q
2015:Q1,Exchange-traded funds,issuer_detail,55.565,2063.204,33.088,FU564090005.Q
2015:Q1,Government-sponsored enterprises,issuer_detail,0.0,105.167,3.013,FU403164105.Q
2015:Q1,Mortgage real estate investment trusts,issuer_detail,-0.454,76.873,0.944,FU643164105.Q
2015:Q1,Business development companies,issuer_detail,2.683,51.073,-0.217,FU453164105.Q
2015:Q1,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2015:Q1,Security brokers and dealers,issuer_detail,0.908,91.722,3.312,FU663164105.Q
2015:Q1,Holding companies,issuer_detail,12.244,2062.507,-107.91,FU733164105.Q
2015:Q1,Other financial business,issuer_detail,-1.723,746.551,65.509,FU503164105.Q
2015:Q1,Rest of the world,issuer,189.614,5844.412,178.831,FU263164105.Q
2015:Q1,Households and nonprofit organizations,holder,66.914,13414.958,78.863,FU153064105.Q
2015:Q1,Nonfinancial corporate business,holder,-10.756,1549.779,6.784,FU103064103.Q
2015:Q1,Federal government,holder,-0.553,101.529,2.576,FU313064105.Q
2015:Q1,State and local governments,holder,2.259,105.671,1.348,FU213064103.Q
2015:Q1,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2015:Q1,U.S.-chartered depository institutions,holder,-0.439,37.766,0.21,FU763064103.Q
2015:Q1,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2015:Q1,Property-casualty insurance companies,holder,-0.115,336.835,-4.982,FU513064105.Q
2015:Q1,Life insurance companies,holder,-5.782,570.862,5.197,FU543064105.Q
2015:Q1,"Private pension funds, including 403(b) plans",holder,-24.405,2036.534,26.867,FU573064105.Q
2015:Q1,Federal government pension funds,holder,1.324,247.891,6.413,FU343064105.Q
2015:Q1,State and local government employee defined benefit pension funds,holder,10.761,1973.364,36.216,FU223064145.Q
2015:Q1,Mutual funds,holder,50.642,9061.589,211.733,FU653064100.Q
2015:Q1,Closed-end funds,holder,0.355,118.659,-1.08,FU553064103.Q
2015:Q1,Exchange-traded funds,holder,32.014,1682.805,31.759,FU563064100.Q
2015:Q1,Business development companies,holder,0.261,9.641,0.184,FU453064103.Q
2015:Q1,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2015:Q1,Hedge funds (domestic),holder,25.062,471.062,5.814,FU623064105.Q
2015:Q1,Private debt funds,holder,0.821,40.41,0.777,FU443064100.Q
2015:Q1,Security brokers and dealers,holder,-30.576,104.107,1.755,FU663064105.Q
2015:Q1,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2015:Q1,Rest of the world,holder,14.753,5850.675,39.563,FU263064105.Q
2015:Q2,All sectors,total,31.359,37707.648,-37.851,FU893064105.Q
2015:Q2,Nonfinancial corporate business,issuer,-102.237,25183.247,-206.28,FU103164105.Q
2015:Q2,Domestic financial sectors,issuer,41.148,6541.744,122.632,FU793164105.Q
2015:Q2,U.S.-chartered depository institutions,issuer_detail,0.523,75.8,5.232,FU763164105.Q
2015:Q2,Property-casualty insurance companies,issuer_detail,-4.6,598.492,-22.871,FU513164105.Q
2015:Q2,"Life insurance companies, general accounts",issuer_detail,-0.95,203.675,11.651,FU543164175.Q
2015:Q2,Closed-end funds,issuer_detail,0.897,285.683,-7.099,FU554090005.Q
2015:Q2,Exchange-traded funds,issuer_detail,41.485,2083.14,-21.549,FU564090005.Q
